A Republican strategy to counter the re-election of Obama 	Una estrategia republicana para obstaculizar la reelección de Obama
Nonetheless, it is enjoying protection, provided the actual creators of the names do not sue.	No obstante, ésta goza de protección mientras los verdaderos epónimos no presenten una demanda.
And even then it is not clear whether they will have any rights.	E incluso entonces no está claro que se les vaya a dar la razón.
"It is becoming increasingly more difficult for foreigners to protect their brands in China," said Thomas Pattloch, lawyer within the Taylor Wessing law firm, who specialises in copyright infringement in the Far East.	"A los extranjeros les resulta cada vez más difícil proteger sus marcas en China", señala Thomas Pattloch, abogado del bufete Taylor Wessing especializado en violaciones de derechos de protección en Extremo Oriente.
Every week a new case lands on my desk.	Cada semana llega a mi mesa un nuevo caso.
All the copycats require are a few additional letters in order that they can register their brands.	Los imitadores simplemente añaden un par de letras para poder registrar sus marcas.
Thus Gucci simply becomes Lu-Gucci, Prada-Kny is registered in place of Prada.	De esta forma, Gucci se convierte en Lu-Gucci y en lugar de Prada se registra Prada-Kny.
German companies are also 'legally' copied in this manner, such as manufacturer of sporting apparel, Puma.	Las empresas alemanas también se copian legalmente de la misma manera, tal y como le ha ocurrido al fabricante de artículos deportivos Puma.
Pattloch opens a file containing registrations with the trademark office in Peking.	Pattloch abre un archivador en el que guarda asientos de la oficina de marcas de Pekín.
On 14 September 2010 a Chinese company copyrighted the brand name Zegna DF Puma there, an alias that also helps itself to the name of fashion retailer Ermenegildo Zegna.	El 14 de septiembre de 2010 una empresa china solicitó registrar la marca Zegna DF Puma, un nombre artificial que también se servía de la casa de moda Ermenegildo Zegna.
The fact that the Chinese are world champions in copying and infringing on intellectual property is well-known.	Que los chinos son campeones mundiales en eso de copiar y de violar los derechos de propiedad intelectual es de sobra conocido.
In the major cities there are multi-level department stores that sell counterfeit goods almost exclusively.	En las grandes ciudades existen grandes almacenes de varias plantas dedicados exclusivamente a la venta de falsificaciones.
Pattloch's cases, however, are slightly different: on behalf of his clients he takes action against the fact that Chinese companies can be granted the right to use a name by the trademark office, fully officially, which is already protected elsewhere.	Sin embargo, los casos de Pattloch son de otra índole. Por encargo de sus clientes, él lucha contra el hecho de que la oficina de marcas conceda de forma oficial a las empresas chinas el derecho a sacar provecho de una denominación que ya está registrada en otro lugar.
The Chinese call this "Bang Mingpai," a passenger brand.	Los chinos lo denominan "Bang Ming Pai" o marca acompañante.
The word is based on "Bang Dakuan."	La palabra tiene su origen en el término chino "Bang Dakuan",
This refers to women who latch onto rich men.	que hace referencia a mujeres que han "pescado" a un hombre rico.
The Chinese authorities are unaware of any wrongdoing.	Las autoridades chinas no se sienten culpables
"This harms business and we must fight against it," challenges Pattloch.	"Es perjudicial para el negocio, hay que luchar contra ello", exige Pattloch.
"The brand is watered down, its uniqueness disappears - the image damage is enormous."	"La marca hace aguas, la posición monopolística desaparece y el daño que sufre la imagen es enorme."
The financial losses and process costs of the affected branches amount into the millions, especially in the case of expensive flagship products.	Las pérdidas financieras y las costas procesales de los sectores afectados son millonarias, sobre todo en el caso de productos emblemáticos de lujo.
According to information from market research company CLSA, with a volume of 15 billion euros annually, China is the third largest market for luxury items, and the fastest growing.	Según datos de la empresa de análisis de mercado CLSA, con un volumen de 15.000 millones de euros al año China es, en tamaño, el tercer mercado de artículos de lujo y el que crece a mayor ritmo.
However, the deletion of dubious entries in the trademark registry are difficult to achieve, and cost a pretty penny.	Sin embargo, lograr la anulación de inscripciones de dudosa legalidad en el registro de marcas resulta complicado y además supone mucho dinero.
The process can last for up to nine years, with an uncertain outcome.	Los procesos se pueden prolongar hasta nueve años y el resultado es incierto.
Pattloch reports of instances whereby the court dismisses cases, because after a long period of time, the name to which the objection is being raised has become a "market reality."	Pattloch habla de casos en los que el tribunal desestimó una demanda porque había transcurrido tanto tiempo que el nombre objeto de la demanda ya se había convertido en una "realidad de mercado".
If the complainant is unlucky, he may even have to pay the plagiarist money for having infringed on his trademark in China, said Pattloch.	"Si el demandante tiene mala suerte, quizá incluso tenga que pagar dinero al plagiador porque el proceso ha dañado a la marca de éste en China", señala Pattloch.
Sometimes the law of the jungle prevails here.	En ocasiones esto es la ley de la selva.
Famous cases also relate to graphic elements.	Algunos de los casos más conocidos tienen que ver con elementos gráficos.
In 2009, Daimler lost a legal battle with the construction machinery manufacturer Sany, the company that recently acquired German concrete pump manufacturer Putzmeister.	En 2009 Daimler-Benz perdió un pleito contra el fabricante de maquinaria de construcción Sany, la empresa que ha sido absorbida hace poco por el fabricante alemán de bombas de hormigón Putzmeister.
Even today, the Chinese company is therefore permitted to use an emblem that resembles the Mercedes star.	Por eso a día de hoy los chinos pueden seguir utilizando un emblema muy similar a la estrella de Mercedes.
Volvo-purchaser Geely originally used a blue and white logo that resembled the BMW logo; the dispute was arbitrated and Geely was forced to change it.	El comprador de Volvo, Geely, utilizaba al principio un logotipo en blanco y azul que recordaba en gran medida a BMW; el asunto se dirimió en los tribunales y Geely tuvo que modificarlo.
Fashion house Lacoste lost a suit in China against copycats from Hong Kong and Singapore, who were using the famous crocodile looking in the other direction. 	El fabricante de ropa Lacoste perdió en China contra imitadores procedentes de Hong Kong y Singapur cuyo logotipo representaba un cocodrilo mirando en la dirección opuesta al original.
The Chinese authorities are unaware of any wrongdoing.	Las autoridades chinas no se sienten culpables.
The CTMO trademark office in Peking does acknowledge that there were bottlenecks in 2010 due to limited staffing and equipment.	La oficina de marcas CTMO en Pekín reconoce que en 2010 han tenido dificultades debido a la escasez de equipamiento y dotación de personal.
In the past year, however, things reportedly "returned to normal following this emergency situation regarding the work flow."	El año pasado, sin embargo, "la situación de emergencia laboral volvió a la normalidad".
Thus the stock of unprocessed appeal proceedings was reduced by 22 percent.	De esta forma, la cantidad de procesos de reclamación sin tramitar se ha reducido en un 22%.
Almost 57,000 such cased were closed, 75 percent more than in the previous year.	Casi 57.000 de estos casos se resolvieron resuelto, un 75% más que el año anterior.
Nonetheless, there are still 81,500 appeals waiting to be resolved in the office.	Sin embargo, 81.500 reclamaciones siguen pendientes de resolución.
To remedy this is very expensive	Luchar contra esto cuesta mucho dinero
As is so often the case in China, the figures are imposing.	Como suele ser habitual en China, las cifras son sorprendentes.
In the past year, more than 1.4 million applications for trademark protection were submitted to the CTMO, almost one third more than in 2010.	El año pasado la CTMO registró más de 1,4 millones de solicitudes de protección de marcas, casi un tercio más que en 2010.
This is a record and means that China, for the tenth time in succession, is the global leader when it comes to new trademark applications, informed the authority.	Se trataría de un nuevo récord y significa que China lidera por décimo año consecutivo la lista de nuevas inscripciones en todo el mundo, según señala la oficina de marcas.
The same applies for the inventory of valid trademarks, totalling 5.5 million in number.	Parece que esto también ocurre con el número de logos válidos, cifra que asciende a 5,5 millones en total.
In 2011, 1.8 billion yuan in fees were received.	En 2011 se habrían embolsado 1.800 millones de yuanes en concepto de derechos.
Put simply, this means that each application costs on average 1,280 yuan, or 160 euros.	Dicho de otra forma, esto significa que de media cada inscripción cuesta 1.280 yuanes o 160 euros.
To appeal against an application costs many times this amount, as can be seen in the case of the German family business, Freudenberg.	Luchar contra esto cuesta mucho dinero, tal y como demuestra el caso de la empresa familiar alemana Freudenberg.
For more than seven years, the group has been contesting against a Chinese plagiarist.	Desde hace más de siete años el grupo pelea en los tribunales contra un imitador chino.
The Germans did in fact manage to expose the company's illegal manufacturing of copied motor vehicle parts.	Si bien los alemanes han conseguido detener la fabricación ilegal de piezas de automóvil de imitación,
However, the copycat still secured the Chinese rights to the Freudenberg brand.	el imitador ha logrado asegurarse los derechos chinos sobre la marca Freudenberg.
This is something we missed ourselves, as family names cannot be protected in Germany, said Hanno Wentzler, Chairman of the Board of Management at Freudenberg Chemical Specialities in Munich.	"Nosotros mismos hemos provocado esta situación porque en Alemania los apellidos no están protegidos", señala Hanno Wentzler, Presidente y Consejero Delegado de Freudenberg Chemical Specialities en Múnich.
The CTMO trademark office then also dismissed the Munich-based company's appeal.	La oficina de marcas CTMO también desestimó el recurso de los muniqueses.
In the next two instances, Freudenberg was proven right, however the opposing party continues to contest the matter to this day.	En las dos siguientes instancias le han dado la razón a Freudenberg, pero la parte contraria sigue peleando en la actualidad.
You have to pay extremely careful attention.	Hay que tener muchísimo cuidado
The matter is now pending before the Supreme Court.	Ahora el caso ha llegado a las puertas del Tribunal Superior de Justicia, donde sigue pendiente de resolución.
Wentzler is confident that the matter will be brought to a positive conclusion and praises the professionalism of the courts.	Wentzler confía en poder resolver favorablemente la cuestión y alaba la profesionalidad de los tribunales.
However, he also says: "The process is extremely expensive and takes a lot of time, money and nerves." 	Sin embargo, también afirma que "el procedimiento es extremadamente costoso, tanto en términos de dinero como de tiempo".
The internal costs can barely be calculated, the company archive even had to look through century-old records in order to provide proof.	Resulta difícil estimar los costes internos; el archivo empresarial ha tenido que revisar expedientes de hasta cien años de antigüedad para poder aportar pruebas.
Five years ago Freudenberg unsuccessfully offered the opposing party a "high six-figure sum in euros" as settlement.	Hace cinco años Freudenberg ofreció a la parte contraria una "suma de seis cifras en euros" con el objetivo de llegar a un acuerdo amistoso, pero no tuvo éxito.
"This shows how much this is worth to us," says Wentzler.	"Esto demuestra lo mucho que nos importa", señala Wentzler.
The dangers in the Far East even threaten to spilling over, back into Europe.	Los peligros que acechan en Extremo Oriente amenazan incluso con afectar a Europa,
Particularly if imitators secure unprotected brand names there.	concretamente si los imitadores se aseguran allí los derechos sobre marcas no protegidas.
For example, a Chinese manufacturer wanted to register the Freudenberg label for shoes and leather in Germany.	Así, un fabricante chino intentó registrar en Alemania el nombre Freudenberg para zapatos y productos de piel.
This is a business sector that the group had long vacated, yet nonetheless managed to prevent the registration.	Hace tiempo que el grupo abandonó este ámbito comercial, no obstante logró impedir la inscripción.
"You have to pay extremely careful attention," says Wentzler.	"Hay que tener muchísimo cuidado", afirma Wentzler.
Both he and Pattloch advise companies to be very careful when conducting business with China.	Tanto él como el abogado Pattloch recomiendan a las empresas alemanas que sean sumamente prudentes a la hora de hacer negocios con China.
It is not sufficient to rely on international trademark rights, rather foreigners should also register "everything" that is in any way worthy of protection in China as well," said Wentzler.	No basta con confiar en la legislación internacional sobre derechos de marca, sino que lo que hay que hacer es "registrar también en China todo aquello que pueda ser susceptible de protección", tal y como apunta Wentzler.
Otherwise costs can be much more expensive than the registration fee.	De lo contrario, el tema puede resultar mucho más caro que un simple registro.
In actual fact: if Freudenberg were to loose at the final hurdle of its trademark drama, they would probably have to pay the opposing party license fees for the use of their own name, explained Wentzler.	De hecho, en caso de que Freudenberg perdiera el último asalto de su batalla particular, entonces tendría que pagar a la parte contraria derechos de licencia por su propio nombre, tal y como explica Wentzler.
Or alternatively we would be forced out of the market in the respective sector.	Eso o en el segmento en cuestión nos expulsarían del mercado.
World AIDS day: Stomp, sing, help	Día mundial de la lucha contra el SIDA: bailar, cantar, ayudar
In Heidelberg, the Imbongi choir is rehearsing - and in the Swaziland, AIDS orphans are delighted.	En Heidelberg ensaya el coro Imbongi y en Suazilandia se alegran los huérfanos del SIDA
The history of a link that overcomes far more than a distance of 8,733 kilometres.	La historia de un vínculo capaz de que superar mucho más de 8.733 kilómetros de distancia.
First of all, the stamping: cowboy boots, basketball shoes, ladies' pumps and men's loafers attempt to find the beat on the parquet floor, and quickly do just that.	Primero se empieza por el baile: botas de cowboy, zapatillas de baloncesto, zapatos de tacón y mocasines buscan el compás sobre el suelo de parquet, y lo encuentran rápidamente.
One-two-three-four.	Un, dos, tres, cuatro.
Only then do the voices of the singers slowly swell - alto, bass, tenor and soprano surge, beguile and haunt.	Solo entonces comienzan a elevarse lentamente las voces de los cantantes (contralto, bajo, tenor y soprano), arremolinándose, entorpeciéndose y siguiéndose unas a otras.
And Fiete Hopf, the 29-year-old conductor, almost rises up out of his shoes as he brings the ensemble together with his smooth, yet wild gestures.	Y Fiete Hopf, el director de 29 años, amenaza con salirse casi de sus casillas al intentar poner orden con su gestos enérgicos y suaves.
It is Monday evening and in the music room of the Institute for Medical Psychology in Heidelberg the Imbongi Choir are practising a new song.	Es lunes por la tarde y en la sala de música del Instituto de Psicología Médica de Heidelberg el coro Imbongi ensaya una nueva canción.
The fifteen singers, aging from 23 to 69 years old, range from human geneticists to the maintenance man.	También han llegado los cincuenta cantantes, de entre 23 y 69 años, desde la genetista humana hasta el amo de casa.
"Om'Obani" is by no means a simple piece, with each voice having a different text, and in an extremely foreign language at that: Zulu, which is spoken by eleven million people in South Africa, Botswana, Lesotho, Malawi, Mozambique and in parts of Swaziland.	"Om'Obani" no es una pieza fácil, cada voz del coro tiene un texto diferente y además en una lengua extranjera apenas conocida: el zulú, un idioma hablado por once millones de personas en Sudáfrica, Botsuana, Lesotho, Malawi, Mozambique y en algunas zonas de Suazilandia.
Helping others to help themselves	Ayuda para la autoayuda
There are around 34 million people infected with HIV around the world, as according to the estimations of Unaids, the United Nations' programme to battle AIDS.	Según una estimación de ONUSIDA, el programa de las Naciones Unidas para la lucha contra el SIDA, en todo el mundo existen aproximadamente 34 millones de personas infectadas por el virus del VIH.
Of these, 23.5 million live in South Africa.	23,5 millones de ellas viven en el sur de África.
In Swaziland, there are 245,000 AIDS orphans.	En Suazilandia hay 245.000 huérfanos del SIDA.
Meanwhile, more than 40 percent of the population are HIV positive.	Más del 40% de la población ya es seropositiva.
The Voices for Africa Association has found sponsors in Germany for 180 AIDS orphans in the village of Esitjeni.	La asociación Voices for Africa ha encontrado en Alemania padrinos para los 180 huérfanos del SIDA del pueblo de Esitjeni.
70 of these attend a secondary school.	Setenta de ellos asisten a la escuela secundaria.
For 15 or 20 euros per month, you can become a sponsor.	Por 15 o 20 euros al mes se puede apadrinar a un niño.
This guarantees the child money for school, a school uniform and a warm meal each day in the Gogo Centre.	Esta aportación cubrirá la matrícula de la escuela, el uniforme y le garantizará una comida caliente al día en el Gogo Center.
In Zulu, Imbongi means storyteller or worshipper.	Imbongi significa en zulú "narrador de historias" o "panegirista".
In this region, no-one can speak the Bantu language fluently, but they can sing it.	En esta sala nadie sabe hablar con fluidez esta lengua bantú, pero cantar sí saben.
For almost ten years the choir has been practising songs in this foreign, 'soft' language, and now and then they bring them back to where they originally came from: the South of Africa.	Desde hace diez años este coro ensaya canciones en esta suave lengua extranjera que en ocasiones logra transportarles a su lugar de origen: el sur de África.
For an 8,733-kilometre flight away from Heidelberg, in the north west of the Swaziland Kingdom, lies the village of Esitjeni, which relies on the vocal power of the German choir.	A 8.733 kilómetros de distancia en línea recta desde Heidelberg, en el noreste del reino de Suazilandia, existe un pueblo llamado Esitjeni que depende de las voces de este coro alemán.
Forty percent are infected.	El cuarenta por ciento está infectado
Around 2,000 people live there, some still in simple mud and straw huts, and the majority of them are children.	Aproximadamente 2.000 personas viven allí, algunas aún en sencillas chozas de barro y paja, una gran parte de ellas son niños.
More than 300 of them no longer have parents, as they succumbed to the HIV virus.	Más de 300 ya no tienen padres porque han sucumbido al SIDA.
In Esitjeni you get a small foreshadow of the illness from which all of Swaziland is suffering: according to Unicef, the region has the highest HIV infection rates and the lowest life expectancy in the world.	Esitjeni es un pequeño ejemplo de lo que afecta a Suazilandia: la tasa de infección de SIDA más alta y las esperanzas de vida más bajas de todo el mundo, según Unicef.
Circumcision, which has been proven to reduce the risk of contracting the virus by half, is barely practised by the population.	La población no ve con buenos ojos la circuncisión, una práctica que según se ha demostrado reduce a la mitad el riesgo de contagio.
More than forty percent of people in the Swaziland carry the immunodeficiency virus, and dying in you mid-thirties is by no means rare.	Más del 40% de los habitantes de Suazilandia son portadores del virus de la inmunodeficiencia, y morir con algo más de treinta años se ha convertido en algo habitual.
On a group trip to Africa in early 2005, the Choir visited the village, but first and foremost, the Imbongis saw many children on the streets, lacking not only in parental care but in practically everything else as well: food, clothing, education.	Durante un viaje conjunto a África en la primavera de 2005 el coro descubrió esta recóndita población, pero lo que vieron sobre todo fueron muchos niños en las calles que carecían no solo de la protección de sus padres, sino de lo principal: comida, ropa y formación.
Without a school leaving certificate, there are barely any opportunities, particularly in a poor country.	Sin título escolar, las posibilidades en un país pobre son más que escasas.
Initially it was the private commitment of individuals to send a child to school and enable him/her to have one warm meal a day for a few euros per year.	En un principio era únicamente el compromiso particular de unos pocos lo que hacía posible que un niño fuera al colegio y disfrutara de una comida caliente al día. Todo esto por unos pocos euros.
However, just one year later, the choir established the "Voices for Africa" Association, which since then has been looking after the AIDS orphans in Esitjeni at an almost professional level.	Sin embargo, un año después el coro fundó la asociación "Voices for Africa" que desde entonces se ha ocupado profesionalmente de los huérfanos del SIDA en Esitjeni.
Facts on sexually transmitted infections.	Hechos sobre las infecciones de transmisión sexual
What are the most important sexually transmitted diseases?	¿Cuáles son las principales enfermedades de transmisión sexual?
Bacterial STIs include syphilis, chlamydia and gonorrhoea.	Entre las ETS de origen bacteriano están la sífilis, la clamidia y la gonorrea.
Common viral STIs are HIV, human papilloma viruses, herpes genitalis and hepatitis.	Las ETS de origen vírico más habituales son el SIDA, el virus del papiloma humano, el herpes genital o la hepatitis.
Crabs and scabies belong among the parasitic STIs.	Las ladillas y la sarna se encuentran entre las ETS transmitidas por parásitos.
Who are the main affected groups?	¿Cuáles son los principales grupos de afectados?
Syphilis and gonorrhoea occur primarily in men that have intercourse with other men.	La sífilis y la gonorrea se dan con más frecuencia en hombres que mantienen relaciones sexuales con otros hombres.
The Robert Koch Institute understands that at least four in five of all syphilis cases reported in Germany are transmitted by means of sexual contact between men.	El Instituto Robert Koch parte de la base de que al menos cuatro de cada cinco casos de sífilis registrados en Alemania tienen su origen en un contacto sexual entre hombres.
Among heterosexual adults, chlamydia infections, trichomoniasis, candidiasis (fungal), gonorrhoea and human papilloma viruses are frequently occurring sexually transmitted diseases.	En el caso de los adultos heterosexuales las enfermedades de transmisión sexual más habituales son las infecciones por clamidia, tricomonas, el virus del papiloma humano, la candidiasis (hongo) y la gonorrea.
The spread of HIV among heterosexual adults in this country is relatively low; however, around 20 percent of newly contracted cases of HIV are found in this group.	El contagio del VIH entre los adultos heterosexuales del país es relativamente escaso; no obstante, aproximadamente el 20% de las nuevas infecciones por VIH se registran en este grupo.
Among young people, chlamydia infections are much more common than in other population groups.	Entre los jóvenes, las infecciones por clamidia son mucho más habituales que en otros grupos de población.
According to European surveys, three quarters of all infections affect young people between the ages of 15 and 25.	Según encuestas europeas, tres cuartos de todas las infecciones afectan a jóvenes de entre 15 y 25 años.
In this country, human papilloma viruses are also frequently found in young people.	En nuestro país, el virus del papiloma humano también se añade a las enfermedades más habituales entre la juventud.
How has the number of infections developed?	¿Cómo ha evolucionado el número de infecciones?
Not all sexually transmitted diseases are notifiable.	No todas las enfermedades de transmisión sexual están sujetas a declaración obligatoria.
According to the Robert Koch Institute, the number of syphilis infections has more than doubled from 1,697 cases in 2001, to 3,698 cases in 2011.	Según el Instituto Robert Koch, el número de infecciones por sífilis ha doblado su cifra de 1.697 casos en 2001 a 3.698 casos en 2011.
The number of newly contracted cases of HIV has been on the decline since 2007.	El número de nuevas infecciones por VIH mantiene una tendencia descendente desde 2007.
In 2011 there were around 2,700 cases.	En 2011 se registraron aproximadamente 2.700 casos.
This is around one tenth fewer than the previous year.	Se trata de una décima parte menos que en el año anterior.
Which symptoms indicate a sexually transmitted disease?	¿Qué síntomas indican que se trata de una enfermedad venérea?
The infectious diseases can cause ulcers in the genital area, discomfort when urinating, discharge, lower abdominal pain and blisters or warts.	Las enfermedades infecciosas pueden provocar úlceras en la zona genital, molestias al orinar, flujo, dolor abdominal, así como ampollas o verrugas.
However, often they cause no pain or any other symptoms, thus remaining undetected.	A menudo no causan dolor ni provocan otros síntomas y por eso no se detectan.
How can you protect yourself?	¿Cómo se puede uno proteger?
Condoms can reduce the risk of contraction, however, they do not offer 100% protection.	Los preservativos pueden reducir el riesgo de contagio, pero no ofrecen protección al cien por cien.
This is because occasionally, the pathogens of sexually transmitted diseases can also be passed on via smear infections and close bodily contact.	Algunos agentes patógenos de enfermedades de transmisión sexual también pueden transmitirse a través de infecciones por suciedad y por contacto físico.
Therefore, first and foremost experts recommend that people with frequently changing sexual partners undergo regular examinations.	Por este motivo, los expertos recomiendan someterse regularmente a exámenes médicos, sobre todo si se cambia con frecuencia de pareja sexual.
If diagnosed early, the majority of STIs can be cured and long-term consequences avoided.	Si se diagnostican de forma temprana, la mayoría de las ETS pueden curarse y es posible evitar cualquier consecuencia tardía.
Through sponsorships donations and by no means least the funds that the choir raises across the whole of Germany, the money all adds up.	A través de colaboraciones, donaciones y, por último pero no por ello menos importante, de los honorarios que cobra el coro por sus actuaciones en toda Alemania, llegan a recaudar bastante dinero.
"In total, we have already sent around 200,000 euros to Esitjeni," said Annette Lennartz, Chairperson of the association.	"En total hemos enviado ya unos 200.000 euros a Esitjeni", señala orgullosa Annette Lennartz, presidenta de la asociación.
In the village itself, Zodwa Dlamini, a self-assured and assertive woman, manages the money from Germany.	En el propio pueblo Zodwa Dlamini una mujer segura de sí misma y con dotes de liderazgo administra el dinero enviado desde Alemania.
She makes sure that the orphans have good accommodation, for example with one of their grandmothers.	Se ocupa de que los huérfanos encuentren un buen alojamiento, por ejemplo con una de las abuelas.
The Gogos, as the old ladies are called in Zulu, are the pillars of the village.	Las "gogos", como se denomina a las mujeres mayores en zulú, son los pilares del pueblo.
Some of them have up to 14 orphans living with them, providing them with a roof over their heads and making sure that the children get to their school classes punctually every day, in their school uniforms.	Algunas de ellas tienen hasta 14 huérfanos a su cargo, les ofrecen un techo donde vivir y se ocupan de que los niños acudan a la escuela todos los días puntualmente y vestidos con sus uniformes.
Anyone who doesn't have anyone left, arrives at the shelter with Khanyisile, a single woman who earns the same salary from the association as the two cooks who cook for more than 200 hungry children every day.	Los que no tienen a nadie quedan bajo la protección de Khanyisile, una mujer soltera que, al igual que las dos cocineras que se encargan de cocinar todos los días para más de 200 niños hambrientos, percibe un salario de la asociación.
In addition, "Voices for Africa" has established a sewing school,built two chicken coops and, together with the American health organisation, PSI, organised for many in the village to be tested for HIV.	Además, "Voices of Africa" ha puesto en marcha una escuela de costura, ha construido dos gallineros y, en colaboración con la organización sanitaria estadounidense PSI, ha logrado que muchos de los habitantes del pueblo se hayan sometido a una prueba de VIH.
This is nothing to be taken for granted, as is clearly the attitude towards illness throughout the entire country, the best way of keeping things under wraps is if people are dead.	Esto no es algo obvio, puesto que, a pesar de lo patente que está esta enfermedad en todo el país, no se suele hablar abiertamente de ella.
A king with 14 wives	Un rey con 14 esposas
"AIDS is an absolute taboo subject," said Annette Lennartz, "because it is associated with sexuality."	"El SIDA es un tabú absoluto", afirma Annette Lennartz, "porque tiene que ver con la sexualidad".
This is actually strange for a country in which the king officially has 14 wives.	Algo extraño en un país en el que el rey tiene oficialmente 14 esposas.
The last absolute monarch of sub-Saharan Africa, King Mswati III., is known for his excessive lifestyle.	El último monarca absoluto del África Negra, el rey Mswati III, es conocido por su estilo de vida opulento y repleto de excesos.
Polygamy in place of democracy.	Poligamia en lugar de democracia.
Among other factors, the fact that the HIV virus has spread quickly over the past number of decades can also be attributed to this officially sanctioned lifestyle.	Esta forma de vida no aceptada oficialmente es en gran parte responsable de la propagación tan rápida que ha experimentado el virus del VIH en las últimas décadas.
Another factor is the large number of migrant workers who carry the virus across the country.	Pero también se debe a los innumerables temporeros que recorren el país de un lado a otro y que lo llevan allá donde van.
There are free condoms on every corner, said Annette Lennartz, "but they are hardly used.	Según Annette Lennartz, "en cualquier esquina se pueden conseguir preservativos gratis, pero estos apenas se utilizan.
The culture prescribes otherwise - flesh to flesh."	Es otra cultura, aquí solo aceptan el contacto piel contra piel".
In order to promote the cultural exchange, the Imbongi choir travels through Southern Africa every two or three years and sings songs of melancholy, fighting spirit, confidence and black self-esteem, which many from the southern tip of the black continent still know from the times of apartheid.	Para fomentar el intercambio cultural, el coro Imbongi viaja cada dos o tres años por el sur de África cantando canciones que hablan de melancolía, espíritu combativo, esperanza y confianza en la raza negra, canciones que muchos en el extremo más meridional del continente africano aún recuerdan de la época del apartheid.
A bus full of white people, who sing songs in a black language - this degree of recognition brings not only morale and joy, but some grim-faced border soldiers even shed a few tears.	Un autobús lleno de blancos que cantan canciones en un idioma de negros; tanto reconocimiento no solo trae consigo un excelente ambiente y mucha alegría, sino que también ha logrado arrancarle un par de lágrimas a algún que otro soldado fronterizo rabioso.
The journey always leads to Esitjeni, where the singers visit their sponsor children.	El viaje les lleva siempre a Esitjeni, donde los cantantes visitan a los niños apadrinados.
Even though you can barely find the small village on a map, it is more than well-known in the valley of the Ezulweni River.	A pesar de que esta pequeña población apenas aparece en los mapas, en el valle del río Ezulweni es muy conocida.
"Go to Esitjeni, that's where the light is," say the people there.	"Acércate a Esitjeni, allí brilla la luz", afirma la gente del lugar.
And if you make the 8,733-kilometre flight back to Heidelberg, to visit the stomping singers in their rehearsal room, you'll see that the light is there too.	Y tras recorrer los 8.733 kilómetros en línea recta de vuelta a Heidelberg hasta las salas de ensayo de la calle Bergheimer repletas de cantantes marcando el paso, uno se da cuenta de que también es posible ver brillar su luz desde allí.
Messenger: NASA discovers ice on Mercury	Messenger: La NASA descubre hielo en Mercurio
The Messenger probe has found evidence of ice on the planet Mercury.	La sonda Messenger ha encontrado pruebas de la existencia de hielo en Mercurio.
It is thought that the ice cover may be up to 20 metres thick.	Probablemente la capa de hielo tenga un espesor de hasta 20 metros.
The US space agency, NASA, has proven the existence of ice on the planet Mercury.	La NASA, la agencia espacial norteamericana, ha aportado pruebas de la existencia de hielo en Mercurio.
Although the planet lies closest to the sun, it does have frozen water - as shown in three studies published on Thursday in specialist magazine "Science."	A pesar de tratarse del planeta más cercano al sol, allí también hay agua helada, tal y como se desprende de tres estudios publicados el jueves en la revista especializada "Science".
The Messenger probe has found evidence that there is an ice cover in the region of the planet that lies permanently in shadow.	La sonda Messenger habría encontrado pruebas de que en la zona del planeta que se encuentra permanentemente a la sombra se ha formado una capa de hielo.
This is thought to be at east 30 centimetres and perhaps up to 20 metres thick.	Parece que ésta tiene al menos 30 centímetros y probablemente incluso hasta 20 metros de espesor.
The water presumably came from comets or perhaps also asteroids that impacted with Mercury.	El agua procede presumiblemente de cometas o, con gran probabilidad, de asteroides que en su día chocaron contra Mercurio.
However, no-one is linking the discovery of ice with the existence of life on the planet, said Chief Scientist for the Messenger probe, Sean Solomon.	Nadie relaciona el hallazgo de hielo con la posibilidad de que exista vida en el planeta, afirma el investigador jefe de la sonda Messenger, Sean Solomon.
The temperature on Mercury can reach up to 426 degrees Celsius.	La temperatura en Mercurio puede alcanzar hasta 426 grados centígrados.
That said, the findings could help explain how water and other building blocks of life reached other regions of the solar system.	Sin embargo, los hallazgos podrían ayudar a esclarecer cómo han llegado el agua y otros componentes de la vida a otras zonas del sistema solar.
Unknown to the majority of the Earth's inhabitants, there are probes, telescopes and small robots such as the Phoenix, deployed to research the depths of the universe.	De forma completamente inadvertida para los habitantes del planeta Tierra, las sondas, telescopios y pequeños robots como el Phoenix se dedican a explorar las profundidades del universo.
From time to time, they transmit images to Earth: small peepholes into the infinite expanse.	De vez en cuando envían imágenes a la Tierra: pequeñas ventanas a la inmensidad del espacio.
This image comes from a camera developed by German researchers at the Max Planck Institute.	La imagen procede de una cámara desarrollada por investigadores alemanes del Instituto Max Planck.
The eight planets of our solar system, plus the dwarf planet Ceres.	Los ocho planetas que conforman nuestro sistema solar, además del planeta enano Ceres.
Like Pluto, which orbits around the sun behind Neptune, Ceres is not a planet according to the new definition of the term issued by the International Astronomical Union in 2006.	Al igual que Plutón, que gira alrededor del sol justo por detrás de Neptuno, según la nueva definición del término publicada por la Unión Astronómica Internacional en 2006 Ceres no es ningún "planeta".
