UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
There are cases in which companies choose to do package employments, because they can organize recruitments better in this way.	Exista și cazuri în care companiile aleg sa faca la pachet angajarile, tocmai pentru ca în felul acesta pot sa gandeasca mai organizat recrutarile.
Among those who will be present at the CF in October and November 2015 are: Arvato Bertelsmann, Bombardier, Bosch, CIE Matricon, Competence Call Center, DB Schenker, Delphi, Office Depot, Preh, Renault, Schaeffler, Stefanini and Sykes.	Printre cei care vor bifa lista de prezenta la TdC în octombrie și noiembrie 2015 se numara: Arvato Bertelsmann, Bombardier, Bosch, CIE Matricon, Competence Call Center, DB Schenker, Delphi, Office Depot, Preh, Renault, Schaeffler, Stefanini și Sykes.
CF Candidate Profile	Profilul candidatului TdC
Most participants who look for a job at the CF are students, over 59,70%, followed by college graduates - 23.05% and master graduates: 10,38%.	Cei mai multi participanti la TdC care isi cauta un loc de munca sunt studenti, peste 59,70%, urmati de absolventi de facultate - 23,05% și de absolventi de master: 10,38%.
The least numerous are those who completed the doctorate courses - 0.67 - and young people who have finished high school or middle school - 6.20%.	Cei mai putini sunt cei care au finalizat doctoratul - 0,67 - și tinerii care au terminat liceul ori scoala generala - 6,20%.
Regarding their specialisation areas, most participants are working in IT and Software, in the banking sector or in insurance, marketing, advertising and media or in the automotive and construction industries.	În privinta domeniilor în care sunt specializati acestia, cei mai multi lucreaza în IT și Software, în sectorul financiar-bancar ori în asigurari, marketing, publicitate și media ori în industria auto și constructii.
There is hardly a novelty the fact that IT is in constant development in the country.	Nu mai este deloc o noutate ca zona IT este intr-o continua ascensiune în tara.
Therefore, a new edition of the IT Career Fair will also be held this year, a niche event dedicated exclusively to enthusiasts and specialists in this field.	Drept urmare, va avea loc și în acest an o noua editie a Targului de Cariere în IT, eveniment de nisa dedicat exclusiv pasionatilor și specialistilor din acest domeniu.
Among the giants in the business environment present at the 7th edition of the event are Accenture, Endava, KFC, McDonald's, msg systems, Siemens, Steelcase, Unicredit Business Integrated Solutions and Yardi Systems.	Printre gigantii din mediul business prezenti la cea de-a 7-a editie a evenimentului se numara Accenture, Endava, KFC, McDonald's, msg systems, Siemens, Steelcase, Unicredit Business Integrated Solutions și Yardi Systems.
Career Fair, 100 editions	Targul de Cariere, 100 de editii
Established in Cluj in 2006, the Career Fair is today the largest network of career events in Romania and Moldova.	Fondat la Cluj în 2006, Targul de Cariere este azi cea mai mare retea de evenimente de cariera din Romania și Republica Moldova.
The autumn edition will take place in Chisinau (Army House 2-3 October), Iasi (Palas 6-7 October), Brasov (Army House 14-15 October), Cluj Global (Polyvalent Hall 20-21 October) Cluj IT (Polyvalent Hall 22-23 October), Sibiu (Business Centre 28-29 October) and Targu-Mures (National Theatre, November 5).	Editia de toamna va avea loc la Chisinau (Casa Armatei, 2-3 octombrie), Iasi (Palas, 6-7 octombrie), Brasov (Casa Armatei, 14-15 octombrie), Cluj Global (Sala Polivalenta, 20-21 octombrie), Cluj IT (Sala Polivalenta, 22-23 octombrie), Sibiu (Centrul de Afaceri, 28-29 octombrie) și Targu-Mures (Teatrul National, 5 noiembrie).
Details about the registered companies until this moment and the Career Fair can be found on www.targuldecariere.ro.	Detalii despre companiile inscrise pana în acest moment și despre Targul de Cariere gasiti pe www.targuldecariere.ro.
An Italian was caught at Bors customs with immigrants hidden in his truck	Un italian a fost prins la vama Bors cu imigranti ascunsi în TIR
Two citizens of Sri Lanka were found on Monday at Bors customs while trying to illegally cross the border, hidden in the trailer of a truck driven by an Italian citizen.	Doi cetateni din Sri Lanka au fost depistati, luni, la vama Bors, în timp ce incercau sa treaca ilegal frontiera, ascunsi în semiremorca unui automarfar condus de un cetatean italian.
The investigations determined that the two had paid the driver with 4,000 euros to be transported to France, informs the Border Police.	În urma cercetarilor efectuate, s-a stabilit ca cei doi il platisera pe sofer cu 4.000 de euro pentru a fi transportati în Franta, informeaza Politia de Frontiera.
During the routine control, the border policemen observed in the truck's cab, a large travel bag, which contained personal things of many people, which is why they conducted a thorough check on the means of transport.	La controlul specific, politistii de frontiera au observat, în cabina camionului, o geanta mare de voiaj, în care se aflau lucruri personale pentru mai multe persoane, motiv pentru care au efectuat un control amanuntit asupra mijlocului de transport.
With this occasion, the border policemen found two males hidden in the truck's trailer among plastic crates.	Cu aceasta ocazie, politistii de frontiera au descoperit, ascunse în semiremorca automarfarului, printre lazile de plastic, doua persoane de sex masculin.
The verifications established that the two men, aged 28 years old, are citizens of Sri Lanka and have requested asylum in Romania.	Din verificari a rezultat ca persoanele în cauza, doi barbati, în varsta de 28 de ani, sunt cetateni din Sri Lanka și solicitanti de azil în Romania.
"During the investigations, the two young men said they wanted to reach France, which is why they made contact with a countryman, through which they met with the Italian driver. The latter has offered to carry them to their destination, where he would receive 2,000 euros per person", according to the Border Police press release.	"La cercetari, tinerii au declarat ca intentionau sa ajunga în Franta, fapt pentru care au luat legatura cu un conational, prin intermediul caruia s-au intalnit cu soferul italian, care s-a oferit sa-i transporte pana la destinatie, unde urma sa primeasca 2.000 de euro de persoana", se arata în comunicatul Politiei de Frontiera.
The police drew up for the two migrants a "criminal file under the accusation of attempted illegal crossing of the state border".	Celor doi migranti li s-a intocmit "lucrare penala sub aspectul savarsirii infractiunii de tentativa de trecere frauduloasa a frontierei de stat".
In addition, Pompeo B., the Italian citizen aged 45 who was driving a Renault Magnum truck registered in Romania, transporting plastic crates for an Italian company, was detained for 24 hours and will be submitted to the Court of Bihor with a remand custody proposal.	De asemenea, Pompeo B., cetateanul italian în varsta de 45 ani care conducea un automarfar marca Renault Magnum, inmatriculat în Romania, ce transporta lazi de plastic pentru o firma din Italia, a fost retinut pentru 24 de ore, urmand a fi prezentat Tribunalului Bihor cu propunere de arestare preventiva.
How satisfied are the Romanian couples: men versus women	Cat de satisfacuti sunt romanii în cuplu: Barbati versus femei
Most Romanians are satisfied with their relationships.	Cei mai multi romani sunt multumiti de relatiile lor.
This is the conclusion of a study conducted in Romania with the coming of John Gray, the famous author of the bestseller "Men are from Mars, Women are from Venus".	Aceasta este concluzia unui studiu realizat cu ocazia venirii în Romania a lui John Gray, celebrul autor al bestseller-ului "Barbatii sunt de pe Marte, Femeile sunt de pe Venus".
A total of 62% of respondents say they are "very satisfied" and "satisfied" with the overall quality of their couple's relationship.	Un total de 62% dintre respondenti se declara 'foarte satisfacuti' și 'satisfacuti' de calitatea generala a relatiei de cuplu.
"However, 18% seem to be "slightly dissatisfied" and "very dissatisfied" in their couple life and another 18% "moderate" is the conclusion of the study, as stated in a press release issued on Tuesday to Ziare.com.	"Totusi, 18% se arata ca fiind 'usor nesatisfacuti' și 'foarte nesatisfacuti' în relatia de cuplu, iar alti 18% declara 'potrivit'", este concluzia studiului, dupa cum se arata intr-un comunicat remis, marti, Ziare.com.
The situation is slightly different when responses are analysed separately for men and women.	Situatia este putin diferita atunci cand sunt analizate separat raspunsurile barbatilor și ale femeilor.
Thus, 28% of men are very satisfied, 39% satisfied, 17% moderate, 6% very dissatisfied and 8% slightly dissatisfied.	Astfel, 28% dintre barbati sunt foarte satisfacuti, 39% satisfacuti, 17% potrivit, 6% foarte nesatisfacuti și 8% usor nesatisfacuti.
Regarding women, 33% are satisfied, 24% very satisfied, 8% very dissatisfied, 14% slightly dissatisfied and 19% chose moderate.	În ceea ce priveste femeile, 33% se declarata satisfacute, 24% foarte satisfacute, 8% foarte nesatisfacute, 14% usor nesatisfacute și 19% au ales catogoria potrivit.
When we look at the degree of satisfaction (positive), we see that men are more satisfied.	Cand ne uitam la gradul de satisfactie (pozitiv), vom observa ca barbatii sunt mai satisfacuti.
Regarding the neutral state (moderate), we see a difference of two percent.	În ceea ce priveste starea neutra (potrivit), vedem o diferenta de doua procente.
"The same case is for the category very dissatisfied, the largest difference being registered for the slightly dissatisfied answer where we see a difference of 6 percent," the press release states.	"La fel și în situatia foarte nesatisfacut, diferenta cea mai mare inregistrandu-se la raspunsul usor nesatisfacut unde vedem o diferenta de 6 procente", se mai arata în comunicat.
The study also showed that a quarter of Romanians (26%) spend an hour or even less together, 18% spend between five and eight hours together, and 45% between two and four hours.	Studiul a mai aratat ca un sfert dintre romani (26%) petrec o ora sau chiar mai putin timp impreuna, 18% petrec intre cinci și opt ore impreuna, iar 45% intre doua și patru ore.
The study's conductors transmit that "Romanians feel the need for a little more adventure in their lives (24%), followed by affection (21%), money (21%), safety (20%), new things (19%), sex ( 19%) respect 18%, confidence 17%, pleasure 17%, connection 17%, knowledge 16%, protection 14%, importance 14%, learning 12%, freedom 11%, self-awareness 10% and control 7% ".	Realizatorii studiului mai transmit ca "romanii simt nevoie de ceva mai multa aventura în viata lor (24%), urmat de afectiune (21%), bani (21%), siguranta (20%), nou (19%), sex (19%), respect 18%, incredere 17%, placere 17%, conectare 17%, cunoastere 16%, protectie 14%, importanta 14%, invatare 12%, libertate 11%, autocunoastere 10% și control 7%".
The study was done by Extreme Training during June 1 - September 1 on 1,369 people, the error margin being calculated at 2.6%.	Studiul a fost facut de Extreme Training în perioada 1 iunie-1 septembrie pe 1.369 de persoane, marja de eroare calculata fiind de 2,6%.
Europe has once again embarrassed itself	Europa s-a facut inca o data de rusine
German Vice-Chancellor Sigmar Gabriel said on Tuesday that Europe "has embarrassed itself" after Monday's failure of the ministerial meeting in Brussels regarding the distribution of refugees within the European Union.	Vicecancelarul german Sigmar Gabriel a declarat marti ca Europa "s-a facut de rusine" dupa esecul de luni al reuniunii ministeriale de la Bruxelles în privinta repartizarii refugiatilor în cadrul Uniunii Europene.
"Last night (Monday night), Europe has once again embarrassed itself" Sigmar Gabriel said during a press conference, who is also Minister of Economy in the government of Chancellor Angela Merkel, according to AFP.	"Aseara (luni seara), Europa s-a facut inca o data de rusine", a acuzat în cadrul unei conferinte de presa Sigmar Gabriel, care este și ministru al Economiei în guvernul cancelarului Angela Merkel, transmite AFP.
Earlier, German Minister of Interior Thomas de Maiziere suggested the reduction of EU structural funds for countries that reject quotas of refugees.	Anterior, ministrul german de Interne, Thomas de Maiziere, a sugerat reducerea fondurilor structurale ale Uniunii Europene în cazul tarilor care resping cotele de refugiati.
The European Ministers of Interior, who urgently met on Monday in Brussels, failed to reach an agreement on the compulsory distribution of 120,000 refugees. The meeting was requested last week by the European Commission to deal with one of the worst Migration crises in Europe after 1945.	Ministrii de Interne europeni, reuniti luni de urgenta la Bruxelles, nu au reusit sa ajunga la un acord asupra repartizarii obligatorii a 120.000 de refugiati, solicitata saptamana trecuta de Comisia Europeana pentru a face fata uneia dintre cele mai grave crize migratorii în Europa dupa 1945.
A mayor for just a half an hour	A fost primar doar o jumatate de ora
Acting Mayor of Tuzla commune in Constanta county enjoyed this position for just a half an hour, due to DNA (National Anticorruption directorate) prosecutors.	Primarul interimar al comunei Tuzla din judetul Constanta s-a bucurat doar de o jumatate de ora de aceasta functie, din cauza procurorilor DNA.
Taner Resit had been appointed at the leadership of the locality, in place of the former mayor, Constantin Micu, convicted of embezzlement, B1 TV informs.	Taner Resit fusese numit la conducerea localitatii, în locul fostului edil, Constantin Micu, condamnat pentru delapidare, informeaza B1 Tv.
The County Prefect, Ion Constantin, waited for him at the institution's seat to make the official announcement, at 16.00, but he never arrived.	Prefectul judetului, Ion Constantin, l-a asteptat la sediul institutiei pentru a face anuntul oficial, la ora 16.00, insa acesta nu a mai ajuns.
The reason?	Motivul?
Taner Resit was summoned at 14.00 at DNA Constanta.	Taner Resit fusese citat la ora 14.00, la sediul DNA Constanta.
After two and a half hours of questioning, he was detained for 24 hours.	Dupa doua ore și jumatate de audieri, acesta a fost retinut pentru 24 de ore.
Consequently, he was a mayor for only 30 minutes.	În consecinta, a fost primar doar 30 de minute.
According to prosecutors, he is accused of blackmailing a businessman during 16 August to 8 September, together with Stefan Radu, a company owner who wanted to get 48,000 euros from him, according to Adevarul.	Conform procurorilor, el e acuzat ca a santajat un om de afaceri în perioada 16 august - 8 septembrie, în complicitate cu Stefan Radu, un patron care voia sa obtina 48.000 euro de la acesta, arata Adevarul.
The two threatened the Director and drove away his customers, prevented their access in the store, changed the locks and seized the company's assets.	Cei doi au amenintat administratorul, i-au alungat clientii, au impiedicat accesul acestora în magazinul sau, au schimbat incuietorile și au sechestrat bunurile firmei.
Moreover, on September 8, Stefan Radu allegedly beat the Director, in the presence of the Deputy Mayor.	Mai mult, la data de 8 septembrie, Stefan Radu l-ar fi batut pe administrator, în prezenta viceprimarului.
Thousands of people lit a candle in his memory	Mii de oameni au trecut sa ii puna o lumanare
Thousands of people came to see the coffin with the body of Corneliu Vadim Tudor. Sfantul George Church had not seen so many people since the consecration of the church or the Great Celebration of St. Nicholas, said pastor Emil Caramizaru on Wednesday.	Mii de oameni au trecut pe la sicriul cu trupul neinsufletit al lui Corneliu Vadim Tudor, atat de multa lume nemaifiind la Biserica Sfantul Gheorghe decat la resfintirea lacasului sau la Hramul Mare de Sfantul Nicolae, a declarat, miercuri, parohul Emil Caramizaru.
Hundreds of people of all ages wait in a line which stretches from the church entrance to the side streets, to reach the bier with the coffin containing the body of Corneliu Vadim Tudor.	Sute de oameni de toate varstele asteapta la rand, care se intinde de la intrarea în biserica pana pe strazile laterale, pentru a trece pe la catafalcul pe care se afla sicriul cu trupul neinsufletit al lui Corneliu Vadim Tudor.
People wait about an hour to reach the Sfantul Gheorghe Nou Church, where groups of 40 people are allowed in.	Oamenii asteapta aproximativ o ora pentru a ajunge în Biserica Sfantul Gheorghe Nou, unde intra grupuri de cate 40 de oameni.
On Wednesday, approximately 300 people per hour came to pay their respects to Corneliu Vadim Tudor.	Aproximativ 300 de oameni pe ora au trecut miercuri pe la sicriul cu trupul neinsufletit al lui Corneliu Vadim Tudor.
Starting Tuesday, thousands of people in Bucharest but also Cluj, Baia Mare, Iasi, Constanta and Craiova came to bring homage to Corneliu Vadim Tudor. The church has never had so many visitor since its 300 year consecration and since the Great Feast of St. Nicholas.	Mii de oameni din Bucuresti, dar și din Cluj, Baia Mare, Iasi, Constanta și Craiova au venit, incepand de marti, sa-i aduca un omagiu lui Corneliu Vadim Tudor, atat de multa lume nu am mai avut decat la resfintirea de 300 de ani a bisericii și la Hramul cel Mare de Sfantul Nicolae.
"Corneliu Vadim Tudor was present at the 300 year consecration of the church and stayed beside the members of the Holy Synod, Patriarch Daniel and the representatives of the five patriarchates who attended the consecration", said the parish priest of the church in the capital, Emil Caramizaru.	"Corneliu Vadim Tudor a fost la resfintirea de 300 de ani a bisericii și a stat alaturi de membrii Sfantului Sinod, de Preafericitul Daniel și reprezentantii celor cinci patriarhii care au participat la resfintire", a spus preotul paroh al bisericii din Capitala, Emil Caramizaru.
According to him, people came with flowers and candles, sat quietly and waited in line, as they would have done for a great religious holiday.	Potrivit acestuia, oamenii au venit cu flori și lumanari în mana, stau cuminti și asteapta la rand, ca intr-o zi de mare sarbatoare religioasa.
The behaviour of these people is extraordinary. Children, old people, people in crutches sat quietly, with dignity, as they would have done for a great religious holiday.	Este extraordinar comportamentul acestor oameni, stau cuminti, cu demnitate, copii, batrani, oameni în carje, de parca ar fi la o mare sarbatoare religioasa.
"It's touching to see them waiting to worship and pay homage to Vadim Tudor", said pastor Emil Caramizaru.	"Este emotionant sa-i vezi asteptand sa se inchine și sa aduca un ultim omagiu lui Vadim Tudor", a mai spus parohul Emil Caramizaru.
According to him, at the request of Corneliu Vadim Tudor's family, the church will remain open from Wednesday to Thursday. Last night it was closed at 01.00 a.m., and reopened at 07.00. a.m.	Potrivit acestuia, la cererea familiei lui Corneliu Vadim Tudor, biserica va ramane deschisa și în noaptea de miercuri spre joi, noaptea trecuta fiind inchisa la ora 01.00 și redeschisa dimineata, la 07.00.
The pastor said that, on Thursday morning at 10:00, a short service will be officiated in Sfantul Gheorghe Church, at kilometre 0, after which the coffin with the body of Vadim Tudor will be transported to the Ghencea civil cemetery. Here, a funeral religious and military service will be officiated.	El a precizat ca joi dimineata, la ora 10.00, în Biserica Sfantul Gheorghe, de la kilometrul 0, va mai fi oficiata o scurta slujba, dupa care sicriul cu trupul neinsufletit al lui Vadim Tudor va fi transportat la cimitirul Ghencea civil, unde va avea loc slujba de inmormantare, fiind oficiat un ceremonial religioas și militar.
The pastor mentioned that Vadim Tudor used to come often to this church, especially in the evening, after 8 p.m., and ask him to open the reliquary with the relics of St. Nicholas. He would remain here and pray.	Preotul paroh a tinut sa precizeze ca Vadim Tudor venea des în aceasta biserica, mai ales seara, dupa ora 20.00, iar atunci il ruga sa deschida racla cu moastele Sfantului Nicolae și ramanea sa se roage minute în sir.
He used to come here often, usually in the evening after 8 p.m., and asked me to open the reliquary with the relics of St. Nicholas and prayed.	Venea aici foarte des, de regula seara, dupa ora 20.00, ma ruga sa-i deschis racla cu moastele Sfantului Nicoale și se ruga.
He said that this church which was built by Brancoveanu was a great blessing.	Zicea ca este o mare binecuvantare aceasta biserica a lui Brancoveanu.
He used to say to me: "Brother Emil, can you imagine the hand of St. Nicholas brought Brancoveanu, Eminescu, Mihai Viteazul here?".	Imi spunea: "Mai frate Emil, gandeste-te ca aici au fost Brancoveanu, Eminescu, Mihai Viteazul, care a dus mana Sfantului Nicolae".
"'Do you realize what a blessing this is for the country', said Vadim to me", stated the parish priest.	"'Iti dai seama ce binecuvantare pentru aceasta tara', imi spunea Vadim", a povestit preotul paroh.
Corneliu Vadim Tudor is going to buried on Thursday with military honours in the Ghencea civil cemetery.	Corneliu Vadim Tudor urmeaza sa fie inmormantat joi, la cimitirul Ghencea Civil, cu onoruri militare.
On Tuesday, the leadership of the Senate rejected the request of Corneliu Vadim Tudor's wife to place the body of the former senator in the lobby of the legislative chambers.	Conducerea Senatului a respins, marti, solicitarea sotiei lui Corneliu Vadim Tudor ca sicriul cu trupul neinsufletit al fostului senator sa fie depus în holul Camerei legislative.
Corneliu Vadim Tudor was born on November 28, 1949, in Bucharest. He was a writer, politician and journalist.	Corneliu Vadim Tudor s-a nascut în 28 noiembrie 1949, în Bucuresti, era scriitor, politician și jurnalist.
He was the founder of the Romania Mare Party, former member of the European Parliament and former senator.	A fost fondatorul Partidului Romania Mare, fost membru al Parlamentului European și fost senator.
What happens with coach Darren Cahill	Ce se intampla cu antrenorul Darren Cahill
Simona Halep is facing a crucial decision for her career, as she is being forced to choose whether to continue or not to collaborate with coach Darren Cahill.	Simona Halep se afla în fata unei decizii cruciale pentru cariera sa, ea fiind nevoita sa aleaga daca va continua sau nu sa colaboreze cu antrenorul Darren Cahill.
The two have worked together this year in the Adidas Player Development Programme, the Australian coach staying with the Romanian tennis player only during majour tournaments.	Cei doi au lucrat în acest an în cadrul programului Adidas Player Development, tehnicianul australian fiind alaturi de romanca doar la turneele importante.
Simona had only words of praise for Cahill, who seems to be the only coach who managed to assert himself in front of the whimsical tennis player.	Simona a avut numai cuvinte de lauda la adresa lui Cahill, care pare singurul antrenor care a reusit sa se impuna în fata capricioasei sportive.
However, the Adidas program will end at the end of this year and Halep must decide whether she provides Cahill with a consistent contract or if she quits working with him.	Programul celor de la Adidas se va incheia insa la sfarsitul acestui an, iar Halep trebuie sa se decida daca ii va oferi un contract consistent lui Cahill sau daca va renunta la colaborare.
We do not know yet exactly what will happen.	Nu stim inca exact ce se va intampla.
We will talk and see.	Vorbim și vedem.
"After Singapore I will be able to provide an answer" confessed Simona at a press conference.	"Dupa Singapore o sa pot sa dau un raspuns", a marturisit Simona în cadrul unei conferinte de presa.
Darren Cahill is one of the most expensive coaches in tennis today and he is asking for a contract of a million dollars a year.	Darren Cahill este unul dintre cei mai scumpi antrenori din tenisul actual, el solicitand un contract de aproximativ un milion de dolari pe an.
In addition, the Australian is also a sports commentator, a job he wouldn't want to quit now.	În plus, australianul este și comentator sportiv, o meserie la care n-ar vrea sa renunte în momentul de fata.
The last competition during which Simona and Cahill will work together is the Champions Tournament from Singapore.	Ultima intrecere la care Simona și Cahill vor lucra impreuna este Turneul Campioanelor, din Singapore.
It was not normal, I was not respected	Nu era normal, nu eram respectat
Victor Piturca has revealed how he parted ways with the Romanian national team in the fall of last year.	Victor Piturca a dezvaluit cum s-a despartit de echipa nationala a Romaniei în toamna anului trecut.
The former coach said she did not get along with FRF president, Razvan Burleanu who replaced Mircea Sandu, and so he decided to leave the national team.	Fostul selectioner a marturisit ca nu s-a inteles cu presedintele FRF, Razvan Burleanu, dupa ce acesta i-a luat locul lui Mircea Sandu, și astfel a luat decizia de a parasi nationala.
Finally, the head of the Federation was asked to substantial increase his salary to make him stay, but he refused.	În cele din urma, i-a propus sefului Federatiei sa-i mareasca substantial salariul pentru a ramane, insa a fost refuzat.
Right now I'm not sorry that I left the national team.	În momentul asta nu imi pare rau ca am plecat de la nationala.
I was sorry then, because I was leaving my work behind.	Atunci imi parea rau, lasam o munca în spate.
I thought that what I was doing at the time was good for me and I think it was indeed good for me.	Asa am considerat atunci ca e bine pentru mine și cred ca a fost bine pentru mine.
What happened to me when I was coach was not normal, I was not respected, people did not respect my work.	Ceea ce mi se intampla cand eram selectioner, nu era normal, nu eram respectat, nu mi se respecta munca.
I worked well with those who used to be in the Federation before, but when Burleanu came to the Federation he had preconceived ideas about me although he did not know me. He used to make his opinion about me from the news.	Am lucrat bine cu cei dinainte de la Federatie, dar cand a venit Burleanu la Federatie a venit cu o idee preconceputa, nu ma cunostea, afla diferite pareri din presa despre mine.
I was not replaced because it was very difficult at that time, considering the results I had, plus the financial situation was taken into account.	Nu m-a schimbat pentru ca era foarte greu în acel moment, cu rezultatele pe care le aveam, plus ca era situatia financiara la mijloc.
I continued working, everything went very well and perhaps he changed his opinions.	Am continuat munca, totul s-a derulat foarte bine și probabil și-o fi schimbat și el ideile.
But I wanted to leave.	Insa am vrut eu sa plec.
If he really wanted me to stay, I proposed an extension of the contract.	Daca voia neaparat sa raman, eu le-am propus atunci o marire de contract.
My salary was about 400 something thousand Euros per year and I was going to receive around 600 thousand Euros.	Avem în jur de 400 și ceva de mii de euro pe an, urma sa am în jur de 600 de mii de euro.
I did not talk to Burleanu, but with his right hand.	Nu am discutat cu Burleanu, ci cu mana lui dreapta.
"He agreed, but only if the team managed to finish in the first place of the group", said Victor Piturca for Dolce Sport.	"A fost de acord, dar numai daca terminam pe primul loc în grupa", a spus Victor Piturca la Dolce Sport.
Victor Piturca resigned from the Romanian national team last fall, although the team perform well in the Euro 2016 qualifiers.	Victor Piturca a demisionat de la nationala Romaniei în toamna anului trecut, desi echipa avea rezultate bune în preliminariile Euro 2016.
The coach has accepted the proposal to train in Saudi Arabia, immediately joining team Al Ittihad.	Tehnicianul a acceptat propunerea de a antrena în Arabia Saudita, el preluand imediat gruparea Al Ittihad.
Armour-clad vehicles and water cannons at the border	Blindate și tunuri de apa la granita
Hungarian police dispatched military Humvee vehicles equipped with machine guns on the border with Serbia after the violent clashes of Wednesday, when water cannons and teargas were used against immigrants who wanted to come in from Serbia, despite the fact that Hungary raised a barbed wire fence.	Politia ungara a detasat vehicule militare Humvee echipate cu mitraliere la granita cu Serbia, dupa ciocnirile violente din cursul zilei de miercuri, cand au fost folosite tunuri cu apa și gaze lacrimogene impotriva imigrantilor care doreau sa patrunda dinspre Serbia, în pofida faptului ca Ungaria a ridicat un gard cu sarma ghimpata.
At least 20 policemen and two children were injured during the clashes, writes Russia Today.	Cel putin 20 de politisti și doi copii au fost raniti în ciocniri, scrie Russia Today.
So far 20 policemen were injured and the ambulance service took over two children who were injured after being thrown over the security fence.	Pana acum 20 de politisti au fost raniti și serviciul de ambulanta a preluat doi copii care au fost raniti dupa ce au fost aruncati peste gardul de securitate.
"We will rebuild the fence, we will strengthen it and we will protect the security of Hungary by any means," said Hungarian Prime Minister's security adviser, Gyorgy Bakondi.	"Vom reface gardul și il vom intari și vom proteja securitatea Ungariei prin orice mijloace", a afirmat consilierul de securitate al premierului ungar, Gyorgy Bakondi.
Police tried to control the mass of people throwing plastic bottles, rocks and pieces of pavement with water cannons and teargas.	Politia a incercat sa controleze cu tunurile de apa și gaze lacrimogene multimea de oameni care arunca cu sticle de plastic, pietre și bucati de paviment.
The authorities reported that several dozens of immigrants broke the fence between the cities of Röszke and Horgos and have managed to enter into the country.	Autoritatile au relatat ca mai multe zeci de imigranti au rupt gardul la trecerea dintre orasele Roszke și Horgos și au reusit sa patrunda în tara.
Hungarian Foreign Minister Peter Szijjarto urged Serbia to take action against the "very aggressive" immigrants at their common border.	Ministrul ungar de Externe, Peter Szijjarto, a cerut Serbiei sa ia masuri impotriva imigrantilor "foarte agresivi" de la granita comuna.
There are reports that Serbs have supplemented their police forces at the border.	Exista rapoarte potrivit carora și sarbii și-au suplimentat fortele de ordine la granita.
Following the incident on Wednesday, Budapest suspended border crossing at Röszke-Horgos for 30 days.	În urma incidentelor de miercuri, Budapesta a suspendat trecerea de la frontiera de la Roszke-Horgos timp de 30 de zile.
Hungary is during a concerted action to close its borders in order to stop immigrants from entering the country.	Ungaria este intr-o actiune concertata de a-și inchide granitele pentru a stavili accesul imigrantilor.
If Tuesday the Hungarian Prime Minister announced that besides the barbed wire fence at the border with Serbia, the country will put up another one at the border with Romania, raising vehement protests from Bucharest, on Wednesday, he announced that a fence will also be up at the border with Croatia.	Daca marti a anuntat ca pe langa gardul de sarma ghimpata de la granita cu Serbia va ridica unul și la granita cu Romania, spre protestele vehemente ale Bucurestiului, miercuri, premierul ungar a anuntat ridicarea unui gard și la frontiera cu Croatia.
The rare illness of a man	Boala rara de care sufera un barbat
American Nick Hess was suspected by his family to be an alcoholic and his wife even filmed him when he was intoxicated, barely holding himself standing and speaking words which were difficult to understand.	Americanul Nick Hess era banuit de familia sa ca e alcoolic, sotia chiar filmandu-l cand era ametit, abia se putea tine pe picioare și cuvintele sale erau greu de inteles.
Although the 35 year old man said he had not been drinking, it was visible that he was intoxicated.	Desi barbatul de 35 de ani spunea ca nu a consumat alcool, era vizibil ca era în stare de ebrietate.
When she first accused me of being drunk without me drinking I thought she was crazy.	Cand m-a acuzat prima oara ca sunt beat, fara sa fi baut, am crezut ca e nebuna.
"But my friends and family thought "that maybe he drinks alone, that he is a secret alcoholic,'" he says, according to the Mirror.	"Insa prietenii și familia credeau 'poate ca bea de unul singur, e un alcoolic în secret'", povesteste acesta, conform Mirror.
When he saw his wife's films with himself the man from Columbus, Ohio did not recognize himself: "I looked into my eyes and I was not there."	Cand a vazut filmarile sotiei sale cu el, barbatul din Columbus, Ohio, pur și simplu nu s-a recunoscut: "Ma uitam în ochii mei și nu eram acolo".
"It was awful, I do not remember anything."	'A fost ingrozitor, nu-mi aminteam nimic'.
In addition, his wife, who, although doubted him for a while, finally took him to countless doctors, remembers that even Nick's breath smelled of alcohol.	În plus, sotia lui, care, desi s-a indoit o vreme de el, în final a mers cu el la nenumarati medici, isi aminteste ca și respiratia lui Nick mirosea a alcool.
The thing that most got Nick thinking was when, after a minor accident, when he had been hit by another car, he was found to have a blood alcohol level three times the legal limit, although the night before he had just one beer.	Momentul care l-a pus cel mai tare pe ganduri pe Nick a fost cand, dupa un accident minor, cand fusese lovit de o alta masina, s-a descoperit ca avea o alcoolemie de trei ori peste limnita legala, desi cu o seara inainte nu consumase decat o singura bere.
After years and countless investigations, it was discovered that Nick suffered from an extremely rare disease, "Auto-brewery syndrome".	Dupa ani și investigatii fara numar, s-a descoperit ca Nick sufera de o boala extrem de rara, "Auto-brewery syndrome".
Basically, his body makes all the consumed carbs to ferment, turning them into alcohol.	Practic, organismul sau face ca toti carbohidratii consumati sa fermenteze, transformandu-se în alcool.
The one who suspected that this might be Nick's illness was his wife.	Cea care a banuit ca aceasta ar putea fi boala lui Nick a fost chiar sotia.
The disease has no cure yet, but since he gave up carbs, Nick has not experienced such episodes.	Boala nu are inca un leac, insa de cand a renuntat la carbohidrati, Nick nu a mai avut astfel de episoade.
A man destroyed a Mercedes with a golf club	A distrus un Mercedes cu o crosa de golf
