28-Year-Old Chef Found Dead at San Francisco Mall	28 Yaşındaki Aşçı San Francisco Alışveriş Merkezinde Ölü Bulundu
Indicating that the telephone call came while they were praying for his son at 01.30 in the night, the father, Fahrettin Açıkgöz, said, "Our esteemed President also participated in prayers."	Gece 01.30'da oğlu için dua ettikleri sırada telefon geldiğini belirten baba Fahrettin Açıkgöz, "Sayın Cumhurbaşkanımız da dualarıyla katıldı."
He said, "I told him that health of our country and him are important for us."	"Ben de ülkemizin ve kendisinin sağlığının bizim için önemli olduğunu söyledim" dedi.
'YOUR HEALTH IS IMPORTANT FOR US'	'SAĞLIĞINIZ BİZİM İÇİN ÖNEMLİ'
President Erdoğan addressed the citizens in front of the Presidential Complex yesterday evening.	Cumhurbaşkanı Erdoğan önceki akşam Cumhurbaşkanlığı Külliyesi önündeki vatandaşlara hitap etti.
After his speech which finished at midnight, Erdoğan gathered some of the citizens at the Complex.	Erdoğan, gece yarısında biten konuşmasının ardından bazı vatandaşlarla Külliye'de bir araya geldi.
Walking hand in had with an older lady who came to the democracy watch, Tayyip Erdoğan talked with the citizens one by one, showed interest in the children and thanked the citizens for their sacrifices.	Demokrasi nöbetine gelen yaşlı bir teyzenin elinden tutarak beraber yürüyen Tayyip Erdoğan, vatandaşlarla tek tek sohbet etti, çocuklarla ilgilendi, fedakârlıklarından dolayı da vatandaşlara teşekkür etti.
After that Erdoğan called July 15 martyr Ömer Can Açıkgöz's father, Fahrettin Açıkgöz, via AK Party Sinop Deputy, Nazım Maviş.	Erdoğan daha sonra, AK Parti Sinop Milletvekili Nazım Maviş'in aracılığıyla 15 Temmuz şehidi Ömer Can Açıkgöz'ün babası Fahrettin Açıkgöz'ü aradı.
Stating that President Erdoğan called at 01.30 in the night while they were praying for his son and the martyrs, the father of TOBB University Faculty of Law student, 21 year old Ömer Can, who was shot in front of the Presidential Complex, Fahrettin Karagöz added, "When I said that we were praying for my son, our esteemed President participated in his prayers."	Cumhurbaşkanlığı Külliyesi önünde vurulan TOBB Üniversitesi Hukuk Fakültesi öğrencisi 21 yaşındaki Ömer Can'ın babası Fahrettin Açıkgöz, gece saat 01.30'da evde oğlu ve şehitler için dua ederken Cumhurbaşkanı Erdoğan'ın aradığını belirterek, "Oğlum için dua ettiğimizi söylediğimde Sayın Cumhurbaşkanımız da dualarıyla katıldı."
I said that the health of our country and him are very important to us.	Ben de ülkemizin ve kendisinin sağlığının bizim için çok önemli olduğunu söyledim.
He said, "We were pleased with our esteemed President and his prayers on the phone."	"Sayın Cumhurbaşkanımızın aramasından ve telefonda dua etmesinden çok memnun olduk" diye konuştu.
FETO's pyramid was crushed	FETÖ"nün piramidi yerle bir oldu
26 FETO members were arrested in Urla, İzmir.	İzmir Urla'da 26 FETÖ'cü tutuklandı.
Being called "mütegalibe", in other words, a "bully", in the organization in line with the testimonies of those who suffered and threatening the people who want to end their Zaman newspaper subscription, Kurtuluş Naip Hepyalçın is among those arrested.	Tutuklananlar arasında mağdurların ifadeleri doğrultusunda örgüt içinde "mütegallibe" yani zorba olarak anılan ve Zaman gazetesi aboneliğini sona erdirmek isteyenleri tehdit eden Kurtuluş Naip Hepyalçın da bulunuyor.
FETO's donation givers, 20 "abla" were arrested in Uşak.	Uşak'ta FETÖ'nün himmetçi 20 ablası tutuklandı.
In Bursa, 24 people, including the former Bursa Police Chief, Ali Osman Kahya, were referred to the judiciary.	Bursa'da aralarında Eski Bursa Emniyet Müdürü Ali Osman Kahya'nın da olduğu 24 kişi adliyeye sevkedildi.
DOCTORS' IMAM WAS ARRESTED	DOKTOR İMAMI TUTUKLANDI
Imam of the organization in charge of doctors, Aydın Tünbel, was arrested in Edirne.	Edirne'de örgütün doktorlardan sorumlu imamı Aydın Tünbel tutuklandı.
30 academics were arrested, among them 14 professors, from Denizli Pamukkale University, 19 academics from Alanya Alaaddin Keykubat University, 2 academics from Karabük University and FETO member lieutenant, colonel Hilmi Sandal, in Rize were also arrested.	Denizli Pamukkale Üniversitesi'nde 14'ü profesör 30, Alanya Alaaddin Keykubat Üniversitesi'nde 19, Karabük Üniversitesi'nde 2 akademisyen, Rize'de FETÖ'cü yarbay Hilmi Sandal gözaltına alındı.
8 judges and prosecutors, 2 deputy governors, 2 district governors were detained in Diyarbakır.	Diyarbakır'da 8 hâkim ve savcı ile 2 vali yardımcısı, 2 kaymakam gözaltına alındı.
It was reported that detention procedures for one of the judges were done in the hearing room.	Hâkimlerden birinin gözaltı işleminin duruşma salonunda yapıldığı öğrenildi.
Deputy governor, Şener Çağlar, was suspended from duty in Batman.	Batman'da vali yardımcısı Şener Çağlar açığa alındı.
Of the 465 police officers that were suspended from duty in the İstanbul Police Department, 2 police chiefs were arrested.	İstanbul Emniyeti'nde açığa alınan 465 polisten 2 polis şefi tutuklandı.
The people arrested 51 police officers in Konya, 14 police officers in Kayseri, 14 police officers in Malatya, 10 police officers in Siirt and provincial imam, Naim S. in Adana.	Konya'da 51, Kayseri'de 14, Malatya'da 14, Siirt'te 10 polis ile Adana'da il imamı Naim S. tutuklandı.
The traitors who shot the people were protecting PKK	Halkı vuran hain PKK'yı koruyormuş
It started to come to light why Turkey, in a bitter struggle to end PKK terrorism for more than forty years, could not destroy the organization leaders in this struggle.	Kırk yılı aşkın süredir PKK terörünü bitirmek için amansız bir mücadele veren Türkiye'nin, bu mücadelesinde örgüt liderlerini neden yok edemediği gün yüzüne çıkmaya başladı.
Having infiltrated the critical institutions of Turkey, FETO militants worked to cling to Turkey's wings from all quarters.	Türkiye'nin kritik kurumlarına sızmış FETÖ militanları, dört yandan Türkiye'nin elini kolunu bağlamak için çalışmış.
At this point today, serious suspicions and proof started to emerge that FETO is behind critical incidents like the Hrant Dink murder, the Uludere incident, the downing of the Russian aircraft.	Bugün gelinen noktada Hrant Dink Cinayeti, Uludere olayı, Rus uçağının düşürülmesi gibi kritik olayların arkasında FETÖ'nün olduğuna dair ciddi şüphe ve deliller ortaya çıkmaya başladı.
TRAITOR'S CRIMINAL PAST IS LENGTHY	HAİNİN SİCİLİ ÇOK KABARIK
Supervising the assassination operation and the raid on the hotel in Marmaris in which President Tayyip Erdoğan stayed during the July 15 coup attempt, FETO member, Brigadier General Gökhan Şahin Sönmezateş, turned out to have a lengthy criminal past.	15 Temmuz darbe girişimi sırasında Cumhurbaşkanı Tayyip Erdoğan'ın Marmaris'teki oteline yapılan baskını ve suikast operasyonunu yöneten FETÖ'cü Tuğgeneral Gökhan Şahin Sönmezateş'in sicilinin hayli kabarık olduğu ortaya çıktı.
It was determined before that Sönmezateş notified terrorists about the air operations against PKK while the planes were taking off.	Daha önce Sönmezateş'in PKK'ya yapılacak hava harekatlarını uçaklar havalanırken teröristlere bildirdiği belirlenmişti.
In research conducted by the intelligence departments, it was determined that Gökhan Sönmezateş has a lengthy criminal past.	İstihbarat birimlerinin yaptığı araştırmalarda da Gökhan Sönmezateş'in sicilinin kabarık olduğu belirlendi.
HE PROTECTED THE TERRORISTS	TERÖRİSTLERİ KORUDU
It came to light that in addition to leaking intelligence to the PKK, Turkish war planes did not shoot the exact determined targets.	PKK'ya istihbarat sızdırılmasının yanı sıra, Türk savaş uçaklarının belirlenen hedefleri tam olarak vurmadığı da gündeme geldi.
It was claimed that the intelligence information given by MIT regarding the point at the foot of Kandil mountains, where the squad leader of the PKK terrorist organization was located, were distorted by Gökhan Sönmezateş and the targets were prevented from being hit.	MİT'in terör örgütü PKK'nın lider kadrosuna ilişkin Kandil eteklerinde verdiği nokta istihbaratın, Gökhan Sönmezateş tarafından saptırılarak hedeflerin vurulmasının önlendiği iddia edildi.
With the change to the coordinates, it was determined that the war planes that flew to destroy the PKK's leaders, hit points to the side of the targets, and so the terrorist leaders escaped.	Koordinatların değiştirilmesiyle, PKK'nın lider kadrosunu imha etmek için havalanan savaş uçaklarının, hedeflerin yan tarafındaki yerleri vurduğu, terör örgütü liderlerinin de böylece kurtulduğu belirlendi.
It emerged in the intelligence inquisition that Sönmezateş played a key role in both the distorting of the targets and by allowing PKK terrorists to escape from their places before the F-16s took off.	İstihbarat incelemesinde, hem hedeflerin saptırılmasında hem de F-16'lar havalanmadan PKK'lı teröristlerin bulundukları yerden kaçmasında Sönmezateş'in kilit rol oynadığı ortaya çıktı.
The cases of 37 thousand commissioned officers are going to be opened	37 bin subayın dosyası açılıyor
After repelling the coup attempt by FETO members under the instruction of terrorist ringleader Fetullah Gülen, a reorganization process started in the Turkish Armed Forces and the Ministry of National Defense.	Terörist başı Fetullah Gülen'in talimatıyla FETÖ üyelerinin darbe girişiminin püskürtülmesinden sonra TSK'da ve Milli Savunma Bakanlığı'nda yeniden yapılanma süreci başlatıldı.
When it was understood that the questions for entry into military high schools were stolen by FETO and the military students that are not members of the organization were sent from the school through intimidation, an extensive cleanup process started.	Özellikle askeri liselere giriş sorularının FETÖ tarafından çalındığını, örgüt üyesi olmayan askeri öğrencilerin yıldırılarak okullardan gönderildiği anlaşılınca, kapsamlı bir temizlik süreci başlatıldı.
With the latest dismissal, while 37 thousand commissioned officers remained from 39 thousand 287 commissioned officers, the clean up carried out for the generals and admirals will also be conducted for commissioned officers.	Son ihraçlarla 39 bin 287 subaydan geriye yaklaşık 37 bin subay kalırken general ve amiraller için yapılan temizlik bu subaylar için de gerçekleştirilecek.
Because of this, promotions will be suspended especially in the squads from lieutenant to commissioned officer grade.	Bunun için özellikle teğmenlerden albay rütbesine kadar olan kadrolarda terfiler dondurulacak.
An extensive investigation will be completed before the promotion.	Terfiden önce kapsamlı bir soruşturma tamamlanacak.
The cases of 37 thousand commissioned officers started to be opened one by one.	37 bin subayın dosyası tek tek açılmaya başlandı.
FETO member soldiers will be uncovered through detailed enquiries.	Kılı kırk yaran bir çalışma ile FETÖ mensubu askerler ortaya çıkartılacak.
The commissioned officers who have no relation with FETO will continue in their posts.	FETÖ ile ilişkisi bulunmayan subaylar ise görevlerine devam edecek.
It is stated that the struggle will continue until the last FETO member is cleared from the army, the promotion of commissioned officers will return to the agenda only after the investigation.	Ordudan son FETÖ'cü temizlenene kadar mücadelenin süreceği belirtilirken, subayların terfisi de ancak soruşturma sonrasında gündeme gelecek.
MİT, Police Intelligence and the State Supervisory Council are conducting the investigation together.	Soruşturmayı ise MİT, Emniyet İstihbarat ve Devlet Denetleme Kurulu birlikte yürütüyor.
Within the scope of the investigation, research will focus on whether the commissioned officers, whose case were opened, rose in rank from non-military or by finishing the military college and the promotions they earned, the places they performed their duties and their commanders.	Soruşturma kapsamında dosyası açılan subayların sivilden mi yoksa harp okulunu bitirerek mi rütbe aldıkları, aldıkları terfiler, görev yaptıkları yerler ve komutanları araştırılıyor.
In addition, it will be investigated whether they are FETO members or not with a detailed investigation into their enlistment period.	Ayrıca tertipleri üzerinden bile FETÖ üyesi olup olmadıkları kılı kırk yaran bir çalışmayla soruşturulacak.
All measures will be taken so that the commissioned officers who do not have any relation with FETO will not be affected by the process.	FETÖ ile hiçbir bağlantısı bulunmayan subayların süreçten olumsuz etkilenmemesi için her türlü tedbir de alınacak.
If any tiny suspicion is found, that commissioned officer will be suspended from duty and brought to the judgment.	En ufak şüpheye rastlanılırsa o subay hemen açığa alınarak yargıya sevk edilecek.
Among those determined to have a relation with FETO, the ones about whom information and documentation are found, will be discharged from the army.	FETÖ bağlantısı tespit edilenlerin, haklarında bilgi ve belge bulunanların ordu ile ilişiği hemen kesilecek.
While all promotions are suspended, the investigation will be widened.	Tüm bu işlemler sırasında terfiler dondurulurken, inceleme derinleştirilecek.
Measures will be taken so that there won't be any vacancies after the dismissals.	İhraçlar sonrası kadrolarda boşluk oluşmaması için de gerekli tedbirler alınacak.
If requested, those who were dismissed from the Turkish Armed Forces because of the FETO conspiracy, and the ones who were made to retire forcibly, can return to their jobs with the same equivalent positions after going through a security investigation.	FETÖ kumpasıyla TSK'dan atılanlar ve zorla emekli edilenler istedikleri taktirde güvenlik soruşturmasından geçtikten sonra eşdeğer kadrolarda ve devre arkadaşları ile aynı özlük haklarıyla mesleklerine dönebilecek.
2 THOUSAND 133 COMMISSIONED OFFICERS WERE DISMISSED	2 BİN 133 SUBAY İHRAÇ EDİLDİ
Turkish General Staff announced the number of personnel in the Turkish Armed Forces as 39 thousand 287 commissioned officers on July 1.	Genelkurmay Başkanlığı TSK'nın personel sayısını 1 Temmuz'da 39 bin 287 subay olarak açıklamıştı.
Consisting of lieutenants, first lieutenants, captains, squadron leaders, lieutenant colonels and colonels, most of the 32 thousand 289 personnel in the commissioned officer level were on duty in Land, Air and Naval forces.	Teğmen, üsteğmen, yüzbaşı, binbaşı, yarbay ve albaylardan oluşan subay sınıfındaki 32 bin 289 personelin çoğunluğu Kara, Hava ve Deniz kuvvetlerinde görevliydi.
However, in the first wave of dismissals on July 27, a total of 1099 commissioned officer were discharged from duty and consisted of 726 from Land, 314 from Air, and 59 from Naval forces.	Ancak 27 Temmuz'daki ilk dalga ihraçlarda 726'sı Kara, 314'ü Hava, 59'u da Deniz kuvvetlerinde olmak üzere bin 99 subay görevden atılmıştı.
In the July 31 decree, relations with 304 commissioned officers with the Turkish Armed Forces were severed, 125 from Land forces and 909 from the General Command of the Gendarmerie.	31 Temmuz'daki kararnamede de 125'i Kara, 909'u da Jandarma Genel Komutanlığı'ndan olmak üzere bin 304 subayın daha TSK ile ilişiği kesilmişti.
Pehlivanoğlu: FETO poisoned Türkeş	Pehlivanoğlu: Türkeş"i FETÖ zehirledi
Having been one of the guards of MHP's founder and first chairman Alparslan Türkeş, the retired Chief Inspector, Tahsin Pehlivanoğlu, claimed that Türkeş was killed by poisoning and it was done by someone from the family in collaboration with FETO.	MHP'nin kurucusu ve ilk genel başkanı Alparslan Türkeş'in korumalarından emekli Başkomiser Tahsin Pehlivanoğlu, Türkeş'in zehirlenerek öldürüldüğünü ve bunu aileden birisinin FETÖ ile işbirliği içinde yaptığını öne sürdü.
Having always been with Türkeş from 1977 to 1997 when he died, Pehlivanoğlu said, "I have not told anyone until today but I have to speak out after watching the image of that soldier removing a part from the helicopter of Muhsin Yazıcıoğlu and seeing that the same soldier was among the coup plotters who were assigned the duty of killing our President."	1977'den, öldüğü 1997'ye kadar her an Türkeş'in yanında olan Pehlivanoğlu, "Bugüne kadar kimseye anlatmadım ama Muhsin Yazıcıoğlu'nun helikopterinden parça söken o asker görüntüsünü izleyip aynı askerin Cumhurbaşkanımızı öldürmek için görevlendirilen darbecilerin içinde olduğunu gördükten sonra konuşmak durumunda kaldım" dedi.
Here is what Türkeş's guard said:	İşte Türkeş'in korumasının söyledikleri:
We went to Germany in 1997.	1997'de Almanya'ya gittik.
We had a check up at the headquarters 3 days before we came.	Gelmeden 3 gün önce başbuğa check-up yaptırdık.
The 33-year-old doctor Fikret, who performed the check up said, "You are like an 18-year-old young man."	Check up yapan 33 yaşındaki Burdurlu doktor Fikret, "18'lik genç gibisin."
He said, "You do not have any illnesses."	"Hiçbir şeyin yok" dedi.
This doctor died from a heart attack 1 month later for some reason.	Bu doktor nedense 1 ay sonra kalp krizinden öldü.
We came back to Ankara on April 3.	3 Nisan'da Ankara'ya döndük.
My chief went to Amasya.	Başbuğum Amasya'ya gitti.
They called me and went to an engagement at the Ankara Hilton.	Dönerken beni aradılar ve Ankara Hilton'daki bir nişana gittiler.
After leaving the engagement, Türkeş said to his chauffeur, Alparslan, "Open the back window."	Nişandan çıktıktan sonra Türkeş şoförü Alparslan'a "Arka camı aç" diyor.
He never opened the window.	Hayatta cam açtırmazdı.
When the window opened, a voice like a hiccup came.	Camı açınca hık diye bir ses geliyor.
They did heart massage and electroshock at the Çankaya Medical Center.	Önce Çankaya Tıp Merkezi'nde kalp masajı, elektro yaptılar ama bitmişti.
We brought him together to the Bayındır Medical Center but it was too late.	Bayındır Tıp Merkezi'ne götürdük hep beraber ama iş işten geçmişti.
I think that he was poisoned in Amasya by one of the family.	Aileden birisinin Amasya'da zehirlediğini düşünüyorum.
An autopsy was not performed on Türkeş.	Türkeş'e otopsi yapılmadı.
His ex wife, Seval Türkeş, must have felt my restlessness, she emerged and made defensive statements like "Türkeş was killed."	Eski eşi Seval Türkeş, benim rahatsızlığımı ve söylemlerimi duymuş olacak ki çıkıp "Türkeş öldürüldü" filan diye savunmaya geçen açıklamalar yaptı.
She should have requested a new autopsy by opening his grave.	İnsan feth-i kabir yaptırır, mezar açtırır.
They said it was a heart attack.	Kalp krizi deyip geçtiler.
Türkeş's grave should be reopened.	Türkeş'in mezarı tekrar açılmalıdır.
Was Alparslan Türkeş killed?	Alparslan Türkeş öldürüldü mü?
They were arrested while smuggling gold to Pennsylvania!	Pensilvanya'ya altın kaçırırken tutuklandılar!
In the operation conducted against the businessmen organization of FETO/PDY in İzmir, fine gold with a weight of 1.5 kg was seized during its transportation to Pennsylvania.	İzmir'de FETÖ/PDY'nin işadamları yapılanmasına yönelik düzenlenen operasyonda 1,5 kilo ağırlığında has altına, Pensilvanya'ya sevkiyatı sırasında el konuldu.
It was reported that an additional 30 kg of fine gold being kept in waiting to smuggle to Pennsylvania was found in the search conducted in workplaces during conduction of the operation.	Düzenlenen operasyonda işyerinde yapılan aramalarda Pensilvanya'ya kaçırılmak üzere bekletilen 30 kilo daha has altın bulunduğu öğrenildi.
After the gold, ready to be sent to Pennsylvania, in the Eldem Kuyumculuk workplace of businessman Mehmet Eldem was found, the 3 detained people were arrested and sent to the jail.	İşadamı Mehmet Eldem'in işyeri Eldem Kuyumculuk'ta bulunan Pensilvanya'ya gönderilmek üzere hazırlanan altınların ardından gözaltına alınan 3 kişi tutuklanarak cezaevine gönderildi.
In addition, the businessmen Mustafa Özkara, Ezel Seçilmiş and Resul Seçilmiş, who were detained in the operation within the scope of the investigation in İzmir, were arrested.	Ayrıca yine İzmir'de yürütülen soruşturma çerçevesinde düzenlenen operasyonda gözaltına alınan işadamları Mustafa Özkara, Ezel Seçilmiş ve Resul Seçilmiş tutuklandı.
In the operation conducted on July 29 by the squads of İzmir Provincial Police Department Directorate of Struggle Against Financial Offenses Division, Aegean and Western Mediterranean Industry and Businessmen Federation (ESİDEF) Chairman of the Board, Mustafa Özkara, and Transit Transportation Petroleum and Tourism Co. Ltd. (BALPET) owners Ezel Seçilmiş and Resul Seçilmiş were arrested.	İzmir İl Emniyet Müdürlüğü Mali Suçlarla Mücadele Şube Müdürlüğü ekiplerinin 29 Temmuz'da düzenlediği operasyonda Ege ve Batı Akdeniz Sanayi ve İşadamları Federasyonu (ESİDEF) Yönetim Kurulu Başkanı Mustafa Özkara ile Batınak Transit Taşımacılık Petrol ve Tur. Tic. Ltd. Şti.'nin (BALPET) sahipleri Ezel Seçilmiş ve Resul Seçilmiş gözaltına almıştı.
Arrested while trying to escape to Kyrgyzstan from İzmir Adnan Menderes Airport, the ESİDEF President, Özkara, was determined to be the son of Osman Gürbüz Özkara on the first board of trustees of Fetullah Gülen and one of the most important people of FETO in the Aegean Region.	Kırgızistan'a kaçmaya çalışırken, İzmir Adnan Menderes Havalimanı'nda yakalanan ESİDEF Başkanı Özkara'nın, Fetullah Gülen'in ilk mütevelli heyeti içerisinde yer alan Osman Gürbüz Özkara'nın oğlu olduğu ve FETÖ'nün Ege Bölgesi'ndeki en önemli isimlerinden biri olduğu belirlenmişti.
It was reported that 5 petrol stations were seized as belonging to other businessmen, Ezel and Resul Seçilmiş, who were detained with the accusation that they provide financial support to FETO.	FETÖ'ye maddi kaynak sağladıkları iddiasıyla gözaltına alınan diğer işadamları Ezel ve Resul Seçilmiş'in sahibi oldukları 5 akaryakıt istasyonuna da el konulduğu bildirilmişti.
1. They stole a car and robbed 3 petrol stations in hours	1 saatte araç çalıp 3 benzinci soydular
The incident happened in Kartal last night.	Olay Kartal'da geçtiğimiz gece meydana geldi.
Coming to Kartal with the car they stole, the two armed culprits firstly robbed a petrol station on the side road, after that another petrol station 300 m further on and another station on the side road.	Gasp ettikleri araçla Kartal'a gelen iki zanlı önce yan yol üzerinde bulunan bir benzin istasyonunun ardından 300 metre ilerideki bir başka benzin istasyonunu, ardından yine yan yol üzerindeki bir başka istasyonu silahla soydu.
Becoming alarmed after the burglaries, Kartal police detected the culprits after a short time and started work to capture them.	Yapılan soygunlar sonrası alarma geçen Kartal polisi zanlıları kısa sürede tespit ederek yakalama çalışması başlattı.
The police followed the car used by the culprits, C.Ş. and U.A.	Polis ekipleri zanlılar C.Ş. ve U.A.'nın kullandığı aracı takibe aldı.
Getting out of the car and starting to escape in the Kartal square direction, the culprits fired guns at the police in that moment.	Kartal meydanı istikametinden kullandıkları araçtan inerek kaçmaya başlayan zanlılar bu sırada polise de ateş etti.
After a chase that continued into the pedestrian area, one of the culprits was captured on Egemenlik Boulevard.	Yaya vaziyette devam eden kovalamaca sonrası zanlılardan biri Egemenlik Bulvarı üzerinde kıskıvrak yakalandı.
Police captured the second culprit after a short time in accordance with the information taken from C.Ş.	Polis C.Ş.'den aldığı bilgi doğrultusunda ikinci zanlıyı da kısa sürede yakaladı.
The culprits were arrested after their processing in the Kartal Public Order Bureau and sent to jail.	Zanlılar Kartal Asayiş Büro'daki işlemlerinin ardından tutuklanarak cezaevine gönderildi.
On the other hand, the masked burglary was recorded by cameras.	Öte yandan, maskeli soygun kameralar tarafından kaydedildi.
In the images shown by the security cameras of the gas station, the culprit firstly enters the station and cases the joint, after that he entered the shop after putting on his mask and taking his gun from the car outside.	Benzin istasyonunun güvenlik kameralarına yansıyan görüntülerde zanlı ilk olarak benzin istasyonuna girerek keşif yapıyor ardından dışarıdaki araçta maskeleri takarak ve silahlarını alarak tekrar markete giriyor.
Initially, there was a scuffle between the first culprit entering the shop and the shop staff.	Markete giren ilk zanlı ile market çalışanı arasında önce boğuşma yaşanıyor.
After the culprit that was attacked by the shop personnel, the other person with him entered with a mask he put on his head and a gun.	Market çalışanının saldırmasıyla dışarı çıkan zanlının ardından yanında bulunan diğer şahıs kafasına taktığı maske ve silahla içeri giriyor.
After the culprit who drew his gun neutralized the personnel, he took 6 thousand 200 lira from the safe.	Silahını çeken zanlı çalışanları etkisiz hale getirdikten sonra kasadaki 6 bin 200 lirayı alarak kaçıyor.
In body searches of the culprits, around 15 thousand Lira they stole from the 3 stations and an unregistered gun was found and the car they had stolen was seized.	Zanlıların yapılan üst aramalarında 3 istasyondan gasp ettikleri yaklaşık 15 bin lira, ruhsatsız bir silah ve yine gasp ettikleri araç ele geçirildi.
Earthquake of 7.2 magnitude in the Pacific Ocean	Büyük Okyanus'ta 7,2 büyüklüğünde deprem
The United States Geological Survey (USGS) announced that the earthquake was recorded as having an epicenter 109 kilometers east of New Caledonia Island and 10 kilometers in depth of the sea.	ABD Jeolojik Araştırmalar Merkezi (USGS), merkez üssü Yeni Kaledonya Adası'nın 109 kilometre doğusundaki depremin deniz yatağının 10 kilometre derinliğinde kaydedildiğini açıkladı.
After the earthquake, which did not cause any life and property loss, the tsunami warning given was canceled after a short time.	Can ve mal kaybına yol açmayan depremden sonra yapılan tsunami uyarısı, kısa süre sonra iptal edildi.
Earthquakes often occur in Vanuatu, which is in the seismic belt of the "Pacific Ring of Fire."	"Pasifik Ateş Çemberi" deprem kuşağında yer alan Vanuatu'da sıklıkla deprem meydana geliyor.
He performed the martyrdom prayer unaware of the coup	Darbeden habersiz şehitlik namazı kılmış
Relatives of 38-year-old Çetin Can, who died a martyr at the Boğaziçi Bridge on July 15 night, are maintaining their composure.	15 Temmuz gecesi Boğaziçi Köprüsü'nde şehit olan 38 yaşındaki Çetin Can'ın yakınları, metanetlerini koruyor.
His wife Fatma Can stated that her husband learned the "martyrdom prayer performed in Shawwal" in a conversation that night while unaware of the coup attempt, upon this he performed the martyrdom prayer in the house and recommended performing this prayer.	Eşi Fatma Can, o gece henüz darbe girişiminden haberleri yokken eşinin "Şevval ayında kılınan şehitlik namazı"nı bir sohbette öğrendiğini, bunun üzerine evde şehitlik namazı kıldığını, kendisine de bu namazı kılmayı tavsiye ettiğini söyledi.
Explaining that they watched the news on TV in the evening after the prayer and learned of the coup attempt, Fatma Can said the following:	Namazın ardından akşam televizyondan haberleri izlediklerini ve darbe girişimini öğrendiklerini aktaran Fatma Can, şunları anlattı:
We got prepared and left together.	Hazırlanıp birlikte çıktık.
When we went to the bridge, there were some people waiting.	Köprüye gittiğimizde, orada bekleyen insanlar vardı.
As soon as we entered the bridge, the tank shot over us 2 times.	Köprüye girer girmez, tank üzerimize 2 kez ateş açtı.
We took shelter, after that we continued to walk when the tank retreated.	Biz siper aldık, daha sonra tank gidince yürümeye devam ettik.
There was a point on the bridge at which a big bus stopped.	Köprüde büyük bir otobüsün durduğu bir nokta vardı.
That place was very crowded.	Orası çok kalabalıktı.
We stopped there and waited for some time.	Orada bir süre durduk, bekledik.
When it did not move on, we though what can we do.	İlerleyemeyince ne yapalım diye düşündük.
Çetin wanted us to pass to the side path.	Çetin de yan şeride geçmemizi istedi.
When we passed to the side path, we became an open target for, I suppose, the sharp shooter and he was shot there.	Yan şeride geçince keskin nişancı diye tahmin ediyorum, açık bir hedef olduk ve orada vuruldu.
4 hours after saying that prayer, Çetin said the prayer and died a martyr.	Çetin o namazı kıldıktan 4 saat sonra o namazı kılıp şehit oldu.
He was not aware of the coup.	Darbeden falan haberi yoktu.
The profundity of God...	Allah'ın bir hikmeti...
Allah gives and Allah takes.	Veren Allah, alan Allah.
My husband said before, "If I die, plant a tree that bears fruit at my grave."	Eşim daha önce "Ben ölürsem mezarıma meyve veren bir ağaç dik" demişti.
I realized his wish by planting a plum tree at the head of his grave.	Bu dileğini mezarının başına erik ağacı dikerek gerçekleştirdim.
Fatma Can indicated that she owes a debt of gratitude to President Erdoğan for visiting her, and she said, "May God be pleased with him."	Fatma Can, Cumhurbaşkanı Erdoğan'a da kendilerini ziyaret ettiği için şükran borçlu olduklarını kaydederek, "Allah razı olsun kendisinden" dedi.
Skulls and bone fragments were found during the excavation of the installation!	Tesisat kazısında kafatası ve kemik parçaları bulundu!
According to the information received, bone fragments emerged from the soil during the work done by Caterpillars to install electrical wiring near the train track at the intersection of Fakülteler Neighborhood, Yeni Ankara Street and Coşkunlar Street at around 20.00 o'clock.	Edinilen bilgiye göre, saat 20.00 sıralarında Çankaya'da Fakülteler Mahallesi Yeni Ankara Caddesi ile Coşkunlar Caddesi kesişiminde bulunan tren yolunun yanında, iş makinelerinin elektrik tesisatı döşemek için yaptığı çalışma sırasında topraktan kemik parçaları çıktı.
Upon this, the workers and neighboring residents informed the police of the situation.	Bunun üzerine çalışanlar ve mahalle sakinleri durumu polise bildirdi.
Upon this notice, police teams were dispatched to the scene of the incident.	İhbar üzerine olay yerine polis ekipleri sevk edildi.
Seeing the 3 skulls and bone fragments found during the works by the Caterpillars, the police informed the incident scene examination teams.	İş makinelerinin çalışmaları sırasında çıkan 3 adet kafatasını ve kemik parçalarını gören polis, olay yeri inceleme ekiplerine haber verdi.
After work by the incident scene examination teams, the bone fragments were put into bags and brought to the forensic medicine institute.	Olay yeri inceleme ekiplerinin çalışmalarının ardından kemik parçaları torbalara konularak adli tıp kurumuna götürüldü.
The neighboring residents claimed that an old cemetery was found at the place in which the bone fragments were extracted, shanty houses were constructed over the cemetery during the 1960's, after which the shanty houses were pulled down.	Mahalle sakinleri, kemiklerin parçalarının çıkarıldığı yerde eski bir mezarlık bulunduğunu, 1960'lı yıllarda mezarlığın üzerine gecekondular yapıldığını, daha sonra gecekonduların da yıkıldığını iddia etti.
An examination has started with regard to the incident.	Olay hakkında inceleme başlatıldı.
It may take 4 months to return Rita's killer	Rita'nın katilinin iadesi 4 ay sürebilir
