Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
Navalny said that the police came to his house in the morning and took him to court.	Navalnyj řekl, že policie ráno přišla k němu domů a odvedla ho soudu.
He was fined for calling people to demonstrations through videos on the YouTube internet portal.	Ten mu pokutu udělil za to, že vyzýval lidi k demonstracím prostřednictvím videí umístěných na internetovém portálu YouTube.
The fine is 300 thousand.	Pokuta je tři sta tisíc.
"Later, we'll take it off the judge's salary," the Kremlin critic joked on Twitter.	"Později je strhneme z platu soudce," žertoval na twitteru kritik Kremlu.
The Russian electoral commission recently concluded that Navalny could not take part in the presidential elections because he was previously convicted of embezzlement.	Ruská volební komise nedávno dospěla k závěru, že Navalnyj se prezidentských voleb nemůže účastnit, protože byl dříve usvědčen ze zpronevěry.
However, Navalny, who is considered to be a fighter against corruption, believes the judgment to be politically motivated.	Navalnyj, který je považován za bojovníka proti korupci, však příslušný rozsudek pokládá za politicky motivovaný.
In addition to the 300,000 roubles, on Thursday the court also imposed fines 25,000 roubles on two members of Navalny's pre-election Team, Leonid Volkov and Nikolai Ljaskin.	Pokuty ve výši 300 tisíc rublů, potažmo 25 tisíc rublů soud ve čtvrtek uložil také dvěma členům Navalného předvolebního týmu, Leonidu Volkovovi a Nikolaji Ljaskinovi.
Navalny entered Russian politics as an anti-corruption blogger and gradually became the dominant figured on the fragmented opposition scene.	Navalnyj vstoupil do ruské politiky jako protikorupční bloger a postupně se na roztříštěné opoziční scéně stal dominantní osobností.
The authorities are trying to defend themselves against Naval any way they can.	Úřady se snaží Navalnému v kampani všemožně bránit.
In February, he was sentenced to a five-year suspended sentence for stealing from the Kirovles forestry company.	V únoru byl odsouzen k pětiletému podmíněnému trestu kvůli tomu, že okradl lesnický podnik Kirovles.
The verdict was upheld by the Court of Appeals in May.	V květnu verdikt potvrdil odvolací soud.
The ruling is so final that it prevents Navalny from nominating himself under Russian law.	Rozsudek je tak pravomocný, což Navalnému podle ruských zákonů brání kandidovat.
Brothers fight over $500 million property empire	Bratři bojují o impérium v hodnotě přes 500 milionů dolarů
Two brothers are at war over one of Victoria's biggest real estate empires, worth more than $500 million, four decades after their Italian family founded the dynasty.	Dva bratři se nyní, více než čtyři dekády po založení impéria jejich italskou rodinou, přetahují o jednu z nejdražších viktoriánských nemovitostí v hodnotě přesahující 500 milionů dolarů.
Former Carlton Football Club director and developer Colin De Lutis lives in a Toorak mansion three doors from younger brother Paul, who has taken him to the Supreme Court over how their property and business assets will be sliced up.	Bývalý ředitel Carlton Football Club a developer Colin De Lutis přebývá na panství Toorak, jen tři místnosti od svého mladšího bratra Paula, který dohnal spor o společný majetek a obchodní jmění až k nejvyššímu soudu.
Paul has wanted out of the family business since 2014 but an acrimonious argument is playing out in the Supreme Court over the break-up.	Paul chtěl rodinný byznys opustit již v roce 2014, ale ostrý spor je neustále propírán před nejvyšším soudem.
Together with their mother Anna the brothers own 38 properties worth more than half a billion dollars, amassed since the family bought a Smith Street, Collingwood, shop in 1973.	Spolu se svou matkou Annou vlastní bratři celkem 38 nemovitostí v hodnotě více než půl miliardy dolarů. První obchod koupila rodina v roce 1973 na Smith Street v Collingwoodu.
There, the family founded Westco Jeans and grew it into a chain of 160 retail outlets.	Na tomto místě založila rodina společnost Westco Jeans, která se rozrostla do řetězce se 160 kamennými obchody.
It sold in 1999 for $85 million.	V roce 1999 prodala rodina celou společnost v přepočtu za 85 milionů dolarů.
That money was sunk into property and the De Lutis portfolio now includes city offices, Brunswick and Sorrento development sites, Gold Coast and Mt Buller apartments, and suburban shopping centres.	Za peníze se nakoupili další nemovitosti a portfolio rodiny De Lutis nyní zahrnuje kanceláře, stavební pozemky v Brunswicku a Sorrentu, byty na Gold Coast a Mt Buller a obchodní centra na předměstí.
Under an agreement with their late father, Colin - described by Paul as "the major driving force and the dominant personality" in the De Lutis family - owns about two-thirds of the company assets and Paul about one-third.	Paul vlastní přibližně jednu třetinu aktiv společnosti, zatímco jeho otec Colin, který je dle Paulových slov „významnou hnací sílou a dominantní osobností“ rodiny De Lutis, vlastní necelé dvě třetiny aktiv.
A court filing says this translates to Colin owning property worth $316 million and Paul $176 million.	Soudní spisy uvádí, že Colin vlastní nemovitosti v hodnotě 316 milionů dolarů, zatímco Paul spravuje nemovitosti za 176 milionů dolarů.
Dividing the properties and cash has proved the sticking point for Paul.	Pro Paula se problémovým stalo právě rozdělení majetku a finančních prostředků.
"The splits proposed by Colin left him with what I considered to be the best properties," he wrote in an initial court affidavit in 2015.	„Colinův návrh vyzněl v mých očích výrazně v jeho prospěch,“ napsal Paul v místopřísežném prohlášení u soudu v roce 2015.
Last Friday, after several failed mediations, the first Supreme Court hearing was held.	Minulý pátek se, po několika neúspěšných pokusech o smír, konalo první zasedání nejvyššího soudu.
The brothers are also now fighting over who controls the existing business - which Paul alleges Colin has locked him out of.	Bratři nyní soupeří také o to, kdo bude ovládat existující byznys - od kterého Paula podle jeho vyjádření Colin odřízl.
Colin argues this is not true, but accuses Paul of incompetently managing some properties.	Colin odporuje tím, že to není pravda a obviňuje Paula z nesprávného nakládání s některými nemovitostmi.
In an early affidavit filed by Colin, he says he hopes to resolve the dispute.	V předešlém místopřísežném prohlášení Colin uvedl, že věří ve zdárné vyřešení konfliktu.
"My Italian heritage dictates that family is the most important priority," he wrote.	„Můj italský původ mi diktuje, že rodina je ze všeho nejdůležitější,“ napsal.
Costs are mounting in the case, with hundreds of pages of affidavits, emails and reports by companies including Deloitte, Pitcher Partners and Charter Keck Cramer filed and top barristers including Allan Myers, QC, and senior solicitors retained by both sides.	Náklady na soudní stání stoupají. Stovky stránek místopřísežných prohlášení, e-maily a zprávy od společností, včetně Deloitte, Pitcher Partners a Charter Keck Cramer zaplavují advokáty, včetně Allana Myerse, QC a obhájců obou stran.
Ms De Lutis and her late husband Luigi were Italian immigrants who ran milk bars and delicatessens from the late 1950s and in the early 1970s bought a shop in Brunswick.	Paní De Lutisová a její zesnulý manžel Luigi byli italští přistěhovalci, jenž provozovali mléčné bary a lahůdky od 50. let 20. století a v 70. letech si koupili obchůdek v Brunswicku.
They used the collateral to buy the Collingwood property where Colin opened the family's first jeans store.	Za peníze získané zastavěním majetku koupili nemovitost v Collingwoodu, kde Colin otevřel první rodinný podnik s džíny.
Colin says he started Westco there when he was "in my final years of high school, when Paul was a young child (around 10 years old)."	Colin řekl, že když zakládal Westco „v posledním ročníku vysoké školy, Paul byl ještě malý, asi 10letý kluk.“
Anna De Lutis says she and Luigi, who died in 2012, hoped to pass down their properties to their sons amicably.	Anna De Lutisová uvedla, že spolu s Luigim, který zemřel v roce 2012, doufali, že převod majetku na syny proběhne po dobrém.
"Luigi often said to me that he never wanted the brothers to end up in court," she wrote.	„Luigi často říkával, že nikdy nechtěl, aby jeho synové skončili u soudu,“ napsala.
Two other brothers, Mark and Luke, are no longer part of the De Lutis group of companies, with Colin saying that Mark was paid $10 million when he left the business, and Luke $26 million.	Další dva bratři, Mark a Luke, již nejsou součástí skupiny společností rodiny De Lutis. Colin uvedl, že Mark byl při svém odchodu odškodněn částkou 10 milionů dolarů a Luke částkou 26 milionů dolarů.
Both Luke and Mark had become, Paul says, "bitter about the terms of their financial separation."	Jak uvedl Paul, Luke i Mark „nebyli spokojeni s podmínkami svého finančního odškodnění“.
Colin has kept a low profile despite being a former AFL club board member and, according to a 2015 biography of Eddie McGuire, the television star's best friend.	Colin se od té doby drží zpátky, navzdory faktu, že je bývalým členem představenstva klubu AFL, jak uvedl ve své autobiografii z roku 2015 Eddie McGuire, známá televizní osobnost a nejlepší přítel Colina.
Fairfax Media contacted Colin and Paul De Lutis on Friday, and their lawyers.	Fairfax Media kontaktovala Colina a Paula de Lutisovy a jejich právníky v pátek.
Only Colin replied, by text message, to say that because the case was before the courts "I really cannot say much."	Odpověděl pouze Colin prostřednictvím textové zprávy, ve které uvedl, že vzhledem k faktu, že spor se řeší před soudem, „nemám k tomu co dodat“.
"It's very, very sad that my brother Paul has chosen to sue me and drag our family name through the courts," he wrote.	„Je velmi smutné, že se můj bratr Paul rozhodl celou záležitost řešit před soudem,“ napsal.
In mid-2016, Colin wrote in one court filing that he had tried to accommodate his brother's requests.	V polovině roku 2016 v jednom z prohlášení u soudu Colin uvedl, že se snažil přizpůsobit požadavkům svého bratra.
"Our father would not have wanted to see Paul and I end up in our current dispute," he said, adding that he was "still hopeful of resolution."	„Náš otec by byl velmi nespokojen, kdyby viděl naši současnou situaci,“ nechal se slyšet a dodal k tomu, že „stále doufá ve zdárné řešení“.
On Friday, that hope appeared gone.	V pátek byly všechny naděje v nedohlednu.
"Our matter will be resolved by the courts in the near future," Colin wrote.	„Naše spory vyřeší v brzké době soudní jednání,“ napsal Colin.
Heatwave in the Czech Republic.	Vedro v Česku.
Teachers hose down children.	Učitelky sprchují děti.
Public transport drivers carry water and wear summer clothes.	Řidiči MHD fasují vodu i letní oblečení.
The 35 children who attend the Na Chodovci kindergarten in Prague 4 are only able to go outside in the morning.	V mateřské škole Na Chodovci v Praze 4, kam nyní dochází asi 35 dětí, chodí ven pouze dopoledne.
The school has just been renovated and the recently planted trees do not provide much shade yet.	Školka je po rekonstrukci a vysázené stromy zatím neposkytují velký stín.
There is no pool there, but the teachers cool children down with a sprinkler.	Není tam bazén, ale učitelky děti sprchují v mlhovišti.
In the afternoon, the children stay in the classroom, where the blinds and curtains are drawn.	Odpoledne děti zůstávají ve třídách, kde jsou stažené žaluzie a zatažené závěsy.
They also try to cool down the air with a purifier as they do not have air conditioning.	Vzduch se snaží ochlazovat čističkou vzduchu, protože klimatizaci nemají.
It is challenging for both the teachers and the cooks.	Je to náročné i pro učitelky a kuchařky.
"The indoor and outdoor temperatures exceed the hygienic limits for kindergartens, so we should not really have been operating at that time," said Miloslava Makovičková, the school director.	"Teplota, která je v interiéru i exteriéru, překračuje hygienické limity pro mateřské školy, takže v tomto období bychom vlastně neměli ani mít otevřený provoz," uvedla ředitelka školky Miloslava Makovičková.
There is a glass corridor in the nursery where the temperature reaches around 40 degrees.	Ve školce je prosklený koridor, kde se podle ní teplota pohybuje kolem 40 stupňů.
We ventilate in the morning around 6:00. We close the windows and we have blinds on the southern sides that protect us.	Vyvětráme ráno po 6. hodině, zavřou se okna a máme na jižních stranách žaluzie, kterými se chráníme.
"But it doesn't help much," she added.	"Ale moc to nepomůže," dodala.
There are better conditions at the Na Hrázi forest kindergarten in Hostivice, where children spend most of their time outdoors.	Lepší podmínky mají v lesní školce Na Hrázi v Hostivicích, kde děti tráví většinu času venku.
We have fully grown trees on the land, so we can stay underneath them.	My máme na pozemku vzrostlé stromy, takže jsme pod nimi.
"We have a beautiful walnut tree with a table under it, and we do different things there," said Barbora Kompanová, the director of the kindergarten.	"Máme tam krásný ořešák, pod ním je stůl, a tam děláme různé věci," popsala ředitelka školky Barbora Kompanová.
Teachers try to go into the woods with the kids, where there is a more shade.	Učitelky se s dětmi snaží chodit do lesa, kde je větší chládek.
The children wear damp caps and there are various kinds of water sports on the schedule.	Dětem mokří čepice a na programu mají různé hry s vodou.
"We have a hand-operated sprinkler that is used for spraying flowers, and we use it for showering the children," said Kompanová.	"Máme ruční tlakový rozprašovač, který se používá na postřiky květin, a my ho používáme na sprchování dětí," řekla Kompanová.
Jitka Vilimovská, the headmaster of the nursery school in Novoborská ulice in the Prosek area of Prague, said that teachers are trying to keep the children in the shade and sprinkle them with water.	Také ředitelka mateřské školky v ulici Novoborská na pražském Proseku Jitka Vilimovská řekla, že se učitelky děti snaží držet ve stínu a kropí je vodou.
"We have a fairly developed garden, so they can stay under the trees," she said.	"Máme poměrně vzrostlou zahradu, takže jsou tam pod stromy," řekla.
The go outside in the morning and then after 15:00.	Ven chodí dopoledne a potom až po 15. hodině.
Every child must have something covering their head.	Každé dítě musí mít pokrývku hlavy.
Teachers also remind children that they should drink.	Učitelky také dětem připomínají, že by se měly napít.
For example, they can choose between slightly sweetened tea or diluted juice, and they drink water in the garden.	Mohou si vybrat například málo slazený čaj nebo ředěný džus a na zahradě mají pítka s vodou.
They also eat green salad every day, and their snacks always include fresh fruits and vegetables, which sometimes brought by their parents.	Každý den mívají také k jídlu zeleninový salát a k svačině vždy čerstvé ovoce a zeleninu, kterou jim někdy přináší i rodiče.
"For example, one mum brought about a ten-kilo melon for the kids today," Makovičková added.	"Třeba dneska tady jedna maminka přinesla asi desetikilový meloun pro děti," dodala Makovičková.
Drivers receive water or a summer uniform.	Řidiči dostávají vodu či letní stejnokroj.
The DPP transport company in Prague is providing them with water, ionised drinks or summer uniforms on hot days.	Pražský dopravní podnik DPP jim poskytuje v horkých dnech vodu, iontové nápoje nebo letní stejnokroje.
The tram and bus drivers' cabins are air conditioned in most cases, said DPP spokeswoman Aneta Řehková.	Kabiny řidičů tramvají i autobusů jsou ve většině případů klimatizované, uvedla mluvčí DPP Aneta Řehková.
In addition to the cabins, the passenger compartments of some trams are also air conditioned.	Klimatizovány jsou kromě kabin některé tramvaje i v prostoru pro cestující.
The tram tracks have not been seriously damaged by the high-temperatures.	Tramvajové koleje vysoké teploty zatím nijak vážně nepoškodily.
Small damage occurred in a circuit in Hostivař.	K drobnému poškození došlo ve smyčce v Hostivaři.
At the current high temperatures, we must pay particular attention to make sure that a sufficient number of drinks are available to the drivers.	Při současných vysokých teplotách dbáme především na to, aby měli řidiči k dispozici dostatečné množství nápojů.
"Chilled drinking water is available on all routes, exchange points and depots," said Řehková.	"Chlazená pitná voda je dostupná ve všech smyčkách, střídacích bodech a vozovnách," uvedla Řehková.
At some depots and exchange points, workers also have access to so-called "sodobars", which dispense cold soda.	Ve vozovnách a na některých střídacích místech mají zaměstnanci k dispozici tzv. sodobary, které vyrábějí chlazenou sodovku.
Drivers also receive soluble ionic beverages as a preventive measure.	Řidiči také dostávají rozpustné ochranné iontové nápoje.
"They can also wear a summer uniform, which makes drivers more comfortable during their daily shifts," the spokesperson added.	"Mohou také využít letní uniformu, která zvyšuje pohodlí řidičů při jejich každodenních směnách," dodala mluvčí.
The hot, dry weather of the past few days has resulted in an increased number of fires.	Horké a suché počasí posledních dní má za následek zvýšený počet požárů.
On Tuesday, firefighters throughout the Czech Republic extinguished 108, which is twice the daily average.	V úterý jich hasiči v celém Česku likvidovali 108, tedy dvojnásobek dlouhodobého denního průměru.
During the day on Tuesday, when temperatures in the Czech Republic climbed above 35 degrees Celsius, firefighters were mainly engaged in putting out fires.	V úterý přes den, kdy teploty v Česku šplhaly přes 35 stupňů Celsia, zaměstnával hasiče hlavně boj s ohněm.
"There are an especially high number of fires in the natural environment, which are associated with wildlife," said firefighter spokesperson Nicole Zaoralová.	"Převažují požáry v přírodním prostředí a také ty, které jsou spojeny se žňovými pracemi," uvedla mluvčí hasičů Nicole Zaoralová.
The firefighters were not even brought any relief evening by the changes in the weather in the evening, as in many places the heat was replaced by storms and torrential rain.	Úlevu hasičům nepřinesla ani večerní změna počasí, kdy horko na řadě míst vystřídaly bouřky a přívalové srážky.
Firefighters attended to 236 incidents in connection with thunderstorms.	V souvislosti s bouřkami hasiči vyjížděli k 236 zásahům.
In particular, many of the calls required them to remove fallen trees and branches.	Šlo zejména o odstraňování popadaných stromů a větví.
"Central Bohemian region was most affected," Zaoralová continued.	"Nejvíce zasahovali ve Středočeském kraji," pokračuje Zaoralová.
However, the help of firefighters was also required in Stvolinek, Česká Lípa, where 60 people from the children's camp had to be evacuated to safety because of the storm.	Pomoc hasičů ale byla třeba i ve Stvolínkách na Českolipsku, kde kvůli bouřce evakuovali do bezpečí 60 lidí z dětského tábora.
The tropical temperatures also created work for rescuers in Prague.	Tropické teploty přidělaly práci také pražským záchranářům.
On Tuesday and on Wednesday night, ambulances were called out to dozens of cases of carbon monoxide poisoning from boilers.	V úterý a v noci na středu vyjížděly sanitky k desítce případů otravy oxidem uhelnatým z karem.
As such, people should have their water heaters checked, rescue services warned.	Lidé by si proto měli nechat své ohřívače vody zkontrolovat, varují záchranáři.
Carbon monoxide is a colourless, odourless gas that is released through incomplete combustion.	Oxid uhelnatý je bezbarvý plyn bez zápachu, který se uvolňuje při nedokonalém spalování.
Symptoms of poisoning include nausea, vomiting, headaches and fainting.	K příznakům otravy patří nevolnost, zvracení, bolest hlavy a pocit na omdlení.
In case of suspected poisoning, you should leave the affected room.	V případě podezření na otravu je třeba opustit zamořenou místnost.
Trump's new chief of staff plans to restrict the president's media diet.	Trumpův nový náčelník štábu plánuje omezit prezidentovu mediální dietu
Others have tried and failed.	Před ním to zkoušeli mnozí a vždy selhali.
Maybe John F. Kelly can actually do it.	Možná, že John F. Kelly to skutečně dokáže.
If so, he will be the first.	Pokud ano, bude tím prvním.
Politico reports that the new White House chief of staff plans to restrict the flow of information to President Trump - including news media reports - in the hope of keeping the boss on a more even keel.	Portál Politico uvedl, že nový náčelník štábu v Bílém Domě plánuje omezit tok informací prezidenta Trumpa - včetně reportáží v televizních zprávách - v naději, že udrží Trumpa na hladině.
Here's a bit from reporter Josh Dawsey:	Zde je část zprávy reportéra Joshe Dawseye:
"When new White House Chief of Staff John F. Kelly huddled with senior staff on his first day at work, he outlined a key problem in President Donald Trump's White House that he planned to fix: bad information getting into the president's hands.	„Když se nový náčelník štábu Bílého Domu John F. Kelly sešel první den v nové funkci se zaměstnanci, nastínil klíčový problém Trumpova Bílého Domu, který hodlá napravit: nesprávné informace, které se dostávají prezidentovi do rukou.
Kelly told the staff that information needed to flow through him - whether on paper or in briefings - because the president would make better decisions if given good information."	Kelly zaměstnancům oznámil, že musí osobně schválit všechny informace - ať už na papíře nebo mluvné slovo - protože prezident se může na základě správných informací lépe rozhodnout.“
Kelly's diagnosis makes perfect sense, but others have tried and failed to tame Trump by monitoring his media diet.	Kellyho diagnóza dává vlastně smysl, ale mnoho jeho předchůdců si na kontrole Trumpa a jeho prezentace v médiích vylámala zuby.
President Trump's relationship with television goes back decades - and now that he's in the White House, his TV-watching habit is still going strong.	Trumpův vztah s médii se datuje několik desetiletí zpět - a nyní, když sedí v Bílém Domě, jeho zvyk sledovat televizní zprávy je ještě silnější.
"If candidate Trump was upset about unfair coverage, it was productive to show him that he was getting fair coverage from outlets that were persuadable," Sam Nunberg, a former campaign adviser, told Politico in February.	„Pokud byl Trump jako kandidát rozrušen čestnými reportážemi, bylo příhodné mu ukázat, že o něm v pozitivním světle mluví spousta jiných médií, která byla jednodušší přesvědčit,“ uvedl v únoru pro Politico Sam Nunberg, bývalý poradce kampaně.
Politico's Tara Palmeri wrote at the time that "the key to keeping Trump's Twitter habit under control, according to six former campaign officials, is to ensure that his personal media consumption includes a steady stream of praise."	Tara Palmeriová z portálu Politico tehdy napsala, že „klíčem k udržení Trumpových tweetů na uzdě - alespoň podle slov šesti bývalých organizátorů jeho kampaně - je zajistit, aby Trump pravidelně sledoval média, která na něj pějí chválu.“
Okay.	Dobrá.
But the idea that Trump's Twitter habit has ever been "under control" is laughable.	Avšak myšlenka, že Trumpova tendence zveřejňovat své názory na Twitteru byla kdy „pod kontrolou“, je směšná.
Maybe these campaign officials know something the rest of us don't - that Trump's tweets would have been even more inflammatory if not for their interventions.	Možná, že tito organizátoři kampaně ví něco, o čem ostatní netuší - že Trumpovy tweety by byly více pobuřující, kdyby je někdo nekontroloval.
We'll probably never know about tweets that Trump didn't send.	O tweetech, které Trump nikdy neodeslal, se s velkou pravděpodobností nikdy nedozvíme.
If his staffers managed to him out of trouble even a few times, then their efforts were worthwhile.	Pokud se jeho zaměstnancům podařilo udržet ho alespoň několikrát na uzdě, pak jejich snaha nevyšla vniveč.
But no one has been able to consistently prevent Trump from stirring up controversy.	Nikdo však dosud nedokázal pravidelně zabránit Trumpovy, aby podnítil kontroverzní témata.
Part of the problem is that in a White House composed of competing factions, people invariably try to advance their agendas by presenting Trump with material - which may or may not be reliable - that promotes their worldviews.	Část tohoto problému vězí v tom, že v Bílém Domě, který sestává ze soupeřících frakcí, se lidé pravidelně snaží posílit svou agendu tím, že Trumpovy podsunují materiály - které mohou, ale nemusí být spolehlivé - jež podporují jejich pohled na svět.
Politico - all over this story - reported in May on advisers' penchants for strategically feeding dubious information to the president.	Portál Politico, který problematiku pokryl ze všech stran, v květnu zveřejnil zprávu o sklonu poradců k předkládání pochybných informací hlavě státu.
This was one example, described by reporter Shane Goldmacher:	Toto je příklad takových informací z pera reportérky Shane Goldmacherové:
"Current and former Trump officials say Trump can react volcanically to negative press clips, especially those with damaging leaks, becoming engrossed in finding out where they originated.	„Současní a bývalí úředníci Trumpa tvrdí, že prezident mnohdy reaguje velmi rozhněvaně na negativní zprávy z médií, obzvláště pak na zprávy o úniku informací, a usiluje o nalezení jejich původu.
That is what happened in late February when someone mischievously gave the president a printed copy of an article from GotNews.com, the website of Internet provocateur Charles C. Johnson, which accused deputy chief of staff Katie Walsh of being 'the source behind a bunch of leaks' in the White House.	K této situaci došlo na konci února, když někdo podstrčil prezidentovi kopii článku z GotNews.com - webové stránky provokatéra Charlese C. Johnsona - který obvinil zástupkyni náčelníka štábu Katie Walshovou z toho, že je ‚zdrojem mnoha úniků informací' z Bílého Domu.
No matter that Johnson had been permanently banned from Twitter for harassment or that he offered no concrete evidence or that he had lobbed false accusations in the past and recanted them.	Bez ohledu na to, že Johnson byl navždy vykázán z Twitteru za obtěžování; nebo že své tvrzení nepodložil žádným důkazem; nebo že již v minulosti zveřejnil falešná obvinění a později je odvolal.
Trump read the article and began asking staff about Walsh."	Trump si článek přečetl a začal se na Walshovou ptát.“
Goldmacher added that then-chief of staff Reince Priebus and White House staff secretary Rob Porter "have tried to implement a system to manage and document the paperwork Trump receives."	Goldmacher k tomu dodal, že tehdejší náčelník štábu Reince Priebus a tajemník Bílého Domu Rob Porter „se snažili implementovat systém ke správě a dokumentaci informací, které prezident Trump obdrží“.
How'd that work out?	Fungovalo by to?
Kelly is trying to do the same thing, three months later.	Kelly se nyní, o tři měsíce později snaží prosadit stejnou strategii.
Perhaps he will prove a more effective manager than Priebus, but Trump is still his impulsive self, and his aides are still vying for influence.	Třeba se ukáže, že je efektivnějším manažerem než Priebus, ale Trumpova impulzivnost se jen tak nevytratí a jeho pomocníci stále soupeří o moc.
Those immutable factors will make Kelly's mission very difficult.	Tyto neměnné faktory Kellyho misi zcela jistě přitíží.
Travellers negotiate trench, return to 'Millionaire's row'	Turisté vyjednávají o příkopu a návratu do ‚Milionářské čtvrti'
Some of the West Midlands' wealthiest homeowners are again at loggerheads with determined travellers who have negotiated a council-dug trench to reclaim a field outside their mansions.	Několik nejmovitějších vlastníků domů v anglickém hrabství West Midland se opět pouští do pře s odhodlanými turisty, kteří vyjednávají s místními úřady o práva na opětovné získání pole za jejich sídly.
The travellers have parked their 20 caravans in a field outside a prosperous street of Solihull dubbed 'millionaire's row'.	Turisté zaparkovali 20 karavanů na poli u vzkvétající ulice ve městě Solihull, které se přezdívá ‚milionářská čtvrť'.
Bringing horses, babies and an army of vans, they have returned after being kicked out only in May, undeterred by a moat dug by the council to prevent their incursions.	Přinášejíc koně, děti a armádu karavanů, turisté se vrací poté, co byli vykázáni v květnu. Nezalekli se ani příkopu, který byl na místě vykopán na základě nařízení úřadů s cílem zabránit jejich vpádu.
The tactful group found a gap in the defences, squeezing their vehicles though a section left unbarricaded to accommodate a pathway.	Taktní skupinka nalezla mezery v obraně a pronikla na pole s karavany nechráněnou mezerou, která posloužila za cestu.
Furious residents have savaged Solihull Council saying it was 'useless at dealing with the problem'.	Vzteklí obyvatelé čtvrti napadli správní radu města Solihull s tím, že ‚není schopna problém vyřešit'.
One anonymous resident said: 'They moved there on Monday night after being moved on from Bentley Heath where they were throwing rocks at passers by.	Jedna z obyvatelek, která si přála zůstat v anonymitě k tomu řekla: ‚Obsadili to místo v pondělí večer poté, co byli přesunuti na ulici Bentley Heath, kde házeli kamením po ostatních lidech.
The council needs to be shamed into action as they are useless at dealing with the problem.	Správní rada by se měla stydět za svou neschopnost problém vyřešit.
The travellers were there in May, were moved on and now they are back again.	Všichni turisté byli přesunuti na jiné místo a teď se vrátili.
More arrived last night, probably even more today.'	Minulou noc dorazili další a dnes jich dojede asi ještě víc.'
She added: 'Birmingham council knows how to deal with this by getting long injunctions to protect their parks.	Dodala, že : ‚Birminghamská správní rada ví, jak s tímto problémem naložit. K ochraně parků využívá soudní příkazy.
I live on Streetsbrook road and I'm not happy to continue paying my council tax when the council can't even stop this.'	Bydlím na Streetsbrook a nemíním dál hradit daně, dokud se správní rada s turisty nevypořádá.'
One local resident who did not wish to be named said: 'It is ridiculous, we have only just seen the last round of these travellers leaving, only to be blighted by another round.	Další z anonymních obyvatelů k tomu řekl: ‚Je to směšné. Zrovna nedávno jsme sledovali poslední odjíždějící turisty a teď jsou zpět.
The numbers have increased this time and a horse has even been seen grazing on the parkland.'	A tentokrát je jich ještě víc a tentokrát si s sebou přivezli koně.'
A spokeswoman for Solihull Council said: 'We are aware of an unauthorised encampment on land off Streetsbrook Road and working alongside Solihull Police, we are undertaking the necessary legal actions to move them on as quickly as possible.	Tiskový mluvčí správní rady města Solihull řekl: ‚Jsme si vědomi neoprávněného pobytu na pozemku poblíž Streetsbrook Road a ve spolupráci s místní policií podnikáme nezbytné právní kroky ke zdárnému vyřešení celého problému.
To support our evidence gathering it is very important that as many local residents as possible report any anti-social or criminal behaviour to the police by calling 101.	Abychom nashromáždili co nejvíce důkazů, je nezbytné, aby co nejvíce místních obyvatel ohlásilo jakékoliv nespolečenské nebo protiprávní chování polici na čísle 101.
This helps build a picture of the situation for the court to consider when we present our case to them.'	Získáme tak celkový obraz, který předneseme u soudu.'
The husband of an MEP was hit by a car in Brussels.	Manžela europoslankyně srazilo v Bruselu auto.
He was picked up by a special government plane.	Přivezl ho vládní speciál.
The government special plane brought the injured Róbert Žitňanský to Bratislava on Wednesday afternoon.	Vládní speciál dopravil zraněného Róberta Žitňanského do Bratislavy ve středu po poledni.
There were two ambulances waiting at the airport, and he constantly monitored by Slovak doctors while on board the plane.	Na letišti čekaly dvě sanitky a na palubě letadla byl pod neustálou kontrolou slovenských lékařů.
The long planned flight went without complications.	Dlouho plánovaný let se obešel bez komplikací.
According to TV JOJ, Robert Zitnansky had a serious accident in Brussels at the beginning of summer.	Róbert Žitňanský měl podle informací TV JOJ počátkem léta v Bruselu vážnou nehodu.
He is said to have been hit by a car, and has been in serious condition since then.	Prý ho srazilo auto a od té doby je ve vážném stavu.
After being transported to his homeland, he was transported to a specialised department in one of Bratislava's hospitals.	Po převozu do vlasti byl transportován na specializované pracoviště jedné z bratislavských nemocnic.
The economic analyst is the husband of Slovak MEP Jana Žitňanská from the NOVA party.	Ekonomický analytik je manželem slovenské europoslankyně Jany Žitňanské ze strany NOVA.
She did not want to comment on the incident.	Ta se k incidentu nechtěla vyjadřovat.
The couple has three children together.	Pár spolu má tři děti.
Italy toughens tone on NGO migrant rescue boats	Italové přitvrzují v boji proti záchranným lodím NGO s imigranty na palubě
Italy has warned NGOs operating migrant rescue boats in the Mediterranean they will not be allowed to continue if they do not sign up to new rules governing their operations.	Itálie oznámila, že zamezí příjezdu záchranných lodí NGO, které připlouvají k pobřeží Itálie s imigranty ze Středozemního moře, pokud NGO nepodepíše nová pravidla regulující jejich operace.
"If NGOs do not sign up to a new code of conduct, it is difficult to see how they can continue operating," Interior Minister Marco Minniti said in an interview with Turin daily La Stampa.	„Pokud NGO nepodepíše nová pravidla chování, bude pro nás těžko představitelné, že by mohli pokračovat ve svých operacích,“ uvedl ministr vnitra Marco Minniti v interview s Turin daily La Stampa.
