This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
Or another Nobel prize winner?	Ou un autre prix Nobel ?
This would be better to judge.	Ce serait mieux pour juger.
As for the Chinese, the Brazilians and others, do not worry about them.	Quant aux Chinois, aux Brésiliens et autres, ne vous inquiétez pas pour eux.
Foreigners are very sensitive to French literature and culture, them.	Les étrangers sont très sensibles à la littérature et à la culture françaises, eux.
They will know how to appreciate Mr.	Ils sauront apprécier M.
Modiano's true value, if they do not already know him!	Modiano à sa juste valeur, s'ils ne le connaissent déjà !
For your part, continue to see Lévy and Musso.	De votre côté, continuez à fréquenter Lévy et Musso.
I agree with you.	Je partage votre avis.
Marc Levy and Guillaume Musso keep all their chances.	Marc Levy et Guillaume Musso conservent toutes leurs chances.
Now let's see who won the Nobel prize in literature: H.	Alors voyons qui a obtenu le Nobel de littérature : H.
Pinter in 2005, D.	Pinter en 2005, D.
Morning chumps.	Salut les affreux.
Ever since I drove one in Iceland, I keep seeing Kia Sportages everywhere.	Depuis que j'en ai conduit une en Islande, j'arrête pas de voir des Kia Sportage partout.
It's like the thing followed me back.	Je crois que ce truc m'a suivi jusqu'ici.
Maybe it plans to run me over?	Peut-être qu'elle veut m'écraser ?
I consume me like the terrifying computer in Superman III?	Ou m'avaler comme l'horrible ordinateur de Superman III ?
Morning Dantra, Still raging?	Bonjour Dantra, toujours la haine ?
Morning DQ - not today, I've taken my pills.	Bonjour DQ - non, pas aujourd'hui, j'ai pris mes médocs.
It's Wednesday!	C'est mercredi !
I've had a few days off.	J'ai eu quelques jours de repos.
They have been fun.	C'était cool.
Last weekend I went to the Nottingham Beer and Cider festival.	Le week-end dernier je suis allé à la fête de la bière et du cidre de Nottingham.
It was messy.	C'était bordélique.
I managed to sample 19 different ales, with Wobbly Weasel being a personal favourite.	J'ai réussi à déguster 19 bières différentes, Wobbly Weasel étant une de mes préférées.
I was pleasantly surprised by the mix of people there, it wasn't just CAMRA nerds (not to be confused with camera nerds of course).	J'ai été agréablement surpris par le mélange de gens là-bas, il n'y avait pas que des fanatiques de CAMRA (à ne pas confondre avec les fanatiques de la caméra).
The drive back on Sunday was painful.	Conduire sur le retour dimanche c'était vraiment dur.
Monday night we went round to my mates grandad's for a game of 9 card brag.	Lundi soir on est allé chez le grand-père d'un pote pour jouer au nine card brag.
Some serious beginners luck saw me walk away with a decent couple of pots.	Grâce à une vraie chance de débutant j'ai pu repartir avec plusieurs mises décentes.
I hope if I make it to 95 I'm as switched on as he is.	J'espère que si j'arrive à 95 ans je serai aussi vif que lui.
Last night I went to a fancy cocktail bar in Farringdon.	Hier soir je suis allé à un bar à cocktails chic à Farringdon.
One of my drinks was served with a rasher of bacon on top.	Une de mes boissons est arrivée avec une tranche de lard dessus.
I admire M.	J'admire M.
Read a little Buddha and you will understand to what extent you are making a mistake, dear Christian.	Lisez un peu Bouddha et vous comprendrez à quel point vous faites erreur, cher Christian.
Having said that, without wishing to annoy you, I believe that you are moving a little away from the subject.	Cela dit, sans vouloir vous contrarier, je crois que vous vous éloignez un peu du sujet.
This famous totality, it prohibits searches for jihadists at the exit of mosques.	Cette fameuse totalité, elle interdit les quêtes pour les djihâdistes à la sortie des mosquées.
It signals without delay trafficking in arms.	Elle signale sans tarder les trafics d'armes.
One either has large open eyes like Meddeb and Taïa or Boubaker, or one has large closed eyes.	Soit on a les yeux grands ouverts comme Meddeb et Taïa ou Boubaker soit on a les yeux grands fermés.
A choice must be made.	Il faut choisir.
It is not by keeping one's eyes closed that one steps into the light.	Ce n'est pas en gardant les yeux fermés qu'on accède a la lumière.
Excuse me, dear Christian, but once again, you make a monumental misinterpretation: all the authorities, organizations or representative associations, Muslim or not, have formally condemned El and his crimes, the French, Muslims or not, have noting to add to these official unanimous condemnations.	Pardonnez-moi, cher Christian, mais encore une fois, vous faites un contre-sens monumental : la totalité des autorités, organisations ou associations représentatives, musulmanes ou non, ayant formellement condamné l'EI et ses crimes, les français, musulmans ou non, n'ont rien à ajouter à ces condamnations officielles unanimes.
He who does not say a word consents.	Qui ne dit mot consent.
The problem is that people like you see them first of all as Muslims, Arabs or Africans.	Le problème, c'est que des gens comme vous les voient d'abord comme des musulmans, des arabes ou des africains.
Not as French.	Pas comme des français.
Unfortunately, dear Kentoc'h Mervel, the doubt exists for everyone.	Malheureusement, cher Kentoc'h Mervel, le doute existe pour tout le monde.
As I have said thousands of times, some have doubts about the approval by French Jews of the Israeli massacres in Gaza, but it would be stupid and indecent to accuse them a priori and to demand that they publicly demonstrate in order to prove to the rest of the French society that they are wrong to doubt them.	Comme je l'ai dit mille fois, certains doutent de l'approbation par les français juifs des massacres israéliens à Gaza, mais il serait stupide et indécent de les en accuser a priori et d'exiger qu'ils manifestent publiquement pour prouver au reste de la société française qu'elle a tort d'en douter.
This principle is, to my mind, the denial of the republic and can only contribute towards crumbling French society.	Ce principe est à mes yeux la négation de la république et ne peut que contribuer à déliter la société française.
If there is no doubt, one might as well say it.	SI il n'y a pas de doute, autant le dire .
He who does not say a word consents, but consents to what?	Qui ne dit mot consent, mais consent à quoi ?
Consents to closeness to El or condemnation of El.	Consent à une proximité avec EI ou à la condamnation d'EI.
Silence is very useful, it is the principal weapon of those who wish to try to please everyone.	Le silence est bien pratique, c'est l'arme principale de ceux qui veulent ménager la chèvre et le choux.
Your position is intellectually honest but pragmatically indefensible.	Votre position est intellectuellement honnête mais pragmatiquement intenable.
Alex Salmond has predicted Scotland could “exact revenge” on the Westminster parties at the ballot box because a huge gap has opened up between their proposals for devolution and what they promised on the eve of the independence referendum.	Alex Salmond a prédit que l'Ecosse pourrait, lors des élections, « se venger » des partis représentés à Westminster parce qu'un énorme fossé s'est creusé entre leurs propositions de décentralisation et ce qu'ils ont promis à la veille du référendum sur l'indépendance.
Cameron must be petrified at the thought of losing all those Westminster seats...	Cameron doit être pétrifié à l'idée de perdre tous ces sièges à Westminster...
Cameron must be laughing his arse off.	Cameron doit se tordre de rire.
What kind of threat is that?	C'est quoi ces menaces ?
The Tories don't give a shit about Scotland as they have no power base there.	Les Conservateurs se foutent complètement de l'Ecosse vu qu'ils n'y ont aucune assise.
They can do whatever they like with total electoral impunity.	Ils peuvent faire ce qu'ils veulent en toute impunité électorale.
I doubt even Cameron is stupid enough to believe that Labour losing Westminster seats to the SNP is a good thing for him and the tories in the long run.	Je ne pense pas que même Cameron soit assez stupide pour croire que le Labour perdant des sièges à Westminster au profit du SNP soit une bonne chose à long terme pour lui et les Conservateurs.
Who will share a tear for the Labour Party.	Qui va verser une larme pour le Parti Travailliste.
Facing a total whip out in Scotland from the SNP and UKIP breaking down their neck up north.	Ils vont se faire totalement éliminer en Écosse par le SNP et UKIP qui vont leur couper la tête dans le nord.
Ed Miliband sign up to the "VOW" believing he was saving his party but didn't understand he was signing off the obituary of his Scottish MPs.	Ed Miliband s'est joint à la « PROMESSE » pensant qu'il sauvait son parti mais sans se rendre compte qu'il signait l'arrêt de mort de ses députés écossais.
No wonder some Labour MPs are asking questions of the Leader.	Pas étonnant que certains députés Travaillistes demandent des comptes à leur dirigeant.
If the SNP win 20-25 seats in a hung parliament situation, even if the seats don't come from the Tories, then they are in a very powerful bargaining position in terms of any coalition and a threat to both the Tories and Labour in terms of making them do what they'd say about devo max.	Si le SNP gagne 20-25 sièges et qu'il n'y a pas de majorité au parlement, même si les sièges ne viennent pas des Conservateurs, ils seront alors en très bonnes position pour négocier n'importe quelle coalition et ils pourront forcer à la fois les Conservateurs et le Labour à faire ce qu'ils ont promis pour une décentralisation maximale.
Think that's more the point.	Je crois que c'est plutôt cela l'important.
Not if Labour or the Tories ever want to get elected in England again.	Pas si le Labour ou les Conservateurs veulent être réélus un jour en Angleterre.
Sucking up to 8% at the expense of the 85% isn't great electoral strategy.	Cirer les pompes de 8 % au détriment de 85 %, ce n'est pas une super stratégie électorale.
Plus once the Scottish MPs can't vote on English matters the Tories will win every vote.	En plus, une fois que les députés écossais ne pourront plus voter sur les sujets qui concernent l'Angleterre, les Conservateurs gagneront tous les votes.
Oh I think he is.	Oh, je crois bien qu'il l'est.
Cameron might not have much to lose, but Milliband certainly does.	Cameron n'a peut-être pas beaucoup à perdre, mais Miliband si.
Maggie done it with the Ulster Unionists and it seemed to serve her well.	Maggie l'a fait avec les unionistes de l'Ulster et ça lui a bien réussi.
Yet he's still on course to be PM in 2015, and has been since he won the leadership of the Labour Party.	Pourtant, il est toujours en lice pour être premier ministre en 2015 et ce depuis qu'il a remporté la direction du Parti Travailliste.
So, roughly speaking, these firms will be virtually behind each reader to watch over their shoulder and see what they read, how they read, and up until the end.	Donc, en gros, ces boîtes seront virtuellement derrière chaque lecteur pour regarder par-dessus son épaule et voir ce qu’il lit, comment il lit, et jusqu’au bout.
This is "The Lives of Others" from East Germany or the KGB applied to the world of CASH...	C’est « La vie des autres » de l’Allemagne de l’Est ou le KGB appliqué au monde du FRIC…
Still the same fascination for surveillance techniques.	Toujours la même fascination pour des techniques de surveillance.
In the long term, that will have at least a sterilizing effect.	A terme, cela aura au minimum un effet stérilisateur.
I'm waiting for the next ticket: Amazon makes YOUR book depending on YOUR profile and automatically thanks to an algorithm of their secret!	J’attends le prochain billet : Amazon fabrique VOTRE livre en fonction de VOTRE profil et cela automatiquement grâce à un algorithme de son secret !
What a wonderful world.	C’est gai comme monde.
Deeply stimulating.	Fortement stimulent.
Thank you for the article.	Merci pour l’article.
As under this system, DRM management is not implemented, it remains for me to read pirated files, books from the public domain or bought from some editors who have the intelligence to offer their files without a control device.	Comme sous ce système, la gestion des DRMs n’est pas implémentée, il me reste la lecture des fichiers piratés, des livres du domaine public ou achetés auprès de quelques éditeurs qui ont l’intelligence de proposer des fichiers sans mouchard.
Given the price that I paid for the Kobo, there are no regrets.	Vu le prix que j’ai payé le Kobo, c’est sans regret.
I am staggered at the widespread abdication of users faced with the widespread appropriation of their private life.	Je suis ahuri de l’abdication généralisée des utilisateurs face à l’appropriation généralisée de leur vie privée.
At your large public bookseller, you will systematically notice that everyone gives their loyalty card (fn*c, d**itre, …).	Chez votre libraire grand public, vous remarquerez systématiquement que tout le monde donne sa carte de fidélité (fn*c, d**itre, …).
There are also demanding masterpieces whose opening and finishing rates are undoubtedly derisory.	Il y a aussi des chefs-d’œuvre exigeants dont les taux d’ouverture et d’achèvement sont sans doute dérisoires.
For example, "Finnegan's Wake" by James Joyce.	Par exemple » Finnegans Wake » de James Joyce.
@Thomas: In the era of Big Data, the data does not really need to be personal to be pertinent.	@Thomas: Dans l’ère du Big Data, la donnée n’a pas vraiment besoin d’être personnelle pour être pertinente.
Be careful not to put all literature in the same compartment.	Attention à ne pas mettre toute la littérature dans le même bac.
The collection of anonymous data when there is a profile...	La récolte de données anonymes quand il y a un profil….
The collection is not anonymous.	La récolte n’est pas anonyme.
It is the data published by Kobo which is, not making it possible to identify the readers or the authors.	Ce sont les données publiées par Kobo qui le sont, ne permettant ni d’identifier les lecteurs, ni les auteurs.
But Kobo does really have this information.	Mais Kobo a bien toutes ces informations, lui.
There have been so many over top, wrong and contradictory statements from the Turkish government in the last few days, that looks like that country is run by a kindergarten class full of schizophrenic toddlers on acid.	Il y a eu tellement de déclarations exagérées, erronées et contradictoires de la part du gouvernement turc ces derniers jours que le pays semble être dirigé par une classe de maternelle pleine de gamins schizophrènes sous acide.
It`s worse than that when you factor in Erdogan`s religious fundamentalism.	C'est encore pire que cela si vous prenez en compte le fondamentalisme religieux d'Erdogan.
Interesting, that some Erdogan supporter thinks Islamist is such an insult, that he deletes your comment, but not mine. ;-)	C'est intéressant que certains partisan d'Erdogan pense qu'islamiste est une telle insulte qu'ils suppriment votre commentaire, mais pas le mien. ;-)
Good one :-P But Turkey is not interested shooting itself in the leg, unless there is something in it for them.	Bien vu :-P Mais la Turquie n'a pas envie de se tirer une balle dans le pied, à moins d'y gagner quelque chose.
If it shoots ISIS, ISIS will shoot back at them, so it is shooting itself in the leg.	Si elle attaque ISIS, ISIS ripostera, donc c'est effectivement se tirer une balle dans le pied.
A retired diplomat and blogger writes 'The AP reported that Iran has warned the US that it would be making a mistake in seeking to topple the Syrian President Bashar Al-Assad as that would put at risk Israel’s security.	Un diplomate à la retraite écrit sur son blog : « L'AP rapporte que l'Iran a mis en garde les États-Unis que ce serait une erreur de chercher à renverser lei président syrien Bachar Al-Assad car cela mettrait en danger la sécurité d'Israël.
It is unclear from the report whether Iran was giving a dire warning of retribution or counseling circumspection.	Il n'est pas clair dans l'article si l'Iran envoyait là un grave avertissement de représailles ou s'il conseillait simplement la prudence.
It’s more likely the latter is the case and at any rate, the stunning thing is that the US-Iranian diplomatic engagement today covers Syria, Israel and regional security.	Cette deuxième option est plus probable et, dans tous les cas, ce qui surprend vraiment c'est qu'aujourd'hui l'engagement diplomatique iranien et américain concerne la Syrie, l'Israël et la sécurité de la région ».
Indian Punchline is highly recommended reading for anyone paying attention to detail as opposed the BS pushed in certain streams of the MSM - the small piece you've linked is an important one and should be read in the same light as previous warnings/realist observations which came out of Iran regarding Afghanistan circa late 1979 - 1980's.	La lecture d'Indian Punchline est à recommander fortement à quiconque fait attention aux détails plutôt qu'aux c*nneries balancées par les médias traditionnels. Le court article dont vous donnez le lien est important et devrait être lu en gardant à l'esprit les observations réalistes / avertissements précédents venus d'Iran à propose de l'Afghanistan autour de 1979 - 1980.
Who are these 'moderates' earnestly fighting the the terrible secular Assad simultaneously the deviants of ISIS ?	Qui sont ces « modérés » qui combattent sérieusement l'horrible Assad laïque et en même temps les pervers d'ISIS ?
Pipeline politics is driving the world over the edge and I would suggest these people referring to non existent ' moderates' start paying more attention to the facts and other options available before packing other peoples kids off to fight WW III.	La politique des pipelines pousse le monde vers l'abime et je suggèrerais à ceux qui font référence à des « modérés » inexistants de faire plus attention aux faits et aux alternatives avant d'envoyer les enfants des autres se battre dans la Troisième Guerre Mondiale.
"Its worse than that when you factor in Erdogan's religious fundamentalism" Are there any other religious fundamentalist leaders in the Middle East?	« C'est encore pire que cela si vous prenez en compte le fondamentalisme religieux d'Erdogan » Y a-t-il d'autres fondamentalistes religieux au pouvoir au Moyen-Orient ?
I can think of one.	J'en ai un en tête.
There should be a Nuremberg trial for Turkish genocide of Armenians.	Il faudrait un procès de Nuremberg pour le génocide arménien commis par les Turcs.
There 'should'?	Il « faudrait » ?
Do you realise that not only the perpetrators, nor any of the victims, can possibly still be alive?	Vous vous rendez compte que ni les criminels, ni les victimes, n'ont la moindre chance d'être encore en vie ?
Bit late for that, old chum...	Un peu tard pour cela, mon pote...
Aren't the perps gonna be a tad long in the tooth now, like maybe 120 years old?	Les criminels ne seraient-ils pas à peine vieux maintenant, genre 120 ans ?
Bit late for that, no?	Un peu tard pour ça, non ?
Sprecicially as regards the CUP triumvirate who planned and led the genocide, Talaat and Djemaal were killed just after WW1 in revenge assassinations by the Armenians, and Enver shot in some godforsaken spot of Central Asia by the Bolsheviks around the same time when he went there on some quixotic mission to found a Turkic Empire ….	Particulièrement concernant le triumvirat du CUP qui a planifié et dirigé le génocide, Talaat et Djemaal tués juste après la 1re Guerre mondiale par vengeance par les Arméniens, et Enver tué par les bolcheviks dans un endroit paumé de l'Asie centrale à peu près à la même époque, quand il y est allé en rêvant de fonder là un empire turc.
What madness!	Quel délire !
An impressive mastery of the slippery slope sophism, but apart from that, one searches in vain for the contact with what is real.	Une maîtrise impressionnante du sophisme de la pente fatale, mais à part ça, on cherche en vain le contact avec le réel.
Only clichés without an argument.	Que de clichés sans argumentation.
The fetus will always hear a heart beating, even in the stomach of a surrogate mother.	Le foetus entendra toujours un coeur qui bat même dans le ventre d'une mère porteuse.
Lesbian couples perhaps simply desire a child and not a wish to be accepted.	Les couples de lesbiennes ont peut être simplement un désir d'enfant et pas une envie d'être acceptée.
Sterile hetero couples as well.	Les couples hétéro stériles aussi.
As for the children!	Quant aux enfants!
What a disgrace to refer to them as future psychologically unbalanced people.	Quelle honte de les désigner comme des futurs déséquilibrés psychologiques.
One day, they will be of an age to defend themselves, to say that they are happy to live, to earn their living and to pay for the retirement of this woman (?)	Un jour, ils auront l'âge de se défendre, de dire qu'ils sont heureux de vivre, de gagner leur vie et de payer la retraite de cette dame (?)
GPA is undoubtedly a temporary "solution" in the evolution of medicine that the world is experiencing.	La GPA est sans doute une "solution" provisoire dans l'évolution de la médecine que connait notre monde.
It does not date from today.	Elle ne date pas d'aujourd'hui.
Many women have carried and brought into the world children who were not their husband's.	Beaucoup de femmes ont porté et mis au monde des enfants qui n'étaient pas de leur mari.
It is still like this, we are made like this...	Il en est encore ainsi, nous sommes ainsi faits...
The important point in the subject is that this practice is organized so that "commercialization" of the body is limited.	L'important en la matière c'est que cette pratique soit encadrée afin que la "marchandisation" du corps soit limitée.
But aesthetic surgery, cosmetics, are they not also commercialization of the body? !	Mais la chirurgie esthétique, les cosmétiques ne sont ils pas aussi marchandisation des corps ? !
Anakronik Fahreinheit ...	Anakronik Fareinheit ...
It is certainly more elegant to get a maid pregnant in a country far away via the internet and PayPal than to take responsibility or to prevent the scandal in another century near your home without shouting it from the rooftops at that time! ...	Il est certes plus élégant de faire engrosser une bonne en pays lointain via internet et Pay Pal que d'endosser ses responsabilités et ou d'éviter le scandale dans un autre siècles près de chez soi sans le crier à cette époque sur tous les toits ! ...
These practices were not, moreover, done in the name of the church! ...	Ces pratiques n'étaient de plus pas faites au nom de l'église ! ...
There are not only Christians and believers who reject these practices.	Il n'y a pas que des Chrétiens et des croyants qui refusent ces pratiques ...
The fact remains that the exploitation of the body is a real problem.	Il n'en reste pas moins que l'exploitation des corps est un vrai problème.
Oh shut up, the man has a passion for something.	Oh taisez-vous, cet homme est passionné de quelque chose.
I was only on the fringes of it in the late 70s in the Midlands.	À la fin des années 70 dans les Midlands je n'ai vu ça que de loin.
I had to go to all dayers as not allowed to go to all nighters!	Je devais y aller la journée parce que je n'avais pas le droit d'y aller la nuit !
But if you were into it and you hear the music- that music today it still moves you.	Mais si vous aimiez ça et que vous écoutez la musique - cette musique aujourd'hui elle vous touche toujours autant.
I don't know why there are so many sniffy comments down here about what Paul Mason is saying, perhaps they are from folk who were never cool even for a couple of years!	Je ne sais pas pourquoi il y a ici tant de commentaires méprisants sur ce que Paul Mason dit, peut-être qu'ils sont postés par des gens qui n'ont jamais été cools, même pour quelques d'années !
I think there's some football stories for you to comment on in the Sports section.	Je crois que dans la section des sports il y a un article sur le foot qui attend vos commentaires.
Top article, true.	Super article, très vrai.
Since the Tony Parson's film, there has been a dearth of coverage that really does reflect the actuality of Northern culture.	Depuis le film de Tony Parson, il y a une pénurie de reportages qui reflétant vraiment la réalité de la culture du Nord de l'Angleterre.
It is hardly a surprise that Paul Mason has got the social and political context right, he understands things.	Rien d'étonnant à ce que Paul Mason ait bien saisi le contexte social et politique, il comprend bien les choses.
Northern soul is still alive, but it has been vampired by capitalism, and is now largely a surface phenomena.	La Northern soul vit toujours, mais elle a été vampirisée par le capitalisme et aujourd'hui c'est essentiellement un phénomène de surface.
That said you can dip you toe in it if you are in the London area in November - 99psoul will once more be spinning soul vinyl with lots of Northern on Saturday 15 November at Farringdon's Betsey Trotwood.	Cela dit, vous pouvez y jetez une oreille si vous êtes dans la région de Londres en novembre : 99psoul va à nouveau passer des vinyles de soul, y compris plein de Northern soul, le samedi 15 novembre au Betsey Trotwood à Farringdon.
I thought 'same old story' as well but this is a well written, reflective little piece.	Moi aussi j'ai pensé « toujours la même histoire », mais voilà un petit article bien écrit et bien pensé.
you really need to be more constructive in your criticism.	vos critiques ont vraiment besoin d'être plus constructives.
Top article.	Super article.
Loved your documentary.	J'ai adoré votre documentaire.
Bet you're glad you escaped Newsnight.	Je suppose que vous êtes heureux d'avoir échappé à Newsnight.
Last train to Wigan from Victoria/Exchange and off at Wallgate.	Dernier train pour Wigan de Victoria/Exchange et descendre à Wallgate.
Pop and pills.	En gobant des pillules.
Thought the station before Wigan was Ince, 15 Min walk to Wigan after buying a ticket to the stop after Victoria!	Quoi que la gare avant Wigan c'était Ince, 15 min à pied de Wigan après avoir acheté un billet pour l'arrêt après Victoria !
The early northern soul scene is depicted in an excellent episode of the George Gently detective series called Gently Northern Soul, set in Newcastle in 1968.	Les débuts de la scène Northern soul sont décrits dans un excellent épisode de la série policière George Gently intitulé Gently Northern Soul, qui se passe à Newcastle en 1968.
Things are becoming more and more poisonous.	Les affaires deviennent de plus en plus empoisonnantes.
The Palestinians do not have a partner for peace.	Les palestiniens n'ont pas de partenaire pour la paix.
Unfortunately, Netanyahou never misses a chance to miss a chance to negotiate peace.	Malheureusement, Netanyahou ne rate jamais une occasion de rater une occasion de négocier la paix.
@Jonathan: Netanyahou is not looking for peace, since he wants to continue to occupy-colonize (besides, this was also the case with Rabin).	@Jonathan : Netanyahou ne cherche pas la paix puisqu'il veut continuer d'occuper-coloniser (d'ailleurs, c'était aussi le cas de Rabin).
It is clear that Rabin, Netanyahou and their electors all preferred occupation-colonization to peace.	Il est évident que Rabin, Netanyahou et leurs électeurs ont tous préféré l'occupation-colonisation à la paix.
He took off his clothes, put them down on the rock and entered the water.	Il ôta ses vêtements, les posa sur le rocher et entra dans l'eau.
An Israeli had stolen them from him.	Un Israélien les lui avait volés.
The Israeli representative got up in anger and shouted: "What are you talking about?	Le représentant israélien se leva en colère et vociféra : "De quoi parlez-vous ?
The Israelis weren't even there at the time!"	Les Israéliens n'étaient même pas là à l'époque !".
The Palestinian representative (UN) smiled and added: and now that things are clearly established	Le représentant palestinien (ONU)sourit et ajouta : et maintenant que les choses sont clairement établies
Israel and the majority of its population have no faith in the Palestinian authority's bipolar government and it will not drop its guard...	Israël et la majorité de sa population n'ont aucune confiance dans le gouvernement bipolaire de l'autorité Palestinienne et ne baissera pas la garde ...
That this displeases the anti-Israelis is obvious, this is not the goal sought...	Que cela déplaise aux anti Israéliens c'est une évidence, ce n'est pas le but recherché ...
Anti-Zionist: But I answered you, I translate: the global geopolitical relationship...	Antisioniste : Mais je vous ai répondu, je traduis : le rapport géopolitique mondial ...
And it is still like this since Politics have been globalized...	Et il en est toujours ainsi depuis que la Politique est mondialisée ...
Avoidance, avoidance...	Évitement, évitement...
In the Israeli-colonialist conflict, for the creation of the Palestinian state, it is certain, it continues!	Dans le conflit israélo-colonialiste, pour la création de l'état palestinien, c'est certain, ça perdure !
For the creation of Israel you have not answered.	Pour la création d'Israel vous ne répondez pas.
Which power relationship allowed the creation of Israel?	Quel rapport de force a permit la création d'Israel ?
Anti-Zionist: the Israeli-Palestinian conflict is still really a power relationship today!	Antisioniste : le conflit Israélo-Palestinien est bien encore aujourd'hui un rapport de force !
Do you doubt that?!!! ...	Vous en doutez ?!!! ...
It's about a lot more than Russell Brand as well, yet the Guardian's writers seem to struggle to get beyond anything he doesn't have to say.	En plus tout ça ne tourne pas uniquement autour de Russell Brand, mais les journalistes du Guardian ont l'air d'avoir du mal à aller au-delà de quoi que ce soit qu'il n'ait pas à dire.
A lot of what he says is ghostwritten sub-Chomskyian woo	Beaucoup de ce qu'il dit ne sont que des billevesées pseudo-chomskystes écrites pas d'autres.
This shows you don't understand what Russell Brand is saying, or what Noam Chomsky is saying.	Voilà qui prouve que vous ne comprenez pas ce que Russell Brand dit, ou ce que Noam Chomsky dit.
Just a collection of personal attacks and insinuations (my 13-year-old daughter likes him, implying it's to do with immaturity).	C'est juste une suite d'attaques personnelles et d'insinuations (ma fille de 13 ans l'aime bien, ce qui voudrait dire que c'est une question d'immaturité).
A really mean spirited attack, with just a hint of awareness that Russell Brand is speaking some truth, maybe a truth that is too much to think about.	Une charge vraiment vicieuse, avec juste un soupçon de prise de conscience que Russell Brand dit certaines vérités, peut-être des vérités auxquelles on préfère ne pas penser.
Hold on to your hat, there's going to be a lot more of this sentiment coming!	Accrochez-vous, ce sentiment va être de plus en plus répandu !
I can understand why Brand rubs some people up the wrong way - can be pretentious in his delivery and after all the tabloid nonsense he does come across as a johnny-come-lately populist, but this whole not voting thing has been completely misinterpreted in my opinion.	Je peux comprendre pourquoi Brand horripile certains : il parle parfois de manière prétentieuse et après toutes les absurdités des tabloïdes il donne effectivement l'impression d'être un populiste débutant, mais toute cette histoire de ne pas voter a été complètement mal interprétée d'après moi.
The general consensus seems to be that he is just telling people not to vote and to put their feet up instead and ignore the whole political process - but if you watch the Paxman interview and other articles/videos he's posted, he's saying merely voting once every 5 years for Labour or Conservative (or the Lib Dems I guess) and limiting democratic engagement to that is completely pointless, as both parties (to slightly differing extents) are basically ruling for vested interests, corporate multi-nationals and the wealthy, At no point does he just say ignore politics completely as these parties aren't ruling in our name - he makes a big point of saying that instead of merely voting and switching off for 5 years, people should become far more politically active from a grassroots level, agitate, protest, petition, whatever and try to influence politics from this level.	Le consensus général semble être qu'il dit juste aux gens de ne pas voter et de plutôt croiser les bras et d'ignorer tout le processus politique - mais si vous regardez l'interview de Paxman et d'autres articles / vidéos qu'il a posté, il dit que voter une fois tous les 5 ans seulement pour le Labour ou les Conservateurs (ou les Lib Dems je suppose) et limiter l'engagement démocratique à cela est complètement inutile, les deux partis (à des degrés légèrement différents) gouvernant essentiellement en faveur d'intérêts particuliers, d'entreprises multinationales et des riches, A aucun moment il ne dit de simplement ignorer complètement la politique parce que ces partis ne gouvernent pas en notre nom : il insiste pour dire que plutôt que de juste voter et de se déconnecter pendant cinq années, les gens devraient devenir beaucoup plus actifs politiquement au niveau local, organiser des mouvements, des manifestations, des pétitions, peu importe et essayer d'influencer la politique à partir de ça.
I'm not saying I necessarily agree with his solution (as I think being politically active in terms of making demands can go hand in hand with voting as politicians are a fickle lot who will change their tune if there is a real prospect of them being voted out of office), but it is annoying seeing all these patronising responses saying the silly Jesus man is telling the youth to not bother voting and just hope for the best as it is mis-representing his argument.	Je ne dis pas que je suis nécessairement d'accord avec sa solution (parce que je pense qu'être actif politiquement en présentant ses demandes peut aller de pair avec le fait de voter, vu que les politiciens sont des girouettes qui changeront d'avis s'ils risquent vraiment de perdre les élections), mais c'est rageant de voir toutes ces réponses condescendantes qui disent que cet imbécile qui fait Jésus dit aux jeunes de ne pas prendre la peine de voter et de juste espérer que tout ira mieux parce que c'est vraiment déformer ses arguments.
His solution is extremely debatable, and it would be nice if people would debate what he actually means rather than just label him irresponsible and sideline the concerns that he and a huge amount of disenfranchised people hold.	Sa solution est extrêmement discutable et ce serait bien si les gens débattait de ce qu'il dit réellement plutôt que de simplement l'étiqueter comme irresponsable et mettre de côté les préoccupations de lui et d'une grandes quantité de personnes laissées pour compte.
Yes - thank you.	Oui, merci.
The voting thing has been entirely misrepresented.	Le truc sur le vote a été complètement déformé.
I deeply resent the pointlessness of a cross on a piece of paper every 5 years when my vote doesn't even bloody well count.	L'inutilité de glisser un bulletin dans une urne tous les 5 ans m'énerve profondément vu que mon vote ne compte vraiment pour rien.
I want more referenda on issues, voting by hole in the wall technology, direct democracy and MPs locally accountable to the electorate.	Je veux plus de référendums, le vote électronique, la démocratie directe et des députés qui rendent compte localement devant leurs électeurs.
Also, I take issue with the suggestion that Russell Brand's words are not his own (ghostwritten).	En outre, je conteste l'idée que les propos de Russell Brand ne soient pas les siens (écrits par d'autres).
He's intelligent enough to come up with his own words and ideas, even if they have been heavily influenced by the kind of anti-establishment, countercultural thinkers and academics that Suzanne would happily lump into one "sub-Chomskyian woo" box.	Il est suffisamment intelligent pour avoir ses propres propos et idées, même si ceux-ci sont fortement influencés par le genre de penseurs et d'universitaires anti-establishment issus de la contre-culture que Suzanne voudrait regrouper sous l'étiquette « billevesées pseudo-chomskystes ».
I'm pretty sure he'd get Suzanne onside in a conversation.	Je suis plutôt convaincu que dans un débat il réussirait à convaincre Suzanne.
