Munich 1856: Four maps that will change your view of the city	München 1856: Vier Karten, die Ihren Blick auf die Stadt verändern
None of the companies described the moves as recalls.	Keines der Unternehmen beschrieb die Unternehmungen als Rückruf.
European carmakers have heavily promoted the use of diesel vehicles in Europe and the United States to help meet rules on carbon dioxide emissions.	Europäische Automobilhersteller haben den Einsatz von Dieselfahrzeugen in Europa und den Vereinigten Staaten stark gefördert, um die Einhaltung von Regeln für Kohlendioxid-Emissionen zu unterstützen.
But the nitrogen oxides that diesel engines emit are considered carcinogens, and can cause asthma.	Aber die Stickoxide, die Dieselmotoren emittieren, gelten als Karzinogene und können Asthma verursachen.
The cost to automotive companies of installing equipment to neutralize the fumes emitted by diesel vehicles is also increasing, making it difficult to keep the price of the cars competitive.	Die Kosten für die Automobilhersteller, Anlagen zur Neutralisierung der von Dieselfahrzeugen ausgestoßenen Abgase zu installieren, nehmen ebenfalls zu, was es schwierig macht, den Preis der Autos wettbewerbsfähig zu halten.
As German automakers face scrutiny, the government of Chancellor Angela Merkel has also been accused of coddling the powerful car companies and of ignoring signs of the problem.	Die deutsche Bundeskanzlerin Angela Merkel wird ebenfalls angeklagt, die mächtigen Autofirmen zu verhätscheln und Anzeichen des Problems zu ignorieren.
The companies are trying to avoid repeating the mistakes of Volkswagen, which covered up its use of so-called defeat devices that could adjust emissions to comply with regulations when a car was being tested, but ease back in normal driving conditions.	Die Unternehmen versuchen, die Fehler von Volkswagen zu vermeiden, das den Einsatz von so genannten Abschalt-Geräten, die Emissionen regulieren konnten, um die Vorschriften einzuhalten, wenn ein Auto getestet wurde, aber bei normalen Fahrbedingungen zurückfahren.
Several Volkswagen executives have been charged in the United States, and others are under investigation on both sides of the Atlantic.	In den Vereinigten Staaten wurden mehrere Angestellte von Volkswagen angeklagt, andere werden auf beiden Seiten des Atlantiks untersucht.
Last month, the former head of thermodynamics at Audi's engine development department was arrested in Germany.	Im vergangenen Monat wurde der ehemalige Leiter der Thermodynamik in der Motorenentwicklung von Audi in Deutschland verhaftet.
The former manager, Zaccheo Giovanni Pamio, is Italian, and therefore is not protected from extradition and could face trial in the United States.	Der ehemalige Manager, Zaccheo Giovanni Pamio, ist Italiener und ist daher nicht vor Auslieferung geschützt und könnte in den Vereinigten Staaten vor Gericht gestellt werden.
Early this year, Audi was swept up into a German criminal investigation involving Volkswagen after the authorities accused Audi of installing a system to evade emissions rules in Europe, broadening an inquiry that had focused on the United States.	Anfang dieses Jahres wurde Audi in deutsche kriminelle Ermittlungen bei Volkswagen einbezogen, nachdem die Behörden Audi beschuldigten, ein System installiert zu haben, um die Emissionsvorschriften in Europa zu umgehen, und eine Anfrage, die sich auf die Vereinigten Staaten konzentrierte, wurde erweitert.
The inclusion of Audi in the investigation could weigh heavily on Volkswagen: The luxury carmaker accounts for a disproportionate share of Volkswagen's profit.	Die Einbeziehung von Audi in die Untersuchung könnte Volkswagen schwer belasten: Der Luxus-Automobilhersteller trägt überproportional zum Gewinn von Volkswagen bei.
The raft on the Isar had this message on Saturday	Diese Botschaft hat das Floß am Samstag auf der Isar
The city wants to protect the Isar.	Die Stadt will die Isar schützen.
So that visitors to Isar play their part, a raft travelled through Munich on Saturday morning with a special message.	Damit auch die Isar-Besucher mitmachen, fährt am morgigen Samstag ein Floß durch München, das eine besondere Botschaft hat.
Anyone drawn to the Isar again on Saturday will see a large raft there, between Flaucher and the Reichenbach bridge.	Wen es am Samstag nochmal an die Isar zieht, der wird dort zwischen Flaucher und Reichenbachbrücke ein großes Floß sehen.
An no normal raft that is, with Isar tourists.	Und das ist kein übliches Floß, mit Isar-Touristen.
Rather, the building department wants to get a message across.	Sondern das Baureferat will aufklären.
There is a large information banner to be seen on the raft.	Auf dem Floß sieht man ein großes Infotransparent.
It depicts a mountain of rubbish.	Es zeigt einen Müllberg.
The prelude to a publicity campaign that wants to call upon visitors to Isar.	Der Auftakt zu einer Öffentlichkeitskampagne, um an die Isar-Besucher zu appellieren.
Using the motto "True love is...", the aim is to strengthen understanding for the Isar as a wild river deserving of protection.	Mit dem Motto "Wahre Liebe ist ..." soll das Verständnis für die Isar als schützenswerten Wildfluss schärfen.
Last summer, the raft travelled over the Isar already, and this year too, there are further campaigns and measures to bring about thoughtful and environmentally aware behaviour.	Schon letzten Sommer fuhr das Floß über die Isar und auch in diesem Jahr gibt es weitere Aktionen und Maßnahmen, um ein rücksichtsvolles und umweltbewusstes Verhalten zu erreichen.
Mordillo's bulbous noses and laughing in the face of sorrow	Mordillos Knollennasen und das Lachen gegen das Leid
Mordillo was for a while one of the most-published cartoonists; his figures' bulbous noses are his trade mark.	Mordillo war zeitweise einer der meistveröffentlichten Cartoon-Zeichner, die Knollennasen seiner Figuren sind sein Markenzeichen.
Even at 85, the Argentinian still draws and is working on a film.	Auch mit 85 zeichnet der Argentinier noch und arbeitet an einem Film.
His message: Laughing, "Because there's too much sorrow in the world."	Seine Botschaft: Lachen, "denn es gibt zu viel Leid in der Welt".
Guillermo Mordillo was born on 4th August 1932 in Buenos Aires, the son of a Spanish immigrant.	Guillermo Mordillo wurde am 4. August 1932 als Sohn spanischer Einwanderer in Buenos Aires geboren.
In his first years as an artist he struggled along as an illustrator for celebration cards, amongst other things – which frustrated him.	In den ersten Jahren als Künstler schlug er sich unter anderem als Zeichner für Glückwunschkarten durch - was ihn frustrierte.
"The happiest day in my professional life was the day I lost my job," he once said.	"Der glücklichste Tag in meinem beruflichen Leben war der Tag, als in meinen Job verlor", sagte er einmal.
Following posts in Lima, New York and Paris, at the end of the 60s he finally got his breakthrough: when his cartoons were published in "Paris Match" and then in the "Stern" as well, and other leading magazines around the world.	Nach Stationen in Lima, New York und Paris gelang ihm Ende der 60er Jahre der Durchbruch: mit der Veröffentlichung seiner Cartoons in "Paris Match" und dann auch im "Stern" und anderen führenden Magazinen rund um die Welt.
Even in China, Mordillo found many fans.	Selbst in China fand Mordillo viele Fans.
The artist always let himself be inspired by cities.	Immer wieder liess sich der Künstler von Städten inspirieren.
Large, rounded Mordillo figures cavort around in his drawings with the leaning tower of Pisa, Big Ben in London and the Red Square in Moscow.	Grosse, rundliche Mordillo-Figuren tummeln sich in Zeichnungen mit dem Schiefen Turm von Pisa, Big Ben in London und dem Roten Platz in Moskau.
In the early morning, he sits at his drawing desk, still today according to his own statements, and works almost ten hours a day.	Am frühen Morgen sitzt er eigenen Angaben zufolge auch heute noch am Zeichentisch, arbeitet täglich fast zehn Stunden.
On calendars, puzzles, books for young and old, t-shirts, soft toys and clocks, his whimsical figures are still disseminated widely around the world.	Über Kalender, Puzzles, Bücher für Gross und Klein, T-Shirts, Plüschtiere und Uhren finden seine drolligen Figuren weiterhin viel Verbreitung weltweit.
In addition, he has been working for six years on an animated film and a TV series with his figures.	Seit sechs Jahren arbeitet er ausserdem an einem Zeichentrickfilm und einer TV-Serie mit seinen Figuren.
The main character in the film "Crazy Island" is a giraffe – Mordillo's favourite animal in his drawings – who has a millipede as his nemesis.	Die Hauptperson im Film "Crazy Island" ist eine Giraffe - Mordillos beliebtestes Tier in seinen Zeichnungen -, die einen Tausendfüssler als Gegenspieler hat.
His figures are speaking for the first time in the 3D film, which should hit cinema screens in 2019.	Erstmals sprechen seine Figuren in dem 3D-Film, der 2019 auf die Kinoleinwand kommen soll.
“I don’t know exactly what they are going to say; it is odd for me," says Mordillo.	"Ich weiss nicht genau, was sie sagen werden, es ist seltsam für mich", sagt Mordillo.
The screenplay was not written by him.	Das Drehbuch wird nicht von ihm geschrieben.
Therefore he is focussing rather on the TV series, which, like his original drawings, is being produced without words.	Deshalb setzt er eher auf die TV-Serie, die, wie seine Originalzeichnungen, wortlos produziert wird.
Provence lavender under threat from climate change	Lavendel aus der Provence vom Klimawandel bedroht
It has become a symbol of Provence in southern France, but there is a warning that it's under threat from climate change.	Er ist zu einem Symbol der Provence in Südfrankreich geworden, aber es gibt eine Warnung, dass er vom Klimawandel bedroht ist.
Lavender is in decline because of drought-like conditions and disease-carrying insects, causing a major headache for scientists and farmers attempting to find solutions.	Der Lavendel ist wegen der an Dürre erinnernden Bedingungen und wegen der Krankheiten übertragenden Insekten rückläufig, was Wissenschaftlern und Landwirten, die versuchen, Lösungen zu finden, große Kopfschmerzen bereitet.
Eric Chaisse, an expert at the Provence-based agricultural research institute CRIEPPAM, said: "Lavender in Provence is effectively endangered, because in recent years the plant has been subjected to the effects of climate change that brought a lot less rain in the spring and mostly in the autumn.	Eric Chaisse, Experte des Agrarforschungsinstituts CRIEPPAM in der Provence, sagte: "Der Lavendel in der Provence ist effektiv gefährdet, weil die Pflanze in den vergangenen Jahren den Auswirkungen des Klimawandels ausgesetzt war, der im Frühjahr viel weniger Regen gebracht hat und im Herbst viel mehr.
This affects the lifespan of lavender.	Dies hat Auswirkungen auf die Lebensdauer von Lavendel.
There's also a small cicada, a micro-bacteria transmitting leaf hopper, and in very dry weather there are lots of them."	Es gibt auch eine kleine Zikade, ein Mikrobakterium, das Zwergzikaden überträgt, und bei sehr trockenem Wetter gibt es sehr viele davon."
And a lot is at stake.	Und es steht viel auf dem Spiel.
As well as attracting holidaymakers, lavender oil is highly sought after for perfume and cosmetics.	Lavendelöl lockt nicht nur für Urlauber an, es ist auch für Parfüm und Kosmetik sehr gefragt.
Eric Chaisse said: "Instead of having very long plant ears with a number of large flowers, we have smaller ones, underdeveloped and either missing or weakened.	Eric Chaisse sagte: "Anstatt sehr lange Pflanzenohren mit einer großen Anzahl von Blumen zu haben, haben wir kleinere, unterentwickelte und entweder fehlende oder geschwächte.
So we have fewer parts with essential oil."	Also haben wir weniger Teile mit ätherischem Öl."
Solutions being looked at include better water distribution and slowing down evaporation from the soil, but also spraying the plants with a protective mix of clay and water and developing varieties more resistant to dry conditions.	Zu den Lösungen, die in Betracht gezogen werden, gehören eine bessere Wasserverteilung und die Verlangsamung der Verdunstung aus dem Boden, aber auch das Besprühen der Pflanzen mit einer schützenden Mischung aus Ton und Wasser und die Entwicklung von Sorten, die gegenüber Trockenheit widerstandsfähiger sind.
The small town of Geisa in the Thuringian Rhön Mountains is today celebrating its 1200-year anniversary.	Das Städtchen Geisa in der thüringischen Rhön feiert heuer sein 1200-jähriges Bestehen.
The highlight of the festivities will be this Saturday and Sunday, with a Medieval festival.	Festhöhepunkt ist diesen Samstag und Sonntag mit einem Mittelalterfest.
On these days, you should be able to experience grocers, guilds, merchants, vagrants or a Landsknecht camp in the town centre.	Krämer, Zünfte, Händler, Vaganten oder ein Landsknechtslager sollen an diesen Tagen in der Innenstadt zu erleben sein.
A journalist's murder underscores growing threat in Mexico	Der Ermordung eines Journalisten unterstreicht die wachsende Bedrohung in Mexiko
The staff of the weekly newspaper Riodoce normally meets on Wednesdays to review their plans for coverage of the most recent mayhem wrought in Sinaloa state by organized crime, corrupt officials and ceaseless drug wars.	Die Mitarbeiter der Wochenzeitung Riodoce treffen sich normalerweise mittwochs, um ihre Pläne für die Berichterstattung über das jüngste Chaos im Staat Sinaloa durch das organisierte Verbrechen, korrupte Beamte und unaufhörliche Drogenkriege zu überprüfen.
But on this day, in the shadow of their own tragedy, they've come together to talk about security.	Aber an diesem Tag, im Schatten ihrer eigenen Tragödie, kamen sie zusammen, um über Sicherheit zu sprechen.
It's important to change their routines, they are told.	Es wurde ihnen mitgeteilt, dass es wichtig ist, ihre Routinen zu ändern.
Two senior journalists discuss what feels safer: to take their children with them to the office, which was the target of a grenade attack in 2009, or to leave them at home.	Zwei hochrangige Journalisten diskutieren, was sich sicherer anfühlt: Sie sollen ihre Kinder mit ins Büro nehmen, die 2009 das Ziel eines Angriffs mit Granaten waren, oder sie zu Hause lassen.
Security experts have written three words on a blackboard at the front of the room: adversaries, neutrals, allies.	Sicherheitsexperten haben drei Wörter auf eine Tafel an der Vorderseite des Raumes geschrieben: Gegner, Neutrale, Verbündete.
They ask the reporters to suggest names for each column - no proof is needed, perceptions and gut feelings are enough.	Sie bitten die Reporter, Namen für jede Spalte vorzuschlagen - kein Beweis ist nötig, Wahrnehmungen und Bauchgefühle reichen.
There are drug-traffickers, politicians, businesspeople, journalists suspected of being on the payroll of the government or the cartels, a catalog of villains who make the job of covering Mexico's chaos perilous.	Es gibt Drogenschmuggler, Politiker, Geschäftsleute, Journalisten, die verdächtigt werden, auf der Gehaltsliste der Regierung oder der Kartelle zu stehen, ein Katalog von Verbrechern, die das Chaos von Mexiko gefährlich machen.
There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.	Es gibt keine Ruhepause von der Gewalt, und während sich im ganzen Land die Leichen häufen, sind immer mehr Journalisten dabei: mindestens 25, seitdem Präsident Enrique Pena Nieto im Dezember 2012 sein Amt angetreten hat. 589 stehen nach Angriffen und Drohungen unter Bundesschutz und bis jetzt gab es in diesem Jahr mindestens sieben Tote in sieben Staaten.
Among the latest is their editor and inspiration, Riodoce co-founder Javier Valdez Cardenas.	Unter den letzteren befindet sich ihr Herausgeber und ihr Inspirator von Riodoce, der Mitbegründer Javier Valdez Cardenas.
"The greatest error is to live in Mexico and to be a journalist," Valdez wrote in one of his many books on narco-violence.	"Der größte Fehler ist es, in Mexiko zu leben und Journalist zu sein", schrieb Valdez in einem seiner zahlreichen Bücher über Gewalt im Zusammenhang mit Drogen.
His absence is felt deeply, although his presence is everywhere - a large photo of Valdez displaying his middle finger, with the word "Justice," hangs on the facade of the Riodoce building; two reporters on their 30s, Aaron Ibarra and Miriam Ramirez, wear T-shirts that display his smiling, bespectacled face or his trademark Panama hat.	Sein Fehlen wird tief empfunden, obwohl seine Anwesenheit überall vorhanden ist - ein großes Foto von Valdez, das seinen Mittelfinger mit dem Wort "Justice" zeigt, hängt an der Fassade des Riodoce-Gebäudes. Zwei Reporter in den dreißiger Jahren, Aaron Ibarra und Miriam Ramirez, tragen T-Shirts, die sein lächelndes Gesicht mit Brille oder seinen typischen Panamahut zeigen.
The workshop takes place less than two months after his death; the reporters discuss their shared trauma, their nightmares, insomnia, paranoia.	Der Workshop findet weniger als zwei Monate nach seinem Tod statt, und die Reporter diskutieren über ihre geteilten Themen, das Trauma, ihre Alpträume, Schlaflosigkeit, Paranoia.
Although a special federal prosecutor's office was established in 2010 to handle the journalists' cases, it has only prosecuted two, according to the Committee to Protect Journalists.	Obwohl 2010 eine Sonder-Bundesanwaltschaft errichtet wurde, um die Fälle von Journalisten zu bearbeiten, hat diese laut dem Komitee zum Schutz von Journalisten nur zwei Strafverfahren eingeleitet.
As with most of the thousands of murders tied to drug trafficking and organized crime each year, the killers of journalists are rarely brought to justice.	Wie bei den meisten Tausenden von Morden, die jedes Jahr mit Drogenhandel und organisiertem Verbrechen verbunden sind, werden die Mörder von Journalisten nur selten vor Gericht gestellt.
At Riodoce, they persist in covering the violence of Sinaloa, though they are heartbroken, though the terrain is more treacherous now.	Bei Riodoce bestehen sie immer noch darauf, die Gewalt von Sinaloa zu behandeln, obwohl sie untröstlich sind und obwohl das Terrain jetzt noch verräterischer ist.
Without information on the killers, without justice, the meeting to discuss security, says Ibarra, is of little use.	Ohne Informationen über die Mörder, ohne Gerechtigkeit, hat das Treffen zur Diskussion der Sicherheit wenig Nutzen, sagt Ibarra.
"It's very foolish to waste my time in this workshop," he says.	"Es ist sehr dumm, meine Zeit in diesem Workshop zu verschwenden", sagt er.
"As long as we don't know why, you distrust everyone."	"Solange wir nicht das Warum kennen, misstrauen wir allen."
On the morning of May 15, Valdez left the Riodoce office in the state capital of Culiacan.	Am Morgen des 15. Mai verließ Valdez das Büro der Zeitung Riodoce in der Landeshauptstadt von Culiacan.
He managed to drive just a couple blocks before his red Toyota Corolla was stopped by two men; he was forced out of his car and shot 12 times, presumably for the name of the paper - which translates as Twelfth River.	Er schaffte es nur, ein paar Blocks weit zu fahren, bevor sein roter Toyota Corolla von zwei Männern angehalten wurde. Er wurde aus seinem Auto gezwungen und 12 Mal wurde auf ihn geschossen, vermutlich wegen des Namens der Zeitung - der mit "Zwölfter Fluss" übersetzt wird.
The gunman drove away in his car and crashed it nearby.	Der Schütze fuhr in seinem Auto weg und beschädigte es in der Nähe.
Valdez was 50 years old.	Valdez war 50 Jahre alt.
He left a wife and two adult children.	Er hinterließ eine Frau und zwei erwachsene Kinder.
Rumors tend to fly freely in Culiacan.	Gerüchte neigen dazu, in Culiacan frei umherzufliegen.
But on the subject of Valdez, there's practically nothing but silence.	Aber zum Thema Valdez gibt es praktisch nichts als Schweigen.
Since Guzman's arrest last year and extradition to the United States in January, Sinaloa has been one of the country's bloodiest battlegrounds as rival factions fight to fill the vacuum.	Seit Guzmans Verhaftung im vergangenen Jahr und der Auslieferung in die Vereinigten Staaten im Januar war Sinaloa zu einem der blutigsten Schlachtfelder des Landes geworden, da rivalisierende Fraktionen hier kämpfen, um das Vakuum zu füllen.
Never mind that someone or several people are shot dead in the street every day in Sinaloa, or that the cemetery is filled with ornate, two-story mausoleums for drug kings, larger than many homes for the living.	Es macht nichts aus, dass in Sinaloa jeden Tag jemand oder mehrere Menschen auf der Straße erschossen werden oder dass der Friedhof voll ist von verzierten, zweistöckigen Mausoleen für Drogenkönige, die größer sind als viele Häuser für die Lebenden.
Forget for a minute that a state of "calm" is when just one cartel is in control of the coastal state with its valuable ports and drug-trafficking routes to the United States.	Vergessen Sie für eine Minute, dass es einen Zustand der "Ruhe" gibt, wenn nur ein Kartell die Kontrolle über den Küstenstaat mit seinen wertvollen Häfen und Drogen-Handelsrouten in die Vereinigten Staaten hat.
Despite that, and the fact that Valdez was intimately aware of the perils of his work, Ismail Bojorquez, 60, a co-founder and director of Riodoce, is wracked with guilt for failing to protect his friend.	Trotzdem und trotz der Tatsache, dass Valdez sich der Gefahren seiner Arbeit bewusst war, ist Ismail Bojorquez (60), ein Mitbegründer und Direktor von Riodoce, mit der Schuld daran zerbrochen, dass er seinen Freund nicht beschützen konnte.
He believes two errors contributed to the killing.	Er glaubt, dass zwei Missverständnisse zu dem Mord beigetragen haben.
First there was the publication in February of an interview with Damaso Lopez, a leader of one of the rival cartel factions at war with Guzman's sons.	Zunächst gab es im Februar die Veröffentlichung eines Interviews mit Damaso Lopez, einem Anführer einer der rivalisierenden Kartellfraktionen im Krieg mit Guzmans Söhnen.
The piece may have angered the sons; suspected gang members bought up every copy of the edition as soon as they were delivered to newsstands.	Diese Veröffentlichung mag die Söhne verärgert haben, vermutete Gangmitglieder kauften jedes Exemplar der Ausgabe auf, sobald sie an Zeitungskioske ausgeliefert wurde.
The second mistake was not forcing Valdez to leave the country for his own safety after the seizure of another newspaper that carried the same story.	Der zweite Fehler lag darin, Valdez nicht dazu zu zwingen, nach der Beschlagnahme einer anderen Zeitung, die dieselbe Geschichte veröffentlicht hatte, das Land zu seiner eigenen Sicherheit zu verlassen.
Valdez was a legend in Mexico and abroad, and his killing is seen as a milestone in Mexican violence against journalists.	Valdez war eine Legende in Mexiko und im Ausland, und seine Tötung wird als ein Meilenstein in der mexikanischen Gewalt gegen Journalisten angesehen.
He'd survived for so long, his friends and colleagues assumed he'd always be there.	Er hatte so lange überlebt, dass seine Freunde und Kollegen annahmen, dass er immer da sein würde.
He was a veteran reporter for Noroeste in 2003 when he joined five colleagues in creating Riodoce, selling $50 shares.	Er war 2003 als erfahrener Reporter für Noroeste tätig, als er sich mit fünf Kollegen zur Gründung von Riodoce zusammenschloss und 50 US-Dollar Beteiligungen verkaufte.
In Sinaloa, "it was impossible to do journalism without touching the narco issue," said Bojorquez.	In Sinaloa, "war es unmöglich, Journalismus zu betreiben, ohne auf das Rauschgift-Problem zu stoßen", sagte Bojorquez.
Over time the paper earned a reputation for brave and honest coverage, and sales and advertising increased.	Mit der Zeit verdiente sich die Zeitung einen Ruf wegen der mutigen und ehrlichen Berichterstattung, und der Umsatz und die Werbung nahmen zu.
Reporters loved being able to publish hard-hitting investigations without fear of censorship, and readers were fascinated by a publication where they could read stories nobody else dared to cover.	Reporter liebten es, hart treffende Untersuchungen ohne Angst vor Zensur veröffentlichen zu können, und die Leser waren von einer Publikation fasziniert, in der sie Geschichten lesen konnten, die niemand sonst zu behandeln wagte.
Eight years after Riodoce was founded, it won the prestigious Maria Moors Cabot award for coverage in Latin America.	Acht Jahre nach der Gründung von Riodoce erhielt sie den prestigeträchtigen "Maria-Moors-Cabot-Preis" für ihre Berichterstattung in Lateinamerika.
That same year, Valdez won the International Press Freedom Award of the Committee to Protect Journalists for his courage in pursuing the Mexican drug story wherever it led.	Im selben Jahr gewann Valdez den 'International Press Freedom Award' des Komitees zum Schutz von Journalisten für seinen Mut bei der Verfolgung der mexikanischen Drogengeschichte, wo auch immer sie hinführte.
He freely acknowledged that he was frightened.	Er gab freiwillig zu, dass er Angst hatte.
"I want to carry on living," he said at the time of the CPJ award.	"Ich möchte weiterleben", sagte er zur Zeit der CPJ-Auszeichnung.
Drug trafficking in Sinaloa "is a way of life," he said last October, in an interview with Rompeviento TV.	Drogenhandel in Sinaloa "ist eine Lebensweise", sagte er im vergangenen Oktober in einem Interview mit Rompeviento-TV.
"You have to assume the task that falls to you as a journalist - either that or you play dumb.	"Sie müssen die Aufgabe übernehmen, die Ihnen als Journalist zufällt - entweder das oder Sie spielen den Dummen.
I don't want to be asked, 'What were you doing in the face of so much death ... why didn't you say what was going on?'"	Ich möchte nicht gefragt werden: "Was hast du angesichts so vieler Toter getan ... warum hast du nicht gesagt, was vor sich ging?"
The Riodoce staff misses Valdez, the jokester who swore like a longshoreman, the friend generous with hugs and advice, a teacher who knew how to survive.	Das Riodoce-Team vermisst Valdez, den Spaßvogel, der wie ein Hafenarbeiter fluchen konnte, den Freund, der großzügig mit Umarmungen und Ratschlägen war, ein Lehrer, der wusste, wie man überlebt.
They relied on his routine.	Sie vertrauten auf seine Routine.
He would always wear his hat.	Er würde immer seinen Hut tragen.
He would go to El Guayabo, the bar across from the office, and would always sit at the same table.	Er würde immer zu El Guayabo, der Bar gegenüber vom Büro, gehen und dort immer am selben Tisch sitzen.
Now, they ask: Was his love of routine his downfall?	Nun fragen sie: War seine Liebe zur Routine sein Verderben?
His death also has forced them to question their own assumptions about how best to do their jobs and stay alive.	Sein Tod hat auch sie dazu gezwungen, ihre eigenen Annahmen darüber in Frage zu stellen, wie sie ihre Arbeit am besten erledigen und dabei am Leben bleiben können.
"They don't like it if you mess with their women, their children, their clean businesses, their clandestine airstrips" used to move drugs.	"Sie mögen es nicht, wenn Sie sich mit ihren Frauen, ihren Kindern, ihren sauberen Geschäften, ihren heimlichen Start- und Landebahnen", um Drogen zu bewegen, beschäftigen.
"Those things were off-limits," said Bojorquez.	"Diese Dinge waren nicht erlaubt", sagte Bojorquez.
The result is, even in the best of times, a high-level of self-censorship and self-preservation.	Das Ergebnis ist, selbst in den besten Zeiten, ein hohes Maß von Selbstzensur und Selbsterhaltung.
Trusting one's instincts.	Seinen eigenen Instinkten vertrauen.
If it smells wrong, stay away.	Wenn es falsch riecht, bleib davon weg.
The trouble, said Riodoce editor Andres Villarreal, is that "smell is a sense that can be fooled ... and then the thing with Javier happened."	Der Ärger ist, sagte der Herausgeber des Riodoce Andres Villarreal, dass "Geruch ein Sinn, der getäuscht werden kann ... und dann ist die Sache mit Javier passiert."
The old rules, he and others say, no longer apply in Sinaloa - just as they don't in Tamaulipas, Veracruz, Guerrero and other states that are home to a toxic mix of lucrative smuggling routes, weak institutions and corrupt government officials.	Die alten Regeln, wie er und andere sagen, gelten in Sinaloa nicht mehr - genauso nicht wie in Tamaulipas, Veracruz, Guerrero und anderen Staaten, in denen eine giftige Mischung aus lukrativen Schmuggelrouten, schwachen Institutionen und korrupten Regierungsbeamten zuhause ist.
The landscape constantly shifts.	Die Landschaft verändert sich ständig.
In the room where Riodoce staff met for security training, suddenly no cellphones were allowed; days before, it was revealed that spyware sold exclusively to governments had been used to monitor journalists and activists in Mexico.	In dem Raum, in dem sich die Mitarbeiter von Riodoce zum Sicherheitstraining trafen, waren plötzlich keine Handys erlaubt. Tage zuvor wurde bekannt, dass Spyware, die ausschließlich an Regierungen verkauft wird, zur Überwachung von Journalisten und Aktivisten in Mexiko verwendet wurde.
Outside, two police officers sought relief from the 104-degree (40 Celsius) heat in the shade of a tree.	Draußen suchten zwei Polizisten Schutz vor der Hitze von 104 Grad (40 ° C) im Schatten eines Baumes.
They were assigned by the state government to guard Riodoce's offices, housed in a four-story building in a middle-class neighborhood of Culiacan.	Sie waren von der Landesregierung beauftragt, die Büros von Riodoce in einem vierstöckigen Gebäude in einem Mittelklasse-Viertel von Culiacan zu schützen.
Half-jokingly, some of the reporters wondered whether these officers are among the 50 percent of cops whom the governor himself has said are not trustworthy.	Halb im Scherz, fragten sich einige der Reporter, ob diese Offiziere zu den 50 Prozent der Polizisten gehören, die der Gouverneur selbst als nicht vertrauenswürdig bezeichnete.
It has been months since the reporters have gone into the mountainous countryside, where the drug gangs are in de facto control.	Es ist Monate her, seit die Reporter in die Berglandschaft gegangen sind, wo die Drogenbanden de facto unter Kontrolle stehen.
For this week's edition Riodoce was looking at three main stories.	Für die Ausgabe dieser Woche hat Riodoce auf drei Hauptgeschichten geblickt.
There was the killing of former boxing great Julio Cesar Chavez's brother in Sinaloa.	Es gab die Ermordung des Bruders des ehemaligen bekannten Boxers Julio Cesar Chavez in Sinaloa.
They also had an expose on government spending concentrated in the governor's hometown.	Sie hatten auch ein Exposé zu den Staatsausgaben, das sich auf die Heimatstadt des Gouverneurs konzentrierte.
And there was a group kidnapping in one of Culiacan's most expensive restaurants, a block from the prosecutor's office.	Und es gab eine Gruppe, die in einem der teuersten Restaurants in Culiacan, einen Block vom Büro des Staatsanwaltes entfernt, eine Entführung durchführte.
There was no official word on who was abducted or how it happened, so caution set in when it came time to write what everyone in the city knows: that the restaurant is a favorite of both drug traffickers and authorities.	Es gab kein offizielles Wort darüber, wer entführt wurde oder wie es geschah, also war Vorsicht geboten, als es Zeit wurde zu schreiben, was jeder in der Stadt weiß: dass das Restaurant ein Lieblingslokal von Drogenhändlern und Behörden ist.
A reporter learned from public records that the restaurant was registered under the name of a politician belonging to the ruling Institutional Revolution Party, or PRI, which dominated all levels of politics for nearly all of the last century.	Ein Reporter erfuhr aus öffentlichen Aufzeichnungen, dass das Restaurant unter dem Namen eines Politikers registriert wurde, der der regierenden Institutional Revolution Party (PRI) angehört, die fast das ganze Jahrhundert alle politischen Ebenen beherrschte.
Recently several PRI governors have been accused of corruption in high-profile cases.	Vor kurzem wurden mehrere PRI-Gouverneure wegen hochkarätiger Fälle von Korruption beschuldigt.
Villarreal asked the reporter to write about prior incidents in that locale, including one in which a son of "El Chapo" Guzman escaped a military raid.	Villarreal bat den Reporter, über vorhergehende Vorfälle in diesem Lokal zu schreiben, darunter einen, in dem ein Sohn von "El Chapo" Guzman einem militärischen Überfall entging.
Just months before, readers would have looked to Valdez's column for the best-sourced information about the kidnapping.	Nur wenige Monate zuvor hätten die Leser die Kolumne von Valdez als die am besten informierte Quelle über die Entführung angesehen.
"Before, we would have already known what happened," said Villarreal, 46, nicknamed "El Flaco" for his slender build.	"Früher hätten wir schon gewusst, was passiert ist", sagte Villarreal, 46, mit dem Spitznamen "El Flaco" wegen seiner schlanken Körperstatur.
"Now all channels of communication with our sources have been broken."	"Jetzt sind alle Kanäle der Kommunikation mit unseren Quellen zerbrochen."
Valdez's office has been repurposed as a storage room for signs and stickers protesting journalist killings, as staff have become something they never expected to be: activists on behalf of the press.	Das Büro von Valdez wurde zum Aufbewahrungsraum für Zeichen und Aufkleber, die gegen die Morde von Journalisten protestieren, umgewidmet, weil die Mitarbeiter zu etwas geworden sind, was sie selbst nie erwartet hätten: Aktivisten im Namen der Presse.
