Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
Kelly told the staff that information needed to flow through him - whether on paper or in briefings - because the president would make better decisions if given good information."	Kelly ütles ametnikele, et teave peab liikuma läbi tema, kas siis paberil või koosolekutel, sest president teeks paremaid otsuseid, kui talle jagataks head teavet."
Kelly's diagnosis makes perfect sense, but others have tried and failed to tame Trump by monitoring his media diet.	Kelly diagnoos tundub täiesti loogiline, aga ka teised on seda üritanud ja neil on Trumpi taltsutamine tema meediatarbimise jälgimisega ebaõnnestunud.
President Trump's relationship with television goes back decades - and now that he's in the White House, his TV-watching habit is still going strong.	President Trumpi suhe televisiooniga ulatub aastakümnete taha ja ka nüüd, mil ta on Valges Majas, pole tema telerivaatamisharjumused kuhugi kadunud.
"If candidate Trump was upset about unfair coverage, it was productive to show him that he was getting fair coverage from outlets that were persuadable," Sam Nunberg, a former campaign adviser, told Politico in February.	"Kui kandidaat Trump oli ebaausa meediakajastuse pärast pahane, tasus talle näidata, et teda kajastati mõjutatavates väljaannetes ka ausalt," ütles endine kampaanianõunik Sam Nunberg veebruaris Politicole.
Politico's Tara Palmeri wrote at the time that "the key to keeping Trump's Twitter habit under control, according to six former campaign officials, is to ensure that his personal media consumption includes a steady stream of praise."	Politico Tara Palmeri kirjutas tol ajal, et "kuue endise kampaaniatöötaja sõnul on Trumpi Twitteri-harjumuste ohjamise võtmeks see, kui tagada, et ta isiklik meediatarbimine sisaldab stabiilselt ka kiidulaulu".
Okay.	Hea küll.
But the idea that Trump's Twitter habit has ever been "under control" is laughable.	Aga mõte, et Trumpi Twitteri kasutamise harjumused on kunagi "kontrolli all olnud", on naeruväärne.
Maybe these campaign officials know something the rest of us don't - that Trump's tweets would have been even more inflammatory if not for their interventions.	Võib-olla teavad need kampaaniatöötajad midagi, mida ülejäänud meist ei tea  et Trumpi säutsud oleksid ilma nende sekkumisteta veelgi sütitavamad olnud.
We'll probably never know about tweets that Trump didn't send.	Me ei saa arvatavasti kunagi teada säutsude kohta, mida Trump ei postitanud.
If his staffers managed to him out of trouble even a few times, then their efforts were worthwhile.	Kui ta abilised suutsid ta kas või paar korda pahandustest päästa, olid nende ponnistused seda väärt.
But no one has been able to consistently prevent Trump from stirring up controversy.	Aga mitte keegi ei ole suutnud takistada Trumpi järjepidevalt poleemikat tekitamast.
Part of the problem is that in a White House composed of competing factions, people invariably try to advance their agendas by presenting Trump with material - which may or may not be reliable - that promotes their worldviews.	Osa probleemist seisneb selles, et omavahel võistlevatest klikkidest koosnevas Valges Majas üritavad inimesed eranditult iseenda huvisid edendada, edastades Trumpile materjali, mis toetab nende maailmavaateid, aga ei pruugi alati usaldusväärne olla.
Politico - all over this story - reported in May on advisers' penchants for strategically feeding dubious information to the president.	Kogu loo kulgu kajastav Politico kirjutas maikuus nõunike kalduvusest sööta presidendile ette strateegiliselt küsitava väärtusega teavet.
This was one example, described by reporter Shane Goldmacher:	Üks näidetest, mida kirjeldab reporter Shane Goldmacher, on järgmine:
"Current and former Trump officials say Trump can react volcanically to negative press clips, especially those with damaging leaks, becoming engrossed in finding out where they originated.	"Praegused ja endised Trumpi alluvad ütlevad, et Trump võib reageerida negatiivsele pressile, eriti kahjustava mõjuga infoleketele, plahvatuslikult, võttes kinnisideeks nende lähteallika väljaselgitamise.
That is what happened in late February when someone mischievously gave the president a printed copy of an article from GotNews.com, the website of Internet provocateur Charles C. Johnson, which accused deputy chief of staff Katie Walsh of being 'the source behind a bunch of leaks' in the White House.	Nii juhtus ka veebruari lõpus, kui keegi andis kahjurõõmsalt presidendile prinditud koopia internetiprovokaatorile Charles C. Johnsonile kuuluva veebilehe GotNews.com artiklist, mis süüdistas personaliülema asetäitjat Katie Walshi selles, et ta olevat Valge Maja "mitmete infolekete allikas".
No matter that Johnson had been permanently banned from Twitter for harassment or that he offered no concrete evidence or that he had lobbed false accusations in the past and recanted them.	Pole vahet, et Johnson on mõnitamise tõttu Twitterist jäädavalt blokeeritud või et ta ei pakkunud mingeid konkreetseid asitõendeid või et ta on ka minevikus valesüüdistusi esitanud ja neid tagasi võtnud.
Trump read the article and began asking staff about Walsh."	Trump luges artiklit ja hakkas alluvatelt Walshi kohta pärima."
Goldmacher added that then-chief of staff Reince Priebus and White House staff secretary Rob Porter "have tried to implement a system to manage and document the paperwork Trump receives."	Goldmacher lisas, et tolleaegne personaliülem Reince Priebus ja Valge Maja kantselei juht Rob Porter "on üritanud kehtestada süsteemi Trumpini jõudvate dokumentide haldamiseks ja dokumenteerimiseks".
How'd that work out?	Kuidas see õnnestus?
Kelly is trying to do the same thing, three months later.	Kelly üritab kolm kuud hiljem täpselt sama teha.
Perhaps he will prove a more effective manager than Priebus, but Trump is still his impulsive self, and his aides are still vying for influence.	Võib-olla osutub ta Priebusist tõhusamaks juhiks, aga Trump on endiselt impulsiivne ja tema abilised võistlevad endiselt mõju nimel.
Those immutable factors will make Kelly's mission very difficult.	Need muutumatud tegurid muudavad Kelly missiooni väga raskeks.
Foreign street musicians in Tallinn not itching to obtain busking permit.	Välismaalt pealinna tulnud tänavamuusikud ei kibele esinemiseks luba hankima.
Many foreigners busk in the city centre of Tallinn.	Tallinna kesklinnas käib palju välismaalasi musitseerimas.
The ones Õhtuleht spoke to said admitted they were busking in the Old Town without the city government permit.	Need, kellega Õhtuleht jutule sai, tunnistasid, et mängivad vanalinnas ilma linnavalitsuse loata.
First, we found three street musicians near the Viru gates. They had just as many dogs with them.	Esimesena leidsime Viru väravate lähedalt kolm tänavamuusikut, kes olid endaga sama palju koeri kaasa võtnud.
It could be clearly see that the dreadlocked musicians wearing ripped clothing were backpacker vagabonds who would really benefit from a shower.	Oli selgelt näha, et rastapatside ja lõhkiste riietega muusikud olid seljakotirändurid, kellele kuluks üks dušš marjaks ära.
In spite of their appearance, the only woman in the group played a tune with a jolly rhythm on the accordion, while one of the men juggled three balls and beckoned to passersby.	Välimusest hoolimata mängis seltskonna ainus naine akordionil lõbusa rütmiga lugu, samal ajal kui üks mees tema kõrval kolme palliga žongleeris ja möödujaid lähemale kutsus.
The third man next to them was sitting on a backpack and calmly smoking a hand-rolled cigarette.	Kolmas mees oli nende kõrval ühele seljakotile istunud ja suitsetas südamerahus ise valmis keeratud pläru.
Their three dogs were unfazed by the passersby.	Nende kolm koera ei lasknud end mööduvast rahvast häirida.
Noemi, the one playing the accordion, and Bob the juggler said that they busked for fun as well as for the money.	Akordioni mänginud Noemi ja pallidega žongleerinud Bob rääkisid, et musitseerivad tänavatel nii lõbu kui ka raha pärast.
They were trying to raise enough money to buy tickets for a ship sailing to Finland the same evening.	Seltskonna esinemise eesmärk oli koguda piletiraha sama päeva õhtul Soomesse sõitva laevale.
Asked whether they applied for a permit for busking in the Old Town, Noemi and Bob shook their heads.	Küsimuse peale, kas nad vanalinnas musitseerimise jaoks linnalt luba küsisid, raputasid Noemi ja Bob pead.
First of all, we didn’t know.	Esiteks, me ei teadnud.
Secondly, we’re never in one city for longer than a day or two and generally permits are handed out for a month or the like.	Teiseks, me ei püsi kunagi ühes linnas rohkem kui päeva või paar ja enamasti antakse lubasid kuuks ajaks või midagi sellist.
There’s no point in paying for that,” said Bob.	Selle eest ei ole mõtet maksta", seletas Bob.
When we found ourselves by the Viru gates once again about 20 minutes later, we saw that two women had approached the musicians and were telling them to move along.	Kui me umbes 20 minutit hiljem uuesti Viru väravate juurde sattusime, nägime, et kaks naist on muusikute juures ja ajavad neid minema.
The group with backpacks and dogs moved on to the Viru Keskus crossing to try their luck.	Seltskond kolis seljakottide ja koertega Viru keskuse ristmiku juurde õnne katsuma.
Three young Polish men were also busking on Viru Street, one of whom was playing the violin, another the clarinet and a third had even hauled out an electronic piano.	Viru tänaval esinesid ka kolm poola noormeest, kellest üks mängis viiulit, teine klarnetit ja kolmas oli lausa elektroonilise klaveri kaasa vedanud.
“We’re here to offer people entertainment, to spread music and joy and to make money for gas and living expenses,” explained Mivosh, the pianist.	"Me oleme siin, et inimestele meelelahutust pakkuda, et levitada muusikat ja rõõmu ning selleks, et kütuse ja elamise jaoks raha teenida", seletas trio pianist Mivosh.
Mivosh said they were aware they had to apply for a permit from city government.	Mivoshi sõnul on nad teadlikud sellest, et esinemiseks peab linnavalitsuse luba olema.
“Of course we don’t have that,” he said in a light-hearted manner.	"Loomulikult meil ei ole seda", ütles ta naljatades.
But we hope that if people enjoy our music, then there won’t be a problem.	Aga me loodame, et kui inimesed naudivad meie muusikat, siis ei ole mingit probleemi.
Naturally, if the police come, we will go elsewhere, but we have to try,” he added.	Loomulikult, kui politsei tuleb, siis me läheme mujale, aga proovima peab", lisas ta.
In July, Bank of Estonia bought 149 million euros in bonds as part of the central banks’ government asset programme, and the central bank’s bond portfolio grew to a total of 4.36 billion euros.	Eesti Pank ostis euroala keskpankade avaliku sektori varaostuprogrammi raames juulikuus 149 miljoni euro eest võlakirju, keskpanga võlakirjaportfell kasvas kokku 4,36 miljardi euroni.
The central bank is not releasing more details on the purchases.	Keskpank detailsemat infot ostude kohta ei avalda.
Bank of Estonia President Ardo Hansson had previously explained in response to an interpellation from MPs that Eurozone central banks’ asset purchase programme encompasses three different buying programmes: covered bonds, asset backed securities (ABS) and public sector purchase programme (PSPP).	Eesti panga president Hardo Hansson on varem riigikogu liikmete arupärimisele vastates selgitanud, et eurosüsteemi keskpankade varaostukava hõlmab kolme erinevat ostuprogrammi: finantssektori kaetud võlakirjad (covered bonds), varaga tagatud võlakirjad (ABS) ja avaliku sektori võlakirjad (PSPP).
The central bank buys up bonds on the market, to encourage the investors who sold the bonds to invest money elsewhere.	Keskpank ostab turult kokku võlakirju, et innustada võlakirju müünud investoreid raha mujale investeerima.
As an effect of the purchases the yield of low-risk assets decreases, and this motivates investors to take bigger risks.	Ostude mõjul langeb madalama riskiga varade tootlus ning see motiveerib investoreid suuremaid riske võtma.
In general, in the context of the public sector bond purchase programme, each central bank buys its own government bonds, other countries’ bonds are not purchased.	Üldjuhul ostab avaliku sektori võlakirjaostuprogrammi raames iga keskpank oma riigi valitsuse võlakirju, teiste riikide võlakirju ei osteta.
As the Estonian state has not issued bonds, the Bank of Estonia executes what are called substitute purchases in the amount allocated to it.	Kuna Eesti riik võlakirju emiteerinud ei ole, siis teeb Eesti Pank neile eraldatud mahu piires nn asendusoste.
Central banks also make substitute purchases in countries with a limited supply of the bonds conforming to the purchase programme.	Asendusoste teevad ka keskpangad nendes riikides, kus ostukavale vastavate võlakirjade pakkumine on piiratud.
Hansson said Bank of Estonia generally buys the bonds of European institutions, such as the bonds of the EFSF and the EIB.	Eesti Pank ostab Hanssoni kinnitusel üldjuhul Euroopa institutsioonide võlakirju, näiteks Euroopa Finantsstabiilsuse Fondi ning Euroopa Investeerimispanga võlakirju.
The Bank of Estonia has been purchased bonds as part of the asset purchase programme since March 2015.	Eesti Pank ostab varaostuprogrammi raames võlakirju alates 2015. aasta märtsist.
In the interim, Elering bonds were purchased, but as of June 2016, the Bank of Estonia no longer buys Elering bonds.	Vahepeal soetati ka Eleringi võlakirju, kuid 2016. aasta juunist Eesti Pank enam Eleringi võlakirju ei osta.
The Finnish central bank buys both Elering and Eesti Energia bonds on behalf of the Eurozone’s central banks.	Euroala keskpankade nimel ostab alates juunist nii Eleringi kui ka Eesti Energia võlakirju Soome keskpank.
Travellers negotiate trench, return to 'Millionaire's row'	Rändurid eiravad kraavi ning naasevad "miljonäride rajooni"
Some of the West Midlands' wealthiest homeowners are again at loggerheads with determined travellers who have negotiated a council-dug trench to reclaim a field outside their mansions.	Mõned West Midlandsi jõukaimad koduomanikud on sattunud taas raevukasse vastasseisu otsusekindlate ränduritega, kes on eiranud volikogu kaevatud kraavi, et võita tagasi nende villadest eemale jääv väli.
The travellers have parked their 20 caravans in a field outside a prosperous street of Solihull dubbed 'millionaire's row'.	Rändurid on parkinud oma 20 haagissuvilat väljale jõuka "miljonäride rajooniks" ristitud Solihulli tänava lähistel.
Bringing horses, babies and an army of vans, they have returned after being kicked out only in May, undeterred by a moat dug by the council to prevent their incursions.	Nad on naasnud koos hobuste, laste ja veoautode armeega pärast seda, kui nad alles mais sealt välja löödi, laskmata end segada kraavist, mille kaevas nende sissetungi takistamiseks volikogu.
The tactful group found a gap in the defences, squeezing their vehicles though a section left unbarricaded to accommodate a pathway.	Taktiline rühm leidis kaitsepiirdes nõrga koha, pigistades oma sõidukid läbi tõkestamata jäänud osast, mis oli jäetud jalgteeks.
Furious residents have savaged Solihull Council saying it was 'useless at dealing with the problem'.	Maruvihased elanikud on kirunud Solihulli volikogu, öeldes, et volikogu on "probleemiga tegelemisel kasutu".
One anonymous resident said: 'They moved there on Monday night after being moved on from Bentley Heath where they were throwing rocks at passers by.	Üks anonüümne elanik sõnas: "Nad kolisid sinna esmaspäeva õhtul pärast nende väljatõrjumist Bentley Heathist, kus nad loopisid möödujaid kividega.
The council needs to be shamed into action as they are useless at dealing with the problem.	Volikogu tuleb häbistada, et nad tegutsema hakkaksid, sest nad on probleemiga tegelemises kasutud.
The travellers were there in May, were moved on and now they are back again.	Rändurid olid seal mais, nad ajati minema ja nüüd nad on jälle tagasi.
More arrived last night, probably even more today.'	Neid tuli eile õhtul juurde, täna tõenäoliselt veel rohkemgi."
She added: 'Birmingham council knows how to deal with this by getting long injunctions to protect their parks.	Ta lisas: "Birminghami volikogu teab, kuidas selliste asjadega tegeleda, hankides oma parkide kaitsmiseks pikad tõkendid.
I live on Streetsbrook road and I'm not happy to continue paying my council tax when the council can't even stop this.'	Ma elan Streetsbrooki teel ja ma ei ole rahul, et pean jätkama volikogumaksu tasumist, kui volikogu ei suuda isegi sellist asja takistada."
One local resident who did not wish to be named said: 'It is ridiculous, we have only just seen the last round of these travellers leaving, only to be blighted by another round.	Üks kohalik elanik, kes soovis samuti anonüümseks jääda, ütles: "See on naeruväärne. Alles nägime, kuidas viimased neist ränduritest lahkusid, ja juba on toimumas uus pealetung.
The numbers have increased this time and a horse has even been seen grazing on the parkland.'	Seekord on arv kasvanud ja rohumaal on isegi hobust mäletsemas nähtud."
A spokeswoman for Solihull Council said: 'We are aware of an unauthorised encampment on land off Streetsbrook Road and working alongside Solihull Police, we are undertaking the necessary legal actions to move them on as quickly as possible.	Solihulli volikogu esindaja lausus: "Oleme teadlikud, et Streetsbrooki tee lähistel oleval maal on lubamatu laagriplats, ja teeme koostööd Solihulli politseiga. Rakendame vajalikke õigusmeetmeid, et nad võimalikult kiiresti liikuma saada.
To support our evidence gathering it is very important that as many local residents as possible report any anti-social or criminal behaviour to the police by calling 101.	Tõendite kogumisel on väga suureks abiks, kui võimalikult paljud kohalikud elanikud teatavad mis tahes antisotsiaalsest või kriminaalsest käitumisest politseile, helistades numbril 101.
This helps build a picture of the situation for the court to consider when we present our case to them.'	See aitab olukorrast kohtu jaoks pildi luua, kui me juhtumit neile esitleme."
Culture Minister Indrek Saar is one of the attendees at the Weekend Festival and says he is glad that true world headliners are playing in Estonia.	Weekend festivali külastab kõigi teiste seas ka kultuuriminister Indrek Saar, kel on hea meel, et Eestisse on suudetud tuua tõelised maailma tippnimed.
In response to the question of why the weekend festival is so important for Estonians, he said that the question should be asked of all those who are enjoying every aspect of the festival for three days in a row.	Küsimusele, miks on Weekend festival eestlaste jaoks niivõrd oluline, vastab Saar, et seda tuleks küsida kõigilt neilt, kes festivali kolm päeva jutti täiel rinnal naudivad.
But he does admit the true top calibre performers have arrived in Pärnu.	Küll aga tõdeb ta, et Pärnusse on kohale tulnud tõelised oma ala tegijad.
“Looking at the level of artists that they’ve managed to bring to Estonia, these are the absolute top names in the musical genre – that doesn’t often happen in these parts,” says the minister of culture.	"Vaadates seda artistide taset, mida on suudetud Eestisse tuua, siis et tuuakse koju kätte selle muusikažanri absoluutsed tippnimed - seda tihti meie kandis ei juhtu", räägib kultuuriminister.
Which of the artists performing at the festival resonate with Saar most?	Millised festivalil esinevad artistid aga Saart ennast kõige enam kõnetavad?
I consider myself a fairly old person and for older folks like myself one of the artists we’ve had the most experience with is Armin van Buuren, who took the stage yesterday evening.	Ma pean end suhteliselt vanainimeseks ja minusuguste vanainimeste jaoks on kindlasti üks kõige enam kogetud artist Armin van Buuren, kes eile õhtul üles astus.
All of us have taken a spin on the dance floor to his record spinning,” he says.	Tema plaadikeerutuse järgi on ju kõik meist mingil hetkel ka ise jalga keerutanud", sõnab ta.
He also cites a number of other names, such as Chainsmokers, Deadmau5 and Knifeparty.	Küll aga toob ta veel välja mitmeid nimesid, näiteks Chainsmokers'i, Deadmau5, Knifeparty.
Naturally, our own Estonian acts, too – starting with NOËP to a wide range of others.	Loomulikult ka meie oma Eesti tegijad: alustades NOËP'ist ja neid võib lugeda terve rea.
Actually, the concentration of well-known names is very high,” he says.	Tegelikkuses see tuntud nimede kontsentratsioon on väga suur", ütleb ta.
Watch the full Õhtuleht video!	Vaata pikemalt Õhtulehe videost!
Audi to Modify Up to 850,000 Diesel Vehicles as Carmakers Face Backlash	Audi uuendab autotootjaid tabanud kriitika keskel kuni 850 000 diiselsõidukit
A day before Audi's announcement, BMW said it would offer to upgrade the software in more than 350,000 vehicles.	Päev enne Audi teadaannet ütles BMW, et pakub tarkvaratäiendust enam kui 350 000 sõidukile.
The BMW chairman said the company believed "there are more intelligent options than driving restrictions," referring to the European cities - including Munich, where BMW is based - that have considered banning or restricting diesel vehicles.	BMW esimehe sõnul usub ettevõte, et "on olemas arukamaid variante kui sõidupiirangud", viidates Euroopa linnadele, sealhulgas BMW kodulinnale Münchenile, mis on kaalunud diiselsõidukite keelustamist või piiramist.
Daimler announced on Tuesday that it would modify three million Mercedes vehicles in Europe to reduce their diesel emissions.	Daimler teatas teisipäeval, et uuendab diiselmootorite heitgaaside vähendamiseks kolme miljonit Mercedese sõidukit Euroopas.
None of the companies described the moves as recalls.	Ükski ettevõte ei kirjeldanud neid toiminguid tagasikutsumisena.
European carmakers have heavily promoted the use of diesel vehicles in Europe and the United States to help meet rules on carbon dioxide emissions.	Euroopa autotootjad on reklaaminud Euroopas ja Ameerika Ühendriikides innukalt diiselsõidukite kasutamist, et aidata järgida süsinikdioksiidi heitkogustele kehtestatud määruseid.
But the nitrogen oxides that diesel engines emit are considered carcinogens, and can cause asthma.	Ent diiselmootoritest eralduvat lämmastikoksiidi peetakse kantserogeeniks ja see võib põhjustada astmat.
The cost to automotive companies of installing equipment to neutralize the fumes emitted by diesel vehicles is also increasing, making it difficult to keep the price of the cars competitive.	Ühtlasi suureneb autotööstusettevõtete jaoks diiselsõidukite õhku paisatavate heitgaaside neutraliseerimiseks paigaldatava varustuse maksumus, muutes autode hinna konkurentsivõimelisena hoidmise raskeks.
As German automakers face scrutiny, the government of Chancellor Angela Merkel has also been accused of coddling the powerful car companies and of ignoring signs of the problem.	Samal ajal kui Saksa autotootjad on põhjaliku uurimise all, süüdistatakse ka liidukantsler Angela Merkeli valitsust võimsate autotootjate hellitamises ja probleemile viitavate märkide eiramises.
The companies are trying to avoid repeating the mistakes of Volkswagen, which covered up its use of so-called defeat devices that could adjust emissions to comply with regulations when a car was being tested, but ease back in normal driving conditions.	Ettevõtted üritavad vältida Volkswageni vigade kordamist, kes vaikis maha nii-öelda petuseadmete kasutamise, mis võimaldasid kohandada heitgaaside näidu auto testimise ajaks regulatsioonidele vastavaks, aga tõmbusid tavalistes sõiduoludes tagasi.
Several Volkswagen executives have been charged in the United States, and others are under investigation on both sides of the Atlantic.	Mitmele Volkswageni juhile on esitatud Ameerika Ühendriikides süüdistus ja teised on mõlemal pool Atlandi ookeani uurimise all.
Last month, the former head of thermodynamics at Audi's engine development department was arrested in Germany.	Eelmisel kuul vahistati Saksamaal Audi mootoriarenduse osakonna termodünaamika allüksuse endine juhataja.
The former manager, Zaccheo Giovanni Pamio, is Italian, and therefore is not protected from extradition and could face trial in the United States.	Endine juhataja Zaccheo Giovanni Pamio on itaallane ja pole seega väljaandmise eest kaitstud ning võib minna kohtu alla Ameerika Ühendriikides.
Early this year, Audi was swept up into a German criminal investigation involving Volkswagen after the authorities accused Audi of installing a system to evade emissions rules in Europe, broadening an inquiry that had focused on the United States.	Selle aasta alguses tõmmati Audi Saksamaal Volkswagenit puudutavasse kriminaaluurimisse, kui ametivõimud süüdistasid Audit süsteemi paigaldamises, et hiilida kõrvale Euroopa heitgaasikoguste nõuetest, laiendades sellega juurdlust, mis oli keskendunud varem Ameerika Ühendriikidele.
The inclusion of Audi in the investigation could weigh heavily on Volkswagen: The luxury carmaker accounts for a disproportionate share of Volkswagen's profit.	Audi kaasamine uurimisse võib olla Volkswagenile suur hoop  luksusautode tootja genereerib ebaproportsionaalselt suure osa Volkswageni kasumist.
European Union flags will be purchased for Estonian schools for 20,000 euros.	Eesti koolidele soetatakse 20 000 euro eest Euroopa Liidu lippe.
The Ministry of Education plans to buy European flags for Estonian schools by 1 September to mark the Estonian Presidency of the Council of the European Union.	Haridusministeerium kavatseb Eesti koolidele 1. septembriks osta eesistumise äramärkimiseks Euroopa Liidu lippe.
A total of 570 educational institutions will receive European Union flags measuring 105 x 158 cm.	Kokku saavad mõõtudega 105x158 sentimeetrit Euroopa Liidu lipu 570 haridusasutust.
The flags are intended for displaying; they must be executed in quality printing technique with tunnel fastening, ERR News reports.	Lipud on ette nähtud eksponeerimiseks siseruumides, need peavad olema teostatud kvaliteetses trükitehnikas siseruumides ka tunnelkinnitusega, vahendab ERRi uudisportaal.
The flagpole label bears a text: “Gift to Estonian schools for recognizing the first Estonian presidency of the Council of the European Union.	Lipuvarda sildil on tekst: "Kingitus Eesti koolidele Eesti Euroopa Liidu Nõukogu esimese eesistumise äramärkimiseks.
The estimated cost of the 570 flags is put by the Ministry of Education at €20,000. In other words, one flag costs €35.	570 lipu eeldatav maksumus on haridusministeeriumi hinnagul 20 000 eurot ehk üks lipp läheb maksma 35 eurot.
A journalist's murder underscores growing threat in Mexico	Ajakirjaniku mõrv rõhutab kasvavat ohuolukorda Mehhikos
The staff of the weekly newspaper Riodoce normally meets on Wednesdays to review their plans for coverage of the most recent mayhem wrought in Sinaloa state by organized crime, corrupt officials and ceaseless drug wars.	Nädalalehe Riodoce töötajad kogunevad tavaliselt kolmapäeviti, et vaadata üle plaanid Sinaloa osariigi kõige hiljutisema kaose kajastamiseks, mida külvavad organiseeritud kuritegevus, korrumpeerunud ametnikud ja lakkamatud narkosõjad.
But on this day, in the shadow of their own tragedy, they've come together to talk about security.	Aga täna on nad kogunenud isikliku tragöödia varjus arutama enda turvalisust.
It's important to change their routines, they are told.	Neile öeldakse, et tähtis on oma rutiine muuta.
Two senior journalists discuss what feels safer: to take their children with them to the office, which was the target of a grenade attack in 2009, or to leave them at home.	Kaks vanemajakirjanikku arutavad, kumb tundub ohutum: kas tuua lapsed endaga kontorisse, mis oli 2009. aastal granaadirünnaku sihtmärgiks, või jätta nad koju.
Security experts have written three words on a blackboard at the front of the room: adversaries, neutrals, allies.	Turvaeksperdid on kirjutanud ruumi eesotsas asuvale tahvlile kolm sõna: "vaenlased", "neutraalsed", "liitlased".
They ask the reporters to suggest names for each column - no proof is needed, perceptions and gut feelings are enough.	Nad paluvad reporteritel igasse veergu nimesid pakkuda  tõendeid pole vaja, piisab muljetest ja sisetundest.
There are drug-traffickers, politicians, businesspeople, journalists suspected of being on the payroll of the government or the cartels, a catalog of villains who make the job of covering Mexico's chaos perilous.	Valitsuse või kartellide palgal olemises kahtlustatakse uimastikaubitsejaid, poliitikuid, ärimehi ja ajakirjanikke  terve nimekiri pahalasi, kes teevad Mehhikos valitseva kaose kajastamise ohtlikuks.
There is no respite from the violence, and as bodies pile up across the country, more and more of them are journalists: at least 25 since President Enrique Pena Nieto took office in December 2012, according to the Committee to Protect Journalists; 589 under federal protection after attacks and threats; and so far this year, at least seven dead in seven states.	Vägivallast ei ole hingetõmbepausi ning mida rohkem surnukehasid üle riigi kokku kuhjub, seda suurema osa nendest moodustavad ajakirjanikud  Ajakirjanike Kaitse Komitee andmetel on neid alates president Enrique Pena Nieto ametisse vannutamisest 2012. aasta detsembris vähemalt 25. 589 ajakirjanikku on pärast rünnakuid ja ähvardusi riikliku kaitse all ning selle aasta jooksul on saanud siiani surma vähemalt seitse ajakirjanikku seitsmes osariigis.
Among the latest is their editor and inspiration, Riodoce co-founder Javier Valdez Cardenas.	Viimaste hukkunute hulka kuulub nende toimetaja ja inspiratsiooniallikas, Riodoce kaasasutaja Javier Valdez Cardenas.
"The greatest error is to live in Mexico and to be a journalist," Valdez wrote in one of his many books on narco-violence.	"Suurim viga on elada Mehhikos ja olla ajakirjanik," kirjutas Valdez ühes oma paljudest narkovägivalda käsitlevatest raamatutest.
His absence is felt deeply, although his presence is everywhere - a large photo of Valdez displaying his middle finger, with the word "Justice," hangs on the facade of the Riodoce building; two reporters on their 30s, Aaron Ibarra and Miriam Ramirez, wear T-shirts that display his smiling, bespectacled face or his trademark Panama hat.	Tema puudumine annab sügavalt tunda, kuigi tema kohalolu võib tajuda kõikjal  Riodoce hoone fassaadil ripub suur pilt keskmist sõrme näitavast Valdezist koos kirjaga "Õiglus" ning kaks 30ndates reporterit, Aaron Ibarra ja Miriam Ramirez, kannavad T-särke, millel on kujutatud tema naeratavat prillidega nägu või talle iseloomulikku panamakübarat.
The workshop takes place less than two months after his death; the reporters discuss their shared trauma, their nightmares, insomnia, paranoia.	Koosolek toimub vähem kui kaks kuud pärast ta surma. Reporterid arutavad ühist traumat, oma õudusunenägusid, unetust, paranoiat.
Although a special federal prosecutor's office was established in 2010 to handle the journalists' cases, it has only prosecuted two, according to the Committee to Protect Journalists.	Kuigi 2010. aastal loodi ajakirjanike juhtumite käsitlemiseks eraldi riigiprokuratuur, on Ajakirjanike Kaitse Komitee andmeil võetud kohtulikule vastutusele vaid kaks juhtumit.
As with most of the thousands of murders tied to drug trafficking and organized crime each year, the killers of journalists are rarely brought to justice.	Nagu enamiku iga-aastaste uimastikaubanduse ja organiseeritud kuritegevusega seotud mõrvade puhul, mille arv ulatub tuhandetesse, jõuavad ka ajakirjanike tapjad harva kohtu ette.
At Riodoce, they persist in covering the violence of Sinaloa, though they are heartbroken, though the terrain is more treacherous now.	Riodoce toimetuses jätkatakse Sinaloas valitseva vägivalla kajastamist, kuigi nende südamed on murtud ja maastik on nüüd veelgi ohtlikum.
Without information on the killers, without justice, the meeting to discuss security, says Ibarra, is of little use.	Ilma mõrvarite andmete ja õigluseta pole turvalisust käsitlevast koosolekust Ibarra sõnul palju kasu.
"It's very foolish to waste my time in this workshop," he says.	"Väga tobe on oma aega siin koosolekul raisata," ütleb ta.
"As long as we don't know why, you distrust everyone."	"Seni, kuni põhjus pole teada, umbusaldad kõiki."
On the morning of May 15, Valdez left the Riodoce office in the state capital of Culiacan.	Valdez lahkus osariigi pealinnas Culiacanis asuvast Riodoce kontorist 15. mai hommikul.
He managed to drive just a couple blocks before his red Toyota Corolla was stopped by two men; he was forced out of his car and shot 12 times, presumably for the name of the paper - which translates as Twelfth River.	Tal õnnestus sõita vaid paar kvartalit, enne kui kaks meest ta punase Toyota Corolla peatasid. Ta sunniti autost väljuma ja teda tulistati 12 korda. Seda eeldatavasti ajalehe nime pärast, mis tähendab tõlgitult "kaheteistkümnendat jõge".
The gunman drove away in his car and crashed it nearby.	Relvastatud mees sõitis Valdezi autos minema ja tegi sellega läheduses avarii.
Valdez was 50 years old.	Valdez oli 50 aastat vana.
He left a wife and two adult children.	Temast jäid maha naine ja kaks täiskasvanud last.
Rumors tend to fly freely in Culiacan.	Kuulujutud levivad Culiacanis vabalt.
But on the subject of Valdez, there's practically nothing but silence.	Ent Valdezi teemal valitseb peaasjalikult vaid vaikus.
